year,cdd
1895,NA
1896,26
1897,NA
1898,NA
1899,22
1900,NA
1901,25
1902,19
1903,NA
1904,15
1905,21
1906,23
1907,22
1908,20
1909,19
1910,21
1911,21
1912,20
1913,14
1914,36
1915,22
1916,25
1917,18
1918,28
1919,41
1920,34
1921,30
1922,30
1923,19
1924,25
1925,34
1926,19
1927,NA
1928,NA
1929,NA
1930,27
1931,22
1932,17
1933,21
1934,21
1935,35
1936,38
1937,20
1938,28
1939,29
1940,14
1941,28
1942,26
1943,46
1944,24
1945,NA
1946,33
1947,17
1948,17
1949,18
1950,20
1951,NA
1952,25
1953,NA
1954,21
1955,17
1956,28
1957,17
1958,23
1959,13
1960,NA
1961,38
1962,16
1963,33
1964,30
1965,19
1966,16
1967,26
1968,14
1969,17
1970,30
1971,20
1972,23
1973,26
1974,19
1975,19
1976,31
1977,18
1978,38
1979,18
1980,24
1981,23
1982,22
1983,21
1984,23
1985,26
1986,22
1987,26
1988,16
1989,19
1990,17
1991,24
1992,18
1993,21
1994,14
1995,28
1996,24
1997,16
1998,37
1999,25
2000,NA
2001,NA
2002,NA
2003,NA
2004,18
2005,29
2006,19
2007,26
2008,19
2009,12
2010,25
2011,14
2012,25
2013,21
2014,19
2015,15
2016,35
2017,27
2018,24
2019,23
2020,NA
2021,NA
2022,28
2023,21
2024,37
2025,NA
