year,csdi
1895,NA
1896,0
1897,0
1898,0
1899,0
1900,NA
1901,NA
1902,0
1903,NA
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,0
1916,0
1917,0
1918,NA
1919,NA
1920,6
1921,NA
1922,NA
1923,0
1924,0
1925,0
1926,0
1927,NA
1928,NA
1929,0
1930,6
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,NA
1946,NA
1947,0
1948,0
1949,0
1950,6
1951,0
1952,NA
1953,NA
1954,NA
1955,0
1956,0
1957,0
1958,6
1959,0
1960,NA
1961,0
1962,0
1963,0
1964,0
1965,0
1966,6
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,8
1975,6
1976,0
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,7
1997,0
1998,0
1999,23
2000,NA
2001,NA
2002,NA
2003,NA
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,7
2019,0
2020,NA
2021,NA
2022,0
2023,0
2024,0
2025,NA
