year,cwd
1895,NA
1896,4
1897,NA
1898,NA
1899,4
1900,NA
1901,5
1902,3
1903,NA
1904,5
1905,4
1906,5
1907,4
1908,6
1909,5
1910,8
1911,4
1912,5
1913,8
1914,6
1915,4
1916,6
1917,5
1918,6
1919,9
1920,4
1921,6
1922,6
1923,5
1924,9
1925,4
1926,7
1927,NA
1928,NA
1929,NA
1930,6
1931,3
1932,5
1933,5
1934,5
1935,12
1936,5
1937,6
1938,7
1939,6
1940,4
1941,6
1942,5
1943,4
1944,4
1945,NA
1946,3
1947,7
1948,7
1949,5
1950,8
1951,NA
1952,6
1953,NA
1954,3
1955,5
1956,6
1957,5
1958,4
1959,8
1960,NA
1961,7
1962,4
1963,12
1964,6
1965,4
1966,5
1967,5
1968,7
1969,7
1970,6
1971,6
1972,6
1973,8
1974,7
1975,7
1976,6
1977,6
1978,4
1979,7
1980,5
1981,3
1982,4
1983,6
1984,7
1985,6
1986,6
1987,5
1988,4
1989,7
1990,4
1991,5
1992,8
1993,6
1994,5
1995,7
1996,4
1997,5
1998,5
1999,4
2000,NA
2001,NA
2002,NA
2003,NA
2004,4
2005,6
2006,4
2007,4
2008,5
2009,4
2010,5
2011,5
2012,7
2013,8
2014,5
2015,5
2016,3
2017,4
2018,10
2019,5
2020,NA
2021,NA
2022,4
2023,5
2024,5
2025,NA
