year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.61,NA
1896,11.74,13.47,14.44,14.52,14.18,12.8,11.11,11.22,13.7,12.92,12.74,12.15,12.91
1897,11.18,11.59,11.33,13.54,14.02,13.63,12.92,11.65,13.43,13.23,14.87,12.87,12.85
1898,13.71,16.11,12.35,14.63,16.47,15,11.95,10.39,11.65,13.58,13.05,11.59,13.35
1899,12.72,12,13.57,12.74,14.27,13.85,12.58,12.49,13.52,12.58,13.2,13.42,13.09
1900,12.99,12.06,13.1,13.3,14.28,11.2,12.42,14.17,13.46,NA,14.17,13.56,NA
1901,12.78,12.98,NA,13.43,13.52,NA,NA,10.8,12.37,15.81,16.87,16.24,NA
1902,14.12,11.55,13.17,14.3,15.16,13.24,13.06,11.59,12.5,13.76,12.96,11.92,13.12
1903,10.13,13.79,10.23,NA,11.58,11.67,12.17,11.34,12.7,15.36,NA,13.81,NA
1904,11.5,12.97,14.39,13.8,15.21,14.65,13.33,11.88,14.09,15.45,14.5,12.87,13.72
1905,13.08,10.93,13.16,14.59,12.17,13.83,12.31,13.08,13.78,14.23,14.48,10.93,13.05
1906,11.67,13.39,12.99,16.33,13.91,12.91,11.25,11.86,12,12.17,15.11,11.68,12.93
1907,13.24,12.54,15.23,15.54,14.07,13.87,12.54,12.72,11.89,15.16,13,14.09,13.67
1908,14.51,16.71,14.48,12.72,14.25,12.78,12.13,13.28,12.65,13.91,13.07,13.1,13.63
1909,12.49,15.48,13.87,14.05,14.37,11.91,12.55,13.06,13.02,15.81,15.35,12.65,13.7
1910,13.98,13.04,16.22,16.22,13.8,12.3,11.61,11.86,12.74,14.3,14.98,12.88,13.66
1911,13.94,13.41,16.08,14.89,16.76,15.46,14.37,12.96,13.37,12.92,14.2,13.64,14.34
1912,12.01,13.62,13.71,13.68,13.53,13.61,12.94,13.95,11.28,13.85,16.59,13.07,13.48
1913,12.9,12.58,12.8,15.74,17.15,15.11,14.59,14.95,14.15,15.2,17.22,12.35,14.56
1914,14.39,13.02,16.68,16.35,19.34,15.42,14.32,12.49,14.55,12.22,15.91,9.66,14.53
1915,12.35,13.49,14.25,17.98,13.53,14.69,14.37,12.98,14.3,14.39,17.18,15.23,14.55
1916,13.75,NA,NA,17.54,16.97,14.37,10.23,13.55,15.52,14.87,18.09,17.76,NA
1917,14.09,15.52,17.29,16.72,15.59,14.52,13.06,13.87,13.55,NA,17.2,13.46,NA
1918,15.88,18.49,15.43,13.7,15.91,13.98,13.51,NA,11.83,10.61,NA,8.5,NA
1919,15.25,15.26,13.59,NA,12.59,11.3,11.9,11.04,14.8,NA,12.11,14.58,NA
1920,13.32,12.63,16.15,14.19,14.6,15.11,13.37,11.85,12.78,15.22,13.2,13.19,13.81
1921,14.03,14.35,14.8,19.76,13.67,14.93,NA,11.54,14.19,16.24,11.06,14.79,NA
1922,8.62,9.36,NA,14.04,10.39,13.15,11.86,12.2,14.02,14.75,16.44,9.45,NA
1923,10.81,9.17,NA,13.7,13.3,12.31,11.18,10.16,11.28,12.74,12.43,11.58,NA
1924,11.97,14.01,15.09,15.39,NA,14.32,10.95,12.88,10.57,13.87,15.07,15.09,NA
1925,13.17,15.08,15.34,15.8,14.44,13.65,13.33,15.02,15.3,12.26,13.76,12.42,14.11
1926,11.9,12.4,13.24,16.02,16.06,13.03,12.45,12.29,12.42,15.56,13.48,11.89,13.41
1927,12.28,12.66,11.98,14.16,15.75,11.61,10.88,13.51,14.57,15.02,13.5,NA,NA
1928,NA,NA,NA,NA,14.14,11.43,11.35,NA,9.33,NA,9.85,9.71,NA
1929,9.01,9.84,12.17,12.96,12.42,11.87,11.59,12.21,9.3,12.31,10.54,12.33,11.41
1930,11.15,14.37,10.9,14.48,13.48,11.85,11.9,13.66,10.63,13.53,10.04,10.43,12.19
1931,12.76,14.27,12.94,14.04,13.32,14.54,12.65,12.71,14.7,15.99,13.3,8.98,13.34
1932,8.98,8.12,10.5,14.56,12.65,11.92,14.39,10.82,11.41,12.37,11.87,10.5,11.52
1933,11.45,11.21,14.7,13.61,14.23,15.19,12.64,12.38,13.7,13.57,14.89,13.75,13.45
1934,11.83,13.75,13.78,13.41,12.03,12.87,12.51,11.34,11.74,13.62,14.15,12.08,12.75
1935,11.63,12.32,12.76,NA,13.96,13.91,10.55,11.06,10.78,14.1,11.95,11.5,NA
