year,fd
1895,NA
1896,37
1897,24
1898,40
1899,39
1900,NA
1901,NA
1902,44
1903,NA
1904,49
1905,43
1906,22
1907,25
1908,23
1909,28
1910,44
1911,27
1912,52
1913,25
1914,52
1915,45
1916,42
1917,49
1918,NA
1919,NA
1920,40
1921,NA
1922,NA
1923,27
1924,37
1925,26
1926,33
1927,NA
1928,NA
1929,20
1930,27
1931,16
1932,19
1933,17
1934,31
1935,38
1936,30
1937,26
1938,22
1939,20
1940,33
1941,42
1942,42
1943,47
1944,36
1945,NA
1946,NA
1947,36
1948,30
1949,20
1950,31
1951,38
1952,NA
1953,NA
1954,NA
1955,46
1956,40
1957,25
1958,62
1959,34
1960,NA
1961,49
1962,37
1963,71
1964,39
1965,47
1966,44
1967,41
1968,71
1969,63
1970,51
1971,33
1972,31
1973,48
1974,35
1975,35
1976,52
1977,53
1978,48
1979,43
1980,46
1981,53
1982,34
1983,28
1984,33
1985,44
1986,32
1987,43
1988,53
1989,31
1990,15
1991,30
1992,45
1993,34
1994,37
1995,55
1996,62
1997,28
1998,33
1999,59
2000,NA
2001,NA
2002,NA
2003,NA
2004,46
2005,31
2006,28
2007,32
2008,42
2009,38
2010,68
2011,33
2012,23
2013,33
2014,39
2015,32
2016,30
2017,19
2018,34
2019,20
2020,NA
2021,NA
2022,33
2023,22
2024,29
2025,NA
