year,gsl
1895,NA
1896,318
1897,355
1898,361
1899,352
1900,NA
1901,NA
1902,348
1903,NA
1904,359
1905,348
1906,364
1907,365
1908,366
1909,365
1910,355
1911,360
1912,350
1913,365
1914,347
1915,364
1916,NA
1917,NA
1918,NA
1919,NA
1920,359
1921,NA
1922,NA
1923,NA
1924,NA
1925,364
1926,365
1927,NA
1928,NA
1929,340
1930,365
1931,344
1932,366
1933,365
1934,365
1935,NA
1936,365
1937,365
1938,365
1939,365
1940,NA
1941,357
1942,353
1943,336
1944,349
1945,NA
1946,NA
1947,363
1948,363
1949,364
1950,328
1951,365
1952,NA
1953,NA
1954,NA
1955,343
1956,333
1957,361
1958,292
1959,341
1960,NA
1961,324
1962,322
1963,342
1964,363
1965,365
1966,365
1967,353
1968,349
1969,349
1970,351
1971,365
1972,366
1973,365
1974,365
1975,352
1976,356
1977,325
1978,323
1979,349
1980,360
1981,347
1982,365
1983,360
1984,364
1985,360
1986,351
1987,361
1988,350
1989,350
1990,363
1991,365
1992,366
1993,365
1994,343
1995,349
1996,318
1997,365
1998,364
1999,347
2000,NA
2001,NA
2002,NA
2003,NA
2004,366
2005,365
2006,365
2007,365
2008,361
2009,364
2010,343
2011,338
2012,362
2013,360
2014,357
2015,365
2016,342
2017,365
2018,347
2019,365
2020,NA
2021,NA
2022,335
2023,365
2024,361
2025,NA
