year,id
1895,NA
1896,0
1897,1
1898,0
1899,4
1900,NA
1901,NA
1902,0
1903,NA
1904,1
1905,3
1906,1
1907,0
1908,0
1909,0
1910,0
1911,0
1912,1
1913,0
1914,0
1915,0
1916,NA
1917,NA
1918,0
1919,NA
1920,0
1921,NA
1922,NA
1923,NA
1924,NA
1925,0
1926,0
1927,NA
1928,NA
1929,0
1930,0
1931,0
1932,0
1933,0
1934,1
1935,NA
1936,0
1937,0
1938,0
1939,0
1940,NA
1941,0
1942,0
1943,0
1944,0
1945,NA
1946,NA
1947,0
1948,2
1949,0
1950,1
1951,0
1952,NA
1953,NA
1954,NA
1955,0
1956,0
1957,0
1958,1
1959,0
1960,NA
1961,0
1962,2
1963,0
1964,0
1965,0
1966,0
1967,0
1968,1
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,1
1978,0
1979,0
1980,1
1981,0
1982,1
1983,2
1984,0
1985,1
1986,0
1987,0
1988,0
1989,1
1990,0
1991,0
1992,0
1993,0
1994,2
1995,0
1996,0
1997,0
1998,0
1999,0
2000,NA
2001,NA
2002,NA
2003,NA
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,1
2012,0
2013,0
2014,2
2015,1
2016,0
2017,0
2018,0
2019,0
2020,NA
2021,NA
2022,1
2023,0
2024,0
2025,NA
