year,prcptot
1895,NA
1896,970.8
1897,NA
1898,NA
1899,1353.1
1900,NA
1901,1111.2
1902,1172.5
1903,NA
1904,868.7
1905,987
1906,1402.6
1907,1293.9
1908,1261.6
1909,1123.2
1910,1100.1
1911,961.1
1912,1403.1
1913,1084.1
1914,1170.7
1915,1289
1916,935.7
1917,1032.5
1918,1080
1919,979.7
1920,1092.2
1921,900.2
1922,1204.7
1923,1180.8
1924,1359.4
1925,880.4
1926,1325.9
1927,NA
1928,NA
1929,NA
1930,1180.4
1931,710.7
1932,1231.4
1933,819.4
1934,1283.7
1935,1083.6
1936,1189.4
1937,1238.5
1938,1038.3
1939,913.9
1940,1023.6
1941,1165
1942,1031
1943,1028.2
1944,1122.7
1945,NA
1946,869.7
1947,1652.5
1948,1893.1
1949,1037.3
1950,1044.2
1951,NA
1952,1173.3
1953,NA
1954,698.5
1955,1099.8
1956,1042.5
1957,1133.6
1958,1195.4
1959,1590.3
1960,NA
1961,1271.3
1962,1242.6
1963,1072.6
1964,1897.7
1965,1184.9
1966,1294.4
1967,1067.6
1968,973.6
1969,1102.6
1970,1129.1
1971,1398.8
1972,1065.8
1973,1575.8
1974,1248.9
1975,1362.9
1976,1285.3
1977,1170.4
1978,1013.7
1979,1384.9
1980,1037.1
1981,1071.3
1982,968.3
1983,1149.6
1984,1223.1
1985,1108.5
1986,830.3
1987,1060.4
1988,916.2
1989,1270
1990,1151.7
1991,1375.7
1992,1364.5
1993,1111.5
1994,1318.2
1995,1496
1996,963.7
1997,1488.5
1998,1323.1
1999,923.6
2000,NA
2001,NA
2002,NA
2003,NA
2004,1076
2005,1291.1
2006,930.9
2007,908.3
2008,1135.6
2009,1350
2010,965.4
2011,1132.1
2012,1094
2013,1258.8
2014,1137.5
2015,1307.3
2016,1354.4
2017,1154.4
2018,1354.9
2019,1000
2020,NA
2021,NA
2022,1017.5
2023,1541.8
2024,1255.8
2025,NA
