year,r10mm
1895,NA
1896,36
1897,NA
1898,NA
1899,42
1900,NA
1901,38
1902,40
1903,NA
1904,34
1905,28
1906,42
1907,39
1908,38
1909,37
1910,37
1911,34
1912,48
1913,34
1914,45
1915,42
1916,28
1917,39
1918,32
1919,30
1920,40
1921,27
1922,36
1923,38
1924,50
1925,27
1926,45
1927,NA
1928,NA
1929,NA
1930,45
1931,24
1932,41
1933,27
1934,36
1935,40
1936,40
1937,37
1938,32
1939,30
1940,34
1941,34
1942,36
1943,33
1944,34
1945,NA
1946,28
1947,63
1948,59
1949,30
1950,36
1951,NA
1952,45
1953,NA
1954,26
1955,40
1956,36
1957,44
1958,36
1959,48
1960,NA
1961,39
1962,38
1963,37
1964,55
1965,38
1966,40
1967,33
1968,36
1969,31
1970,32
1971,44
1972,33
1973,52
1974,43
1975,55
1976,37
1977,41
1978,28
1979,41
1980,38
1981,35
1982,35
1983,38
1984,42
1985,32
1986,29
1987,34
1988,32
1989,37
1990,30
1991,42
1992,47
1993,38
1994,47
1995,39
1996,34
1997,46
1998,44
1999,32
2000,NA
2001,NA
2002,NA
2003,NA
2004,31
2005,41
2006,24
2007,29
2008,39
2009,40
2010,27
2011,35
2012,35
2013,41
2014,36
2015,43
2016,37
2017,33
2018,44
2019,37
2020,NA
2021,NA
2022,37
2023,39
2024,28
2025,NA
