year,r99p
1895,NA
1896,158.5
1897,NA
1898,NA
1899,210.1
1900,NA
1901,0
1902,83.6
1903,NA
1904,0
1905,82.8
1906,284
1907,168.9
1908,0
1909,198.6
1910,0
1911,0
1912,76.2
1913,86.4
1914,0
1915,82.6
1916,0
1917,0
1918,86.4
1919,88.9
1920,0
1921,76.2
1922,0
1923,101.6
1924,0
1925,0
1926,76.2
1927,NA
1928,NA
1929,NA
1930,0
1931,0
1932,0
1933,0
1934,98.6
1935,87.6
1936,0
1937,81.5
1938,0
1939,78.7
1940,91.4
1941,208.3
1942,0
1943,0
1944,235.2
1945,NA
1946,80
1947,0
1948,256
1949,77.5
1950,0
1951,NA
1952,0
1953,NA
1954,0
1955,0
1956,0
1957,0
1958,0
1959,273.8
1960,NA
1961,189.2
1962,81.3
1963,0
1964,449.6
1965,107.4
1966,89.4
1967,0
1968,86.1
1969,0
1970,119.9
1971,167.4
1972,0
1973,199.9
1974,78.2
1975,0
1976,103.6
1977,0
1978,84.6
1979,206.5
1980,0
1981,74.9
1982,0
1983,0
1984,73.9
1985,0
1986,0
1987,0
1988,0
1989,81.3
1990,295.9
1991,0
1992,0
1993,80
1994,73.7
1995,320.8
1996,77
1997,88.9
1998,97.8
1999,74.9
2000,NA
2001,NA
2002,NA
2003,NA
2004,73.9
2005,90.7
2006,163.6
2007,145.3
2008,76
2009,102.1
2010,84.1
2011,73.2
2012,81.5
2013,0
2014,75.4
2015,108
2016,457
2017,228.3
2018,0
2019,0
2020,NA
2021,NA
2022,0
2023,284.7
2024,299.7
2025,NA
