year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,NA
1896,30.73,158.75,26.93,27.69,21.33,67.06,102.61,30.23,22.6,22.6,16.51,115.07,158.75
1897,48.01,84.07,93.72,NA,NA,NA,NA,NA,NA,23.36,19.31,NA,NA
1898,NA,8.38,NA,88.14,45.47,56.13,73.92,71.88,101.09,69.59,74.67,50.3,NA
1899,62.23,57.4,30.73,39.88,29.97,83.82,60.7,107.95,107.95,137.92,146.31,24.39,146.31
1900,18.28,61.72,43.94,136.66,55.12,85.85,76.7,74.18,64.01,NA,41.66,84.08,NA
1901,130.56,37.59,36.84,50.04,138.93,85.59,33.28,43.69,54.36,18.8,14.99,48.51,138.93
1902,47.49,95.51,58.68,43.94,12.95,130.31,39.38,74.94,90.68,59.94,32.51,83.82,130.31
1903,27.43,49.78,37.33,NA,73.66,69.6,25.4,80.52,93.99,49.28,49.78,39.11,NA
1904,37.34,66.55,57.91,8.12,24.38,69.6,71.89,50.81,79,12.95,38.1,26.67,79
1905,19.81,148.84,55.87,49.03,39.37,28.96,73.66,59.17,5.34,24.89,32.25,68.32,148.84
1906,60.96,41.4,43.69,19.05,84.84,204.46,74.42,144.02,48.26,27.44,22.86,25.91,204.46
1907,20.83,60.2,25.4,58.67,67.56,111,132.33,79.24,130.81,130.81,28.96,59.44,132.33
1908,58.42,79,114.55,68.58,30.73,43.43,60.96,102.62,77.47,63.5,43.69,31.49,114.55
1909,24.13,51.31,47.49,41.15,43.69,118.36,44.2,49.79,155.19,35.82,9.65,36.83,155.19
1910,41.65,52.07,23.62,25.91,37.59,64.26,73.92,43.44,73.41,66.8,19.81,13.97,73.92
1911,19.05,29.21,42.66,61.47,10.67,25.15,15.24,81.03,107.18,39.37,51.82,54.86,107.18
1912,72.39,44.96,43.18,63,39.12,93.47,94.74,75.43,102.61,71.62,40.64,64.77,102.61
1913,34.8,55.37,126.25,29.72,37.59,45.46,87.12,39.37,43.69,40.89,33.27,34.29,126.25
1914,44.2,26.67,23.62,44.7,4.83,49.28,78.74,68.84,65.02,41.41,44.19,46.23,78.74
1915,76.45,38.86,19.05,41.15,95.25,93.47,70.1,102.36,44.19,88.39,37.59,29.21,102.36
1916,22.1,25.4,43.69,27.43,9.65,77.47,137.92,49.53,40.64,38.1,13.72,29.97,137.92
1917,45.72,44.96,47.5,49.78,38.35,52.83,72.39,28.96,121.41,115.82,18.54,25.91,121.41
1918,39.37,44.7,27.43,113.28,48.26,101.6,52.07,107.19,41.91,43.18,65.28,62.23,113.28
1919,41.91,80.01,80.01,30.48,36.07,92.2,184.15,120.65,13.21,5.08,5.08,2.54,184.15
1920,30.48,62.48,70.1,41.4,41.4,46.99,33.02,50.8,63.5,69.85,50.8,27.94,70.1
1921,38.1,36.83,23.11,16.51,143.51,30.48,85.09,54.61,15.24,20.32,63.5,63.5,143.51
1922,27.43,63.5,144.27,50.8,58.42,109.47,54.61,76.2,25.4,68.07,3.81,50.8,144.27
