year,sdii
1895,NA
1896,12.6
1897,NA
1898,NA
1899,15.6
1900,NA
1901,10.7
1902,13.3
1903,NA
1904,11
1905,11
1906,14.9
1907,13.2
1908,14
1909,12.1
1910,11.7
1911,11
1912,12.8
1913,11.1
1914,12.3
1915,15.5
1916,11.6
1917,11.6
1918,14
1919,14
1920,15.6
1921,12.2
1922,13.4
1923,12.7
1924,15.1
1925,13.1
1926,16.6
1927,NA
1928,NA
1929,NA
1930,14.2
1931,9
1932,14.2
1933,11.1
1934,14.1
1935,12.5
1936,12.4
1937,11.9
1938,12.8
1939,10.6
1940,11.2
1941,13.9
1942,13.4
1943,14.9
1944,12.2
1945,NA
1946,14.3
1947,13.7
1948,16
1949,10.3
1950,10
1951,NA
1952,13
1953,NA
1954,11.3
1955,12
1956,11.5
1957,10.8
1958,12.2
1959,14.3
1960,NA
1961,12.5
1962,12.9
1963,11.7
1964,16.9
1965,12.6
1966,12.7
1967,12.1
1968,10.1
1969,11.4
1970,13.1
1971,13.3
1972,10.4
1973,15
1974,12.2
1975,11.4
1976,12.7
1977,12.3
1978,12.5
1979,14.1
1980,11.2
1981,13.1
1982,9.6
1983,11.2
1984,13.6
1985,12.7
1986,10.6
1987,12.2
1988,10.7
1989,12.6
1990,15
1991,12.2
1992,13.1
1993,13.1
1994,13.6
1995,15.9
1996,11
1997,15.2
1998,14.2
1999,11
2000,NA
2001,NA
2002,NA
2003,NA
2004,13.6
2005,14.7
2006,12.8
2007,13.2
2008,13.4
2009,13.5
2010,12.2
2011,12.7
2012,12.9
2013,13
2014,12.5
2015,12.7
2016,19.6
2017,15
2018,12.5
2019,11.2
2020,NA
2021,NA
2022,11.6
2023,16.6
2024,16.5
2025,NA
