year,su
1895,NA
1896,193
1897,193
1898,191
1899,190
1900,NA
1901,NA
1902,192
1903,NA
1904,186
1905,201
1906,186
1907,201
1908,207
1909,204
1910,202
1911,220
1912,203
1913,191
1914,208
1915,210
1916,NA
1917,NA
1918,211
1919,NA
1920,182
1921,NA
1922,NA
1923,NA
1924,NA
1925,204
1926,195
1927,NA
1928,NA
1929,184
1930,183
1931,195
1932,176
1933,212
1934,194
1935,NA
1936,201
1937,178
1938,200
1939,203
1940,NA
1941,200
1942,206
1943,209
1944,192
1945,NA
1946,NA
1947,176
1948,185
1949,182
1950,188
1951,181
1952,NA
1953,NA
1954,NA
1955,187
1956,183
1957,173
1958,180
1959,190
1960,NA
1961,176
1962,186
1963,170
1964,177
1965,182
1966,184
1967,186
1968,193
1969,181
1970,190
1971,192
1972,183
1973,200
1974,209
1975,201
1976,192
1977,195
1978,208
1979,175
1980,176
1981,184
1982,193
1983,159
1984,195
1985,220
1986,204
1987,192
1988,188
1989,199
1990,221
1991,211
1992,183
1993,188
1994,209
1995,208
1996,201
1997,191
1998,218
1999,203
2000,NA
2001,NA
2002,NA
2003,NA
2004,182
2005,176
2006,168
2007,196
2008,164
2009,165
2010,182
2011,188
2012,201
2013,171
2014,179
2015,180
2016,191
2017,196
2018,188
2019,195
2020,NA
2021,NA
2022,186
2023,176
2024,193
2025,NA
