year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.43,NA
1896,11.81,15.38,18.48,27.37,32.67,32.85,34.12,33.41,31.39,24.25,21.8,12.89,24.71
1897,12.19,16.78,20.36,24.18,28.64,34.44,34.19,32.17,30.26,26.43,21.37,15.55,24.75
1898,17.65,16.21,22.38,22.37,32.2,34.93,33.33,32.02,30.43,25.04,18.02,14.37,24.97
1899,13.91,13.29,20.63,22.67,31.45,33.72,33.53,34.01,30.5,25.11,20.37,14.91,24.58
1900,14.1,13.61,18.67,24.81,29.03,31.09,34.27,36.09,32.98,NA,21.43,14.89,NA
1901,14.34,13.63,NA,20.74,29.63,NA,33.49,32.38,30.41,25.59,19.35,16.33,NA
1902,13.84,11.77,20.02,24.2,32.78,33.22,35.11,32.38,29.3,25.7,22.13,14.57,24.66
1903,11.97,16.96,22.01,NA,27.81,30.26,33.51,33.22,29.89,25,NA,12.52,NA
1904,11,13.89,21.79,23.13,29.68,33.52,34.1,32.2,31.69,25.77,18.87,15.05,24.28
1905,12.03,10.08,21.9,25.7,30.48,34.13,34.44,33.28,32.91,26.15,20.65,12.92,24.63
1906,15.14,15.32,18.94,27.41,29.36,34.06,32.83,34.55,32.85,22.96,20.83,14.18,24.9
1907,19.64,15.75,26.63,23.31,29.86,32.96,35.03,33.87,31.43,24.87,18.76,16.94,25.83
1908,16.04,17.78,25.31,26.28,30.81,31.91,33.26,33.64,29.26,23.71,21.17,17.83,25.61
1909,16.63,20.22,20.5,25.98,29.57,32.65,33.41,33.66,30.13,25.16,23.06,13.21,25.36
1910,14.95,14.84,24.77,26.35,29.25,30.93,32.6,32.58,31.31,26.88,19.2,13.46,24.82
1911,18.08,19.31,22.62,26.48,32.17,36.09,34.96,33.91,34.09,27.56,19.35,17.72,26.9
1912,11.7,14.16,20.14,26.37,30.43,32.19,33.71,34.37,31.63,25.64,20.54,17.2,24.84
1913,20.2,17.02,21.25,25.15,31.9,33.6,36.36,35.32,30.31,25.05,22.24,16.09,26.25
1914,16.06,15.1,20.09,28,33.73,36.13,34.54,33.07,30.26,25.32,20.72,12.81,25.53
1915,14.46,17,16.24,28.09,31.47,32.96,35.91,34.07,32.93,27.83,23.76,15.48,25.88
1916,20.02,NA,NA,26.74,33.32,33.57,31.36,34.48,31.39,26.58,23.33,17.67,NA
1917,18.57,17.8,23.12,27.63,28.03,33.43,33.62,34.07,30,NA,19.91,12.46,NA
1918,13.62,22.3,24.95,24.15,31.15,32.52,32.4,33.48,28.22,28.22,21.54,16.47,25.77
1919,16.43,17.28,21.83,NA,29.28,30.87,32.92,31.74,31.06,NA,20.46,16.55,NA
1920,15.73,14.12,19.48,24.2,28.66,33.91,33.91,32.38,31.41,25.41,18.02,15.02,24.38
1921,16.65,19.78,24.87,27.04,27.69,32.91,NA,31.95,34.89,25.36,19.41,19.7,NA
1922,11.16,16.01,NA,25.74,26.32,33.06,33.39,31.49,31.98,26.77,22.61,15.65,NA
1923,15.68,12.8,NA,23.65,28.08,31.56,31.63,31.61,29.82,23.37,16.96,17.38,NA
1924,13.03,15.63,20.16,25.25,NA,34.45,32.15,34.12,27.5,23.96,21.43,20.16,NA
1925,15.13,20.2,22.1,27.72,28.96,34.37,35.57,35.31,37.2,26.61,19.06,15.02,26.47
1926,14.86,17.42,16.76,25.02,30.66,32.7,33.44,34.82,32.38,27.74,18.56,16.61,25.06
1927,14.09,20.97,20.43,26.25,30.46,31.04,30.72,32.67,32.28,26.35,21.83,NA,NA
1928,NA,NA,NA,NA,28.35,31.93,33.04,NA,27.15,NA,16.33,13.75,NA
1929,13.89,14.29,22.54,26.09,28.49,30.81,32.01,33.12,28.24,24.16,19.91,15.32,24.21
1930,15.63,19.7,16.92,26.09,30.48,30.48,34.01,33.03,31.32,24.05,17.07,12.37,24.28
1931,14.82,17.72,17.54,24.24,28.01,33.57,34.84,33.21,34.09,28.67,22.09,17,25.54
1932,17.72,16.44,16.22,25.5,28.17,32.48,36.63,32.22,29.57,25.5,18.56,17.97,24.78
1933,18.23,16.57,21.94,24.7,32.83,34.61,33.67,33.98,33.65,26.72,20.52,20.95,26.59
1934,16.45,14.3,20.32,25.41,27.54,33.78,34.93,33.3,31.48,26.38,21.89,15.18,25.14
1935,15.65,15.89,22.97,NA,30.39,33.7,32.2,32.6,29.28,26.4,21.13,10.99,NA
1936,13.23,14.25,22.67,24.52,30.68,33.19,35.09,33.51,31.63,26.76,19.04,15.56,25.08
1937,20.02,15.93,20.29,24.72,30.72,33.48,32.42,32.24,29.26,24.01,18.3,14.32,24.69
1938,14.21,19.66,24.54,25.3,30.23,30.68,30.79,33.94,30.96,25.75,20.72,15.9,25.24
1939,17.78,19.82,22.89,25.63,29.36,34.83,34.07,32.74,32.91,28.49,19.37,16.76,26.23
1940,8.98,15.14,19.48,24.91,29.32,33.59,33.03,31.76,NA,27.2,20.43,17.01,NA
1941,15.56,13.47,17.26,26.33,32.28,31.55,33.12,33.32,32.04,28.75,21.89,17.53,25.31
1942,15.07,12.66,20.83,27.36,29.73,32.61,34.23,32.37,31.93,27.2,22.52,17.65,25.45
1943,18.05,20.44,21.24,25.33,30.47,34.44,32.99,34.18,30.19,25.79,20.54,15.18,25.76
1944,14.77,18.39,20.86,24.94,30.91,33.93,32.47,32.13,30.98,26.04,18.8,10.97,24.61
1945,14.23,18.33,27.46,27.58,28.55,34.3,NA,32.24,31.43,25.14,22.02,11.54,NA
1946,14.71,18.2,22.99,25.94,29.28,32.18,NA,30.84,27.94,24.34,21.52,18.57,NA
1947,16.13,13.65,14.39,25.68,28.66,30.44,30.99,31.04,29.37,24.98,16.17,14.35,23.09
1948,10.84,13.83,21.17,25.46,28.87,32.74,31.99,31.54,27.43,22.26,22.15,15.93,23.72
1949,19.16,18.75,20.05,22.87,29.07,30.02,32.76,31.2,27.89,25.65,19.33,16.31,24.45
1950,20.27,18.87,17.81,23.59,29.37,32.28,30.79,32.02,28.13,25.07,18.44,11.63,24.05
1951,15.75,16.82,19.12,22.98,28.6,31.54,32.83,32.62,29.07,25.17,17.41,16.49,24.08
1952,18.26,16.32,NA,23.09,28.31,33.33,34,31.79,28.02,22.76,20.09,13.6,NA
1953,17.01,16.79,20.52,NA,NA,32.17,32.33,33.1,29.87,26.11,NA,14.62,NA
1954,16.15,18.04,NA,26.44,26.54,32.74,34.35,35.09,32.76,27.11,NA,13.46,NA
1955,12.24,14.74,20.39,24.24,29.05,28.59,31.97,32.12,29.61,25.27,19.82,13.37,23.5
1956,13.44,18.51,19.37,23.44,29.03,32.26,33.48,33.66,29.1,24.05,19.57,20.29,24.69
1957,15.43,19.94,18.05,25.24,28.28,30.87,32.42,32.76,30.63,21.77,19.96,15.47,24.24
1958,10.2,11.81,16.38,23.89,27.99,31.74,33.06,32.78,30.65,23.87,22.82,12.71,23.18
1959,14.21,15.89,18.62,24.96,30.2,31.87,31.83,32.92,28.94,24.35,19.19,15.07,24.05
1960,NA,14.25,13.03,25.78,28.08,31.28,NA,32.45,30.61,26.47,20.8,13.17,NA
1961,11.99,16.57,21.77,21.13,26.36,30.57,32.98,31.47,30.89,25.88,22.13,15.63,23.98
1962,12.94,18.73,17.33,22.91,32.13,30.94,33.8,32.76,30.09,26.04,18.78,13.33,24.18
1963,11.88,12.64,21.95,25.39,28.49,30.87,32.24,33.57,28.43,25.52,20.65,10.7,23.59
1964,12.92,12.66,19.35,24.37,29.09,32.09,30.16,30.25,28.83,22.15,22.2,15.79,23.34
1965,15.64,15.61,17.92,24.19,31.17,29.13,31.38,32.24,29.69,24.45,20.98,17.08,24.17
1966,11.83,15.34,19.18,25.19,26.81,29.7,33.65,31.61,29.59,25.52,20.35,15.43,23.7
1967,16.24,14.48,23.67,28.17,28.55,30.5,31.11,30.56,27.72,24.95,20.42,18.76,24.65
1968,11.88,13.18,21.59,26.37,28.28,31.44,32.74,33.93,30.39,25.31,18.98,14.12,24.05
1969,14.77,13.39,17.92,25.69,28.1,32.74,33.31,30.2,28.07,25.7,19.3,15.22,23.76
1970,11.36,17.16,20.61,25.89,30.02,31.57,33.83,32.49,31.52,25.75,19.68,17.99,24.86
1971,15.54,16.9,18.33,25.78,27.96,32.54,31.7,31.09,30.48,26.18,20.22,20.07,24.77
1972,18.44,14.73,20.82,25.3,26.4,30.82,32.06,32.45,31.74,25.45,19.39,18.69,24.72
1973,14.28,15.38,22.13,23.59,28.1,30.76,32.58,31.43,31.06,26.86,23.61,16.45,24.74
1974,21.27,18.1,24.46,25.7,29.86,30.54,31.43,31.25,28.7,25.64,20.44,15.45,25.28
1975,17.17,18.08,20.66,24.17,29.39,31.15,30.65,32.87,29.63,26.88,22.09,16.29,24.95
1976,14.26,21.65,23.66,27.06,26.79,30.11,33.1,31.65,28.65,22.83,16.7,13.71,24.18
1977,8.49,16.71,22.19,27.28,30.09,33.54,35.2,32.28,30.63,23.6,21.63,15.21,24.76
1978,10.5,11.98,19.98,26.89,28.14,32.19,33.33,32.44,31.24,26.29,22.48,17.97,24.51
1979,13.46,14.36,21.81,25.26,27.85,29.8,31.88,32.63,26.63,25,21.3,15.81,23.87
1980,13.8,14.16,19.23,25.37,28.6,31.85,34.86,34.5,32.52,23.67,18.69,15.36,24.41
1981,12.96,17.64,19.71,27.91,29.03,33.96,33.39,29.59,30.78,24.82,20.35,13.48,24.48
1982,12.15,16.63,22.24,23.07,29.71,31.3,31.95,31.56,28.83,24.03,19.98,17.42,24.12
1983,10.63,13.65,18.89,22.2,28.33,30.33,34.28,34.19,28.98,25.43,19.33,13.15,23.34
1984,12.22,18.05,21.7,23.28,28.15,32.44,31.56,31.72,29.74,28.44,19.8,20.91,24.86
1985,12.49,16.75,23.3,27.48,30.09,33.2,33.01,31.68,30.39,26.63,23.44,14.73,25.3
1986,14.82,19.86,22.26,27.43,30.59,34.41,37.08,32.36,31.68,26.24,21.59,15.59,26.18
1987,13.57,15.02,20.32,24.65,30.3,32.72,34.61,34.78,30.32,24.09,22.59,17.53,25.1
1988,11.52,16.3,21.86,26.37,29.57,33.31,33.96,33.57,29.59,23.66,21.89,17.1,24.91
1989,18,18.91,22.02,25.92,28.64,32.87,32.72,32.13,29.44,25.99,21.81,12.17,25.1
1990,19.46,21.65,23.08,26.28,30.25,33.72,34.95,33.78,32.35,27.26,23.02,18.15,27.02
1991,14.23,19.25,22.29,25.72,29.41,31.57,33.53,31.88,30.98,26.79,20.04,18.69,25.4
1992,15.56,19.31,21.42,24.98,27.83,30.81,33.92,31.22,29.91,24.55,20.26,14.64,24.54
1993,16.54,15.02,19.26,24.54,29.48,33.46,36.92,34.07,31.7,24.66,20.46,14.98,25.15
1994,12.4,17.84,24.1,27.67,28.91,32.96,32.44,31.83,29.39,23.78,22.24,16.45,25.03
1995,15.61,15.79,23.39,27.74,31.27,30.76,34.46,32.29,28.69,26.99,18.78,15.04,25.13
1996,14.63,18.66,18.91,25.91,31.56,32.91,33.96,32.01,31.19,25.27,19.46,18.12,25.26
1997,16.25,19.36,26.06,24.91,28.3,29.98,34.21,32.94,30.11,24.59,17.76,14.95,24.99
1998,16.69,17.48,19.84,24.3,30.73,35.33,35.41,33.85,31.44,27.35,22.65,19.28,26.24
1999,19.09,19.17,20.74,27.44,28.78,31.32,34.16,35.47,30.48,24.87,22.82,17.19,25.99
2000,13.58,20.19,23.98,25.24,32.83,34.57,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,32.31,29.26,24.14,17.8,13.14,NA
2003,11.52,14.58,19.96,22.63,27.04,29.87,NA,29.52,26.74,23.73,21.63,12.83,NA
