year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,NA
1896,0.07,1.92,4.03,12.85,18.49,20.06,23.01,22.19,17.69,11.33,9.06,0.73,11.8
1897,1,5.2,9.03,10.65,14.62,20.82,21.27,20.52,16.83,13.21,6.5,2.69,11.9
1898,3.94,0.1,10.04,7.74,15.73,19.93,21.38,21.63,18.78,11.45,4.96,2.78,11.62
1899,1.18,1.29,7.06,9.93,17.19,19.87,20.95,21.52,16.98,12.53,7.17,1.49,11.49
1900,1.11,1.55,5.57,11.52,14.75,19.89,21.85,21.92,19.52,NA,7.26,1.56,NA
1901,1.56,0.66,NA,7.32,16.22,19.74,22.54,21.59,18.04,9.79,2.48,0.09,NA
1902,-0.29,0.22,6.85,9.91,17.62,19.98,22.04,20.79,16.8,11.94,9.17,2.65,11.54
1903,1.85,3.17,11.77,NA,16.24,18.59,21.34,21.88,17.19,9.64,NA,-1.36,NA
1904,-0.5,0.92,7.4,9.33,14.46,18.87,20.77,20.32,17.59,10.32,4.37,1.95,10.51
1905,-1.06,-0.85,8.75,11.11,18.32,20.3,22.13,20.2,19.13,11.92,6.17,1.99,11.58
1906,3.48,1.92,5.95,11.07,15.45,21.15,21.58,22.69,20.85,10.79,5.72,2.7,12.05
1907,6.4,3.21,11.4,7.78,15.79,19.09,22.49,21.15,19.54,9.71,5.76,2.85,12.16
1908,1.52,1.07,10.83,13.56,16.56,19.13,21.13,20.52,16.61,9.8,8.09,4.73,11.97
1909,4.14,4.74,6.63,11.93,15.46,20.74,20.86,20.59,17.11,9.36,7.7,0.56,11.67
1910,0.97,1.81,8.55,10.13,15.45,18.63,20.99,20.72,18.57,12.58,4.22,0.57,11.16
1911,4.14,5.89,6.54,11.59,15.41,20.63,20.59,20.95,20.72,14.64,5.15,4.09,12.56
1912,-0.3,0.54,6.43,12.59,16.9,18.57,20.77,20.61,20.35,11.79,3.95,4.14,11.36
1913,7.29,4.44,8.46,9.41,14.75,18.2,21.77,20.38,16.17,9.86,5.02,3.74,11.68
1914,1.67,2.08,3.41,11.65,14.39,20.7,20.21,20.57,15.7,13.1,4.81,3.15,11
1915,2.11,3.51,1.99,10.11,17.94,18.28,21.54,21.09,18.63,13.44,6.57,0.25,11.33
1916,6.27,3.31,5.46,9.2,16.34,19.2,21.13,20.93,15.87,11.7,5.24,0.04,11.27
1917,4.48,2.28,5.82,10.91,12.44,18.91,20.56,20.2,16.44,7.63,2.7,-1,10.16
1918,-2.26,3.81,9.52,10.27,15.23,18.54,18.89,NA,16.39,17.62,NA,7.97,NA
1919,1.18,2.02,8.24,NA,16.68,19.56,21.02,20.7,16.26,18.26,8.35,1.85,NA
1920,2.42,1.49,3.33,10.02,14.05,18.8,20.54,20.54,18.63,10.2,4.81,1.83,10.58
1921,2.62,5.44,10.07,7.28,14.01,17.98,NA,20.41,20.7,9.12,8.35,4.91,NA
1922,2.54,6.65,NA,11.7,15.93,19.91,21.52,19.28,17.96,12.03,6.17,6.07,NA
1923,4.87,3.63,8.41,9.95,14.79,19.24,20.45,21.45,18.54,10.63,4.54,5.81,11.91
1924,1.06,1.63,5.07,10.2,13.15,19.87,21.2,21.24,16.93,10.09,6.35,5.07,11.01
1925,1.95,5.12,6.76,11.99,14.53,20.72,22.24,20.61,21.91,14.35,5.48,2.6,12.32
1926,2.96,5.02,3.51,9,14.61,19.52,20.99,22.53,19.89,12.19,5.07,5.13,11.76
1927,1.81,8.31,8.06,11.96,15,19.43,19.84,19.16,17.7,11.33,8.33,NA,NA
1928,NA,NA,NA,NA,14.21,20.5,21.65,NA,17.76,14.7,6.48,4.03,NA
1929,4.54,4.44,10.38,13.13,16.07,18.94,20.41,20.91,18.94,11.85,9.37,2.99,12.73
1930,4.48,5.34,6.02,11.61,17.01,18.63,22.11,19.37,20.69,10.52,7.04,1.94,12.09
1931,2.06,3.45,4.61,10.2,14.7,19.04,22.19,20.5,19.39,12.69,8.8,8.23,12.2
1932,8.75,8.31,5.72,10.94,15.52,20.56,22.24,21.4,18.17,13.14,6.69,7.47,13.26
1933,6.77,5.36,7.24,11.09,18.6,19.43,21.04,21.6,19.94,13.15,5.63,7.2,13.14
1934,4.62,0.56,6.54,12,15.52,20.91,22.42,21.95,19.74,12.76,7.74,3.1,12.39
1935,4.01,3.57,10.21,12.5,16.43,19.8,21.65,21.54,18.5,12.29,9.18,-0.52,12.48
1936,1.43,2.32,8.75,10.65,16.25,19.63,21.68,21.58,19.26,14.48,6.4,5.36,12.37
1937,11.24,4.15,5.84,10.63,15.68,20.36,20.64,20.93,17.09,11.31,4.96,2.37,12.11
1938,3.21,6.95,10.48,11.54,17.42,19.3,20.38,21.76,18.35,10.98,8.89,3.12,12.72
1939,3.91,7.28,9.27,11.41,15.63,21.44,21.67,20.68,19.85,13.75,4.82,3.39,12.78
1940,-1.43,3.12,6,10.41,14.25,20.63,22.31,21.56,17.07,11.09,7.04,4.85,11.46
1941,2.78,0.42,4.09,12.26,15.18,20.19,21.54,21.38,18.26,15.25,6.33,3.91,11.86
1942,1.68,0.3,6.72,10,15.32,19.37,20.99,19.09,17.07,10.77,6.26,1.76,10.84
1943,3.03,2.24,5.99,10.33,16.9,21.11,21.18,20.43,15.5,9.23,3.57,1.04,10.93
1944,1.2,6.36,6.02,9.76,14.91,19.11,18.44,18.4,19.02,11.76,6.74,0.59,11.02
1945,2.67,5.46,11.92,14.09,15.09,20.59,NA,20.84,20.39,12.26,6.89,-0.43,NA
1946,2.54,2.66,9.39,10.35,15.41,19.48,NA,19.32,16.91,11.31,9.91,2.83,NA
1947,4.77,-1.71,2.89,12.87,16.4,18.91,19.5,21.09,18.83,15.29,6.33,1.91,11.55
1948,-0.9,3.35,8.48,13.22,16.43,19.98,21.85,19.87,17.3,9.48,9.11,5.02,11.93
1949,7.31,7.1,6.17,10.13,16.34,20.41,22.2,21.38,17.69,15.41,5.04,4.17,12.84
1950,8.66,5.15,5.99,9.54,17.24,20.67,20.95,19.77,17.18,13.69,3,-0.32,11.86
1951,1.2,2.14,7.53,10.69,14.59,20.17,20.81,21.17,18.41,14.02,4,3.89,11.6
1952,5.7,NA,6.16,10.24,16.29,22.06,21.72,20.97,17.57,8.14,5.35,0.82,NA
1953,2.67,3.57,6.9,NA,NA,20.09,20.77,20.09,17.46,11.27,NA,3.4,NA
1954,3.14,4.4,NA,13.11,12.74,18.85,20.39,20.95,18.41,11.53,NA,1.47,NA
1955,1.56,2.9,7.79,12.46,16.58,16.7,21.09,21.56,18.74,9.69,4.15,0.2,11.17
1956,-0.72,5.11,5.29,9.46,16.18,18.13,20.65,20.23,14.75,13.03,3.7,6.6,11.05
1957,3.23,7.46,6.51,11.59,16.18,20.04,20.33,19.21,18.89,9.21,7.5,2.89,11.9
1958,-1.61,-1.91,4.78,10.98,15.48,19.52,21.43,20.73,17.22,9.57,7.06,-0.73,10.24
1959,0.09,4.78,5.05,11.59,16.36,18.69,20.82,20.97,17.91,14.5,5.69,2.03,11.57
1960,NA,1.23,1.24,10.93,13.91,19.33,NA,20.52,18.5,12.65,5.52,-1.88,NA
1961,-1.56,4.56,8.15,8.39,14.46,18.78,20.75,20.77,18.02,7.9,7.57,2.24,10.86
1962,1.27,4.13,5.07,9.07,16.86,19.39,21.02,20.27,16.72,11.36,4.69,0.57,10.91
1963,-1.68,-1.11,7.06,11.04,14.77,19.35,19.96,20.72,16.24,10.47,5.41,-1.76,10.1
1964,0.84,0.29,5.99,11.31,15.18,20.07,20.25,19.86,17.2,9.19,7.07,2.87,10.87
1965,0.95,2.52,5.34,11.54,16.36,18.31,20.32,20.38,18.44,10.75,6.67,2.51,11.23
1966,0.22,3.33,4.86,10.2,15.81,16.57,20.96,20.22,17.02,11.15,4.61,2.44,10.63
1967,3.23,1.51,7.97,12.2,14.1,17.91,19.88,19.64,13.87,9.05,3.85,4.95,10.74
1968,-0.36,-1.3,4.16,11.17,14.43,18.61,20.75,20.91,16.78,12.26,5.57,0.21,10.3
1969,0.36,1.15,3.4,11.13,14.62,20.06,21.63,19.89,17.44,12.89,3.96,0.34,10.62
1970,-1.72,1.19,6.54,12.28,15.3,18.91,20.84,21.72,18.56,13.48,4.33,3.71,11.32
1971,2.99,2.14,4.46,9.61,13.82,19.48,20.68,20.97,18.59,15.47,5.68,8.96,11.97
1972,6.47,2.34,5.95,9.78,14,15.65,19.34,19.86,17.54,11.22,6.67,6.31,11.29
1973,1.4,0.56,9.93,9.83,13.89,19.8,20.88,19.61,18.37,10.81,6.17,1.56,11.12
1974,8.35,2.18,6.9,9.17,15.84,16.33,18.53,19.07,15.8,7.72,5.17,3.46,10.77
1975,4.59,5.06,5.93,9.78,16.29,18,18.1,20.16,18.17,12.54,6.35,1.31,11.39
1976,-0.88,4.14,8.62,8.3,12.53,18.04,20.31,18.69,16.02,7.97,2.2,1.57,9.85
1977,-2.46,0.52,10.05,11.81,15.82,19.07,20.52,19.71,18.32,9.79,8.33,2.28,11.22
1978,-1.77,-0.85,5.14,11.13,15.43,19,20.43,20.02,18,9.79,10.02,4.34,10.95
1979,-0.05,0.95,7.28,11.56,15.7,17.76,20.59,19.45,17.78,8.87,6.87,1.74,10.76
1980,2.9,-0.21,5.7,10.8,14.34,18.46,20.7,19.16,18.63,10.81,5.67,1.27,10.72
1981,-1.97,3,4.62,12.06,12.95,20.88,21.02,19.79,14.8,9.53,5.06,0.97,10.15
1982,-0.18,4.6,7.87,9.07,14.34,18.87,21.34,19.89,17.11,11.79,8.22,7.2,11.72
1983,0.95,2.78,6.63,8.7,15.13,17.65,20.93,21.02,17.26,13.06,6.44,2.63,11.15
1984,1.54,4.14,6.25,10.22,14.61,18.54,20.38,20.68,16.2,15,4.76,6.58,11.61
1985,-0.48,3.16,7.55,10.3,15.43,18.94,19.75,19.37,15.8,15.04,11.78,1.08,11.51
1986,1.13,5.99,6.58,9.46,14.64,20.17,22.28,20.54,18.78,12.87,10.83,3.64,12.26
1987,1.08,2.54,6.54,7.74,14.98,19.02,19.82,20.43,16.67,5.09,5.63,4.23,10.36
1988,-0.34,1.95,5.48,9.59,12.99,16.35,19.79,19.89,17.87,8.85,7.61,1,10.1
1989,4.63,4.6,8.39,10.57,13.71,19.63,20.79,20.79,18.63,12.24,7.39,-0.77,11.77
1990,4.71,7.74,8.94,9.85,15.45,19.06,21.24,21,17.19,13.4,6.69,6.2,12.66
1991,3.8,4.88,7.71,13.22,18.06,18.81,21.08,20.11,15.93,10.66,3.33,3.58,11.81
1992,1.52,4.44,5.32,9.07,12.65,17.93,20.38,19.32,16.96,9.03,6.56,3.44,10.56
1993,5.23,2.92,5.7,8.07,14.62,19.18,22.17,20.22,18.26,11.5,6.2,0.41,11.26
1994,-0.86,3.45,6.67,9.78,12.53,18.76,19.34,17.99,15.07,10.13,7.07,3.8,10.34
1995,0.66,2.72,8.23,11.04,15.91,17.98,20.54,20.75,16.65,12.15,3.26,-0.95,10.79
1996,0.07,1.78,3.33,8.07,14.19,16.72,19.03,17.74,15.32,8.17,3.78,3.89,9.39
1997,3.62,5.87,10.64,9.11,13.19,18.04,20.57,18.78,17.13,11.52,4.52,2.53,11.33
1998,3.6,3.95,5.18,10.24,16.11,19.17,20.25,18.78,16.57,10.25,7.5,4,11.34
