year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
1896,5,5,3,1,0,3,0,2,3,0,0,2,24
1897,3,1,1,0,4,0,3,2,3,0,0,0,17
1898,2,6,0,5,3,0,2,0,1,6,2,0,27
1899,0,6,5,3,3,3,6,1,3,2,0,4,36
1900,6,6,2,4,4,2,0,0,2,NA,2,1,NA
1901,0,4,NA,3,3,1,0,0,1,2,7,7,NA
1902,3,2,3,2,2,2,1,4,5,1,0,3,28
1903,2,4,0,NA,0,2,4,0,2,4,NA,5,NA
1904,3,1,0,2,1,5,2,2,3,2,0,4,25
1905,7,4,0,3,0,1,0,7,0,4,0,1,27
1906,0,1,1,1,3,0,1,0,0,5,1,3,16
1907,0,0,0,6,2,0,0,1,0,4,1,1,15
1908,0,2,0,0,0,2,1,2,5,1,1,0,14
1909,2,1,0,1,0,0,4,2,3,2,1,4,20
1910,0,1,0,3,2,1,4,1,4,3,2,5,26
1911,1,2,1,2,1,0,7,2,0,0,5,2,23
1912,6,6,0,0,1,6,0,2,0,0,8,1,30
1913,0,1,1,3,2,6,2,2,5,4,5,3,34
1914,2,4,8,2,1,1,6,1,6,2,4,5,42
1915,0,0,7,4,0,1,3,1,1,2,2,5,26
1916,1,2,3,1,0,1,0,2,6,2,4,0,22
1917,1,7,2,3,7,3,0,2,5,11,8,7,56
1918,9,2,0,1,2,2,7,NA,5,0,NA,0,NA
1919,4,0,1,NA,0,2,3,1,5,0,2,0,NA
1920,3,6,9,3,1,4,5,1,1,6,1,0,40
1921,0,0,0,7,5,3,NA,2,0,5,0,0,NA
1922,5,2,NA,3,2,0,0,10,0,0,4,0,NA
1923,0,5,1,2,3,1,4,0,1,3,2,0,22
1924,3,3,5,3,3,0,3,2,5,3,1,2,33
1925,1,0,3,1,4,0,2,3,0,1,1,3,19
1926,1,0,3,5,0,4,5,0,0,2,2,0,22
1927,6,1,3,2,2,4,2,6,1,1,1,NA,NA
1928,NA,NA,NA,NA,4,1,2,NA,0,0,2,0,NA
1929,0,0,0,0,2,3,5,1,2,0,1,4,18
1930,0,0,3,1,1,4,0,7,0,1,4,0,21
1931,2,1,0,1,2,2,0,4,0,0,0,0,12
1932,0,0,4,0,0,0,1,0,2,0,1,0,8
1933,0,1,0,0,0,3,4,0,0,0,3,0,11
1934,2,5,1,2,3,0,0,1,2,0,2,1,19
1935,3,2,0,0,2,0,0,1,0,3,2,7,20
1936,3,2,0,3,0,2,1,2,2,0,1,0,16
1937,0,1,4,2,0,0,3,2,0,3,4,4,23
1938,2,0,1,1,0,1,4,0,2,1,4,0,16
1939,0,1,1,0,3,0,0,2,0,2,1,0,10
1940,7,1,2,2,3,1,1,0,4,1,2,0,24
