year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.44,NA
1896,-11.11,-10.56,-5,2.22,11.11,13.89,18.89,13.89,5.56,3.33,0.56,-7.22,-11.11
1897,-11.11,-4.44,-0.56,5,7.22,16.67,15.56,15.56,8.33,7.22,0.56,-3.33,-11.11
1898,-8.33,-10,-1.11,1.67,6.11,15.56,15,19.44,11.67,-0.56,-3.33,-4.44,-10
1899,-4.44,-19.44,-7.22,0.56,10.56,11.67,13.89,16.67,6.67,6.11,0.56,-7.22,-19.44
1900,-10.56,-10,-3.33,-1.67,7.22,13.89,18.33,18.33,11.11,NA,-1.67,-3.89,NA
1901,-4.44,-9.44,NA,0.56,10.56,13.89,20.56,18.89,11.11,1.67,-5,-10,NA
1902,-7.78,-5,-2.78,1.11,11.11,15,13.89,16.11,11.11,3.33,-2.22,-8.33,-8.33
1903,-6.11,-6.67,3.33,NA,11.67,10.56,16.67,19.44,10,-1.11,NA,-6.11,NA
1904,-8.33,-5.56,-0.56,0.56,8.33,12.78,16.11,15,10,1.11,-2.22,-5.56,-8.33
1905,-10,-9.44,2.78,-1.67,12.22,12.22,19.44,14.44,15.56,2.22,-1.67,-3.89,-10
1906,-5.56,-4.44,-2.22,2.78,3.33,18.33,17.22,20.56,16.67,0.56,-1.67,-6.67,-6.67
1907,-3.89,-3.89,3.33,-1.67,10,13.33,18.89,16.67,15.56,0.56,-1.67,-3.89,-3.89
1908,-5.56,-6.67,0.56,2.78,8.33,15.56,17.78,15,9.44,4.44,-0.56,-1.67,-6.67
1909,-10,-6.67,0,1.67,7.78,17.22,17.22,14.44,6.67,1.67,-2.22,-11.11,-11.11
1910,-5.56,-5.56,-0.56,1.11,8.33,11.67,16.11,16.11,10,-2.78,-3.33,-7.22,-7.22
1911,-7.22,-3.89,-0.56,3.33,7.22,15,15.56,15.56,18.33,7.78,-4.44,-5,-7.22
1912,-11.11,-8.33,-1.11,3.33,10,11.67,17.78,16.11,14.44,3.33,-4.44,-5.56,-11.11
1913,-1.67,-3.89,-1.67,2.78,7.78,7.78,16.67,16.67,6.11,-1.11,-4.44,-7.22,-7.22
1914,-6.67,-7.22,-7.22,2.22,7.22,15.56,15,17.22,7.78,-0.56,-6.67,-8.33,-8.33
1915,-3.89,-3.89,-3.89,-0.56,12.22,14.44,16.67,17.22,11.11,2.78,-2.22,-5.56,-5.56
1916,-6.67,-7.22,-3.89,-2.22,10.56,14.44,19.44,16.67,7.78,3.33,-5,-5,-7.22
1917,-7.78,-13.89,-5,1.67,5.56,14.44,18.33,16.11,6.67,-0.56,-6.11,-13.33,-13.89
1918,-12.22,-7.22,2.78,3.33,6.11,14.44,13.89,NA,6.67,8.33,NA,-3.33,NA
1919,-11.11,-4.44,1.11,NA,11.11,14.44,13.33,16.67,11.67,12.78,-2.22,-5,NA
1920,-10.56,-6.11,-7.22,0,9.44,13.33,13.33,16.11,12.78,0.56,-2.22,-3.89,-10.56
1921,-3.89,-1.67,1.11,-0.56,5,11.67,NA,15,17.78,3.33,-0.56,-2.78,NA
1922,-6.67,-6.11,NA,3.33,10,16.11,18.89,13.89,12.22,4.44,-6.11,-1.11,NA
1923,-3.33,-6.67,-3.33,-1.11,5.56,13.89,16.67,18.89,12.78,1.67,-3.33,-5,-6.67
1924,-11.67,-5.56,-6.11,0,6.11,16.11,16.67,15.56,10.56,3.33,-2.22,-5,-11.67
1925,-5.56,-2.78,-3.89,1.11,5,15.56,17.22,15.56,17.22,3.89,-4.44,-11.67,-11.67
1926,-5.56,-4.44,-6.11,0.56,8.33,13.33,15.56,20,15.56,1.11,-3.89,-5,-6.11
1927,-11.11,-4.44,-3.89,3.89,7.22,13.33,15.56,13.33,8.89,3.89,-2.78,NA,NA
1928,NA,NA,NA,NA,5.56,12.78,16.67,NA,10.56,5,-5,-2.78,NA
1929,-2.78,-2.78,0,4.44,7.22,11.11,16.67,16.11,9.44,3.89,-7.22,-7.22,-7.22
1930,-3.89,-2.78,-3.89,3.89,8.89,9.44,18.33,12.78,14.44,2.78,-4.44,-5,-5
1931,-6.67,-3.89,-2.22,2.78,7.22,13.33,19.44,13.89,10.56,3.33,1.11,0,-6.67
1932,-1.11,-1.11,-6.11,4.44,11.11,15,17.22,18.89,11.67,5.56,-2.78,-2.78,-6.11
1933,-2.78,-7.22,-1.11,5,13.89,11.11,14.44,19.44,12.78,5,-3.33,-3.89,-7.22
1934,-8.89,-8.33,-2.78,1.67,10,17.22,20.56,15.56,13.89,2.78,-2.78,-8.33,-8.89
1935,-8.33,-6.67,-2.22,4.44,10.56,15.56,19.44,16.11,12.78,2.78,-3.89,-9.44,-9.44
1936,-8.89,-9.44,0.56,-0.56,11.67,14.44,15,16.67,13.33,4.44,-5.56,-2.22,-9.44
1937,2.22,-3.33,-2.22,1.67,10.56,17.78,15.56,17.78,12.22,-1.11,-7.22,-11.11,-11.11
1938,-8.89,-1.11,-2.78,2.78,12.22,15.56,16.67,17.78,10,3.33,-6.67,-4.44,-8.89
1939,-3.33,-5,-0.56,5,5.56,19.44,20,16.11,14.44,2.78,-1.67,-3.33,-5
1940,-10.56,-6.67,-1.67,-1.11,4.44,16.11,18.33,17.78,8.33,5.56,-6.67,-2.78,-10.56
1941,-3.89,-4.44,-5,7.78,8.89,16.67,19.44,17.22,12.22,6.67,-2.78,-3.33,-5
1942,-11.11,-7.78,-2.78,0.56,10,15.56,18.89,11.67,5,1.11,-4.44,-7.78,-11.11
1943,-6.67,-12.22,-9.44,0,8.89,18.89,17.22,15,8.89,0.56,-3.33,-12.22,-12.22
1944,-4.44,-3.33,-2.78,-2.22,5,15,15.56,13.33,13.89,3.33,-0.56,-6.67,-6.67
1945,-4.44,-6.67,3.33,4.44,7.22,14.44,NA,16.11,17.22,3.89,-6.11,-8.89,NA
1946,-7.22,-3.33,1.67,3.33,10,12.78,NA,15,13.33,5.56,1.67,-3.33,NA
