year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.78,NA
1896,9.44,11.67,17.78,19.44,21.67,23.89,26.11,25.56,22.22,19.44,18.33,10,26.11
1897,13.33,17.22,15.56,17.78,19.44,24.44,25.56,23.33,22.78,19.44,12.78,11.67,25.56
1898,15.56,8.89,16.11,16.11,22.22,23.89,24.44,26.11,23.89,23.33,16.67,15,26.11
1899,11.67,17.78,15.56,16.11,21.67,23.89,25,24.44,22.22,18.89,15,10,25
1900,11.67,14.44,12.78,18.89,20.56,26.67,23.89,23.89,22.78,NA,17.78,10,NA
1901,11.11,11.67,NA,15.56,20.56,25,25,23.89,26.11,21.11,12.78,12.78,NA
1902,8.33,8.33,16.67,18.33,21.67,24.44,25,24.44,25,19.44,17.78,12.78,25
1903,14.44,16.11,18.89,NA,21.11,21.67,23.33,23.89,22.22,19.44,NA,8.89,NA
1904,12.78,15,17.22,16.67,20,21.67,22.78,23.33,21.67,18.33,13.89,14.44,23.33
1905,12.78,6.11,16.11,19.44,22.22,25.56,24.44,23.33,22.22,20,13.33,8.33,25.56
1906,19.44,7.78,18.89,17.22,20.56,23.33,24.44,23.89,23.89,19.44,16.67,13.89,24.44
1907,14.44,13.33,18.89,20,20,22.78,25,23.33,22.78,19.44,17.22,15,25
1908,8.33,12.78,20.56,20,21.11,22.22,23.33,23.33,20.56,15,14.44,14.44,23.33
1909,12.78,17.78,17.22,18.33,21.11,23.89,23.89,23.89,21.11,16.67,14.44,20.56,23.89
1910,11.11,15.56,14.44,17.78,20.56,21.11,23.33,23.33,23.33,20.56,14.44,8.89,23.33
1911,13.33,12.78,13.33,18.33,21.11,23.89,24.44,22.78,22.22,21.11,17.22,11.67,24.44
1912,7.22,13.89,17.78,20,21.11,22.78,23.89,22.78,23.89,20.56,17.78,17.22,23.89
1913,18.89,15,18.89,17.22,20.56,21.67,25.56,23.33,20.56,20,15.56,14.44,25.56
1914,13.33,13.33,16.11,20,20,25.56,23.33,22.22,21.11,18.89,17.78,17.22,25.56
1915,15.56,12.22,7.78,16.11,22.78,21.67,23.89,23.89,22.78,20,15,12.78,23.89
1916,15.56,14.44,15.56,16.67,22.22,22.78,22.78,24.44,21.67,20,16.67,6.11,24.44
1917,12.22,14.44,13.89,16.67,21.67,21.67,22.78,22.78,22.78,17.78,12.78,7.22,22.78
1918,12.78,7.22,17.78,17.78,21.11,21.11,22.22,NA,23.33,22.78,NA,17.78,NA
1919,12.78,10.56,20,NA,20.56,21.11,23.89,25,21.67,25,18.33,12.22,NA
1920,11.11,11.11,15,21.11,20,22.78,24.44,22.22,22.22,18.89,12.22,13.33,24.44
1921,14.44,14.44,18.33,14.44,21.11,21.11,NA,23.89,23.33,22.22,18.33,7.78,NA
1922,14.44,17.22,NA,21.11,20,23.33,24.44,23.89,21.67,21.11,15.56,15,NA
1923,14.44,17.22,18.33,20.56,20,23.33,25,23.33,23.89,18.33,14.44,14.44,25
1924,10,9.44,18.33,17.78,20,25,23.89,23.33,21.67,16.67,13.89,20,25
1925,7.78,11.11,14.44,20.56,21.11,24.44,24.44,25.56,25,23.33,18.33,10.56,25.56
1926,15.56,15,13.33,17.78,20.56,23.33,23.33,25,23.89,20.56,15,18.33,25
1927,13.33,13.89,18.89,18.33,21.67,23.89,23.89,23.89,22.22,21.11,17.22,NA,NA
1928,NA,NA,NA,NA,20.56,26.67,23.89,NA,22.22,21.67,18.33,13.33,NA
1929,14.44,17.22,18.89,17.78,21.11,22.22,23.33,23.89,22.78,21.67,18.89,13.89,23.89
1930,15,13.33,15.56,16.67,22.22,23.33,25.56,23.33,22.22,18.33,17.22,11.67,25.56
1931,12.78,12.78,11.67,15,20,24.44,24.44,23.89,23.89,20,16.67,17.22,24.44
1932,17.78,17.22,16.11,17.78,20,24.44,25,23.89,23.33,20,16.67,17.22,25
1933,16.67,14.44,19.44,15.56,21.67,22.78,23.89,24.44,23.33,20.56,17.78,14.44,24.44
1934,16.11,11.11,15,18.33,20.56,23.89,24.44,23.89,22.22,21.67,18.33,13.33,24.44
1935,15,15.56,18.33,18.33,20,23.89,22.78,24.44,22.78,18.89,18.89,12.78,24.44
1936,11.11,12.22,17.78,17.78,19.44,26.11,25,23.33,22.22,22.22,16.67,15,26.11
1937,17.78,15.56,15.56,17.22,21.67,25,23.33,22.78,22.22,22.22,16.11,15.56,25
1938,12.22,16.11,18.33,18.33,21.67,21.67,22.78,24.44,21.67,15,19.44,12.78,24.44
1939,15,17.78,16.11,18.89,20.56,23.89,22.78,22.78,22.78,20,12.78,15,23.89
1940,8.33,12.22,15.56,17.78,20.56,23.33,24.44,23.89,22.22,16.67,18.33,13.33,24.44
1941,12.78,11.11,12.22,17.78,22.22,23.33,24.44,23.33,23.33,21.67,18.89,17.22,24.44
1942,12.22,12.22,17.22,15.56,18.89,22.78,23.89,25.56,21.11,15,14.44,13.33,25.56
1943,15.56,13.89,17.78,17.78,21.11,23.33,22.78,23.33,20.56,16.11,13.89,11.67,23.33
1944,10.56,20,15.56,17.22,18.89,22.22,22.22,20.56,23.33,20,15,10,23.33
1945,11.11,16.11,18.89,20,21.67,24.44,NA,23.89,22.78,21.11,16.11,7.22,NA
1946,16.67,9.44,16.67,18.89,20,23.89,NA,21.67,21.11,17.22,17.22,13.89,NA
1947,16.11,8.33,7.78,20,21.67,23.89,22.22,22.78,22.78,20,13.89,10,23.89
1948,6.67,14.44,17.22,18.33,20,23.89,23.33,21.67,21.67,18.33,18.89,17.78,23.89
1949,13.89,15,17.78,16.67,20.56,22.78,24.44,23.33,22.78,21.11,13.33,13.89,24.44
1950,15,15.56,16.11,19.44,20.56,25,22.78,23.33,22.78,20.56,14.44,9.44,25
1951,12.22,13.33,15,17.22,20.56,23.33,23.33,23.33,22.22,18.89,17.78,17.78,23.33
1952,15.56,NA,15.56,16.67,20,25.56,25,23.89,22.22,16.11,15.56,9.44,NA
1953,10.56,14.44,15.56,NA,NA,23.33,23.89,23.89,23.89,20.56,NA,14.44,NA
1954,15.56,14.44,NA,19.44,20.56,23.33,25.56,24.44,22.78,21.11,NA,15,NA
1955,12.22,13.33,16.11,17.22,21.11,21.67,23.33,23.33,21.67,19.44,14.44,12.78,23.33
1956,10,12.22,15.56,18.89,20,21.67,23.33,23.89,21.11,18.89,16.11,17.78,23.89
1957,14.44,18.89,13.33,18.89,22.22,22.78,23.89,22.78,22.22,18.33,19.44,13.89,23.89
