year,tr
1895,NA
1896,90
1897,64
1898,86
1899,74
1900,NA
1901,NA
1902,70
1903,NA
1904,60
1905,85
1906,104
1907,74
1908,61
1909,73
1910,62
1911,93
1912,69
1913,67
1914,62
1915,66
1916,72
1917,60
1918,NA
1919,NA
1920,71
1921,NA
1922,NA
1923,69
1924,68
1925,100
1926,88
1927,NA
1928,NA
1929,68
1930,82
1931,73
1932,82
1933,93
1934,99
1935,75
1936,75
1937,70
1938,78
1939,99
1940,80
1941,80
1942,45
1943,76
1944,24
1945,NA
1946,NA
1947,76
1948,65
1949,90
1950,61
1951,70
1952,NA
1953,NA
1954,NA
1955,66
1956,46
1957,64
1958,65
1959,73
1960,NA
1961,61
1962,50
1963,44
1964,61
1965,57
1966,46
1967,39
1968,55
1969,62
1970,74
1971,68
1972,26
1973,57
1974,8
1975,27
1976,25
1977,55
1978,50
1979,47
1980,47
1981,58
1982,63
1983,66
1984,53
1985,34
1986,76
1987,46
1988,37
1989,66
1990,71
1991,62
1992,26
1993,69
1994,13
1995,46
1996,10
1997,40
1998,45
1999,10
2000,NA
2001,NA
2002,NA
2003,NA
2004,87
2005,86
2006,52
2007,68
2008,67
2009,56
2010,85
2011,73
2012,70
2013,77
2014,82
2015,80
2016,92
2017,81
2018,104
2019,88
2020,NA
2021,NA
2022,93
2023,61
2024,76
2025,NA
