year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA
1896,5,5,5,5,0,1,1,2,1,3,0,6,34
1897,4,3,1,3,3,1,0,6,3,1,2,3,30
1898,2,6,3,6,1,0,4,2,2,5,4,6,41
1899,5,7,3,8,2,2,0,2,1,5,4,5,44
1900,6,9,4,4,3,2,1,0,0,NA,2,1,NA
1901,2,5,NA,9,5,NA,3,0,4,0,4,6,NA
1902,3,8,3,5,0,1,1,5,6,0,1,2,35
1903,5,2,2,NA,7,8,2,2,2,3,NA,4,NA
1904,9,8,0,8,0,1,1,3,1,1,2,4,38
1905,4,12,2,3,1,0,0,2,0,3,3,7,37
1906,3,3,5,1,4,2,1,0,0,4,3,6,32
1907,0,4,0,7,3,2,1,0,1,3,2,1,24
1908,0,1,2,2,1,0,1,4,0,4,3,2,20
1909,5,0,1,5,3,1,3,1,0,1,0,4,24
1910,1,5,2,4,1,5,5,1,2,4,3,6,39
1911,1,1,1,0,0,1,1,2,0,0,2,1,10
1912,8,4,3,2,0,5,1,1,0,1,2,1,28
1913,0,2,2,4,1,3,0,0,4,4,2,1,23
1914,2,4,6,1,0,1,1,2,3,3,6,1,30
1915,0,0,7,3,2,2,0,1,2,3,0,4,24
1916,0,NA,NA,2,0,1,9,0,0,0,2,0,NA
1917,1,2,0,0,8,1,3,1,3,NA,2,7,NA
1918,3,0,0,4,2,2,3,3,6,1,0,2,26
1919,2,1,0,NA,4,6,5,5,3,NA,4,0,NA
1920,3,4,4,3,2,1,2,1,3,6,5,4,38
1921,2,0,0,2,9,1,NA,4,0,3,4,0,NA
1922,9,4,NA,4,12,1,3,5,1,2,2,6,NA
1923,1,9,NA,5,3,1,8,8,3,5,3,1,NA
1924,3,3,4,2,NA,0,6,0,7,8,2,2,NA
1925,4,1,1,1,3,0,0,1,0,3,5,5,24
1926,2,0,8,4,1,3,4,0,0,3,6,5,36
1927,6,2,4,5,3,6,12,3,2,2,4,NA,NA
1928,NA,NA,NA,NA,2,3,0,NA,4,NA,10,4,NA
1929,1,3,0,0,4,6,6,1,5,0,7,9,42
1930,1,1,4,1,1,2,4,1,1,2,7,7,32
1931,1,0,3,2,2,0,0,4,0,0,0,1,13
1932,0,1,9,1,3,1,0,5,3,2,3,4,32
1933,0,3,0,2,0,3,4,2,2,0,0,0,16
1934,1,4,4,4,9,2,0,2,1,0,0,5,32
1935,3,2,0,NA,2,0,4,3,4,3,1,10,NA
1936,5,5,0,3,2,1,1,2,1,1,2,3,26
1937,0,2,4,5,2,2,4,1,2,7,6,3,38
1938,3,0,0,4,2,5,10,2,1,0,4,1,32
1939,0,1,0,1,3,1,2,2,0,1,5,2,18
1940,7,3,4,3,3,2,7,3,NA,0,2,0,NA
1941,0,4,2,1,0,3,2,1,0,0,2,1,16
