year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,NA
1896,1.67,1.67,6.67,14.44,25.56,24.44,28.89,27.78,22.22,16.11,14.44,1.11,1.11
1897,-1.67,8.33,11.67,11.67,20.56,26.67,30.56,21.67,12.78,18.33,11.67,1.67,-1.67
1898,4.44,4.44,6.67,11.11,16.67,29.44,20.56,24.44,20,14.44,8.89,5,4.44
1899,2.22,-9.44,-0.56,10.56,21.67,20.56,28.89,23.33,23.89,12.22,8.33,0,-9.44
1900,1.67,1.67,8.33,14.44,22.22,24.44,27.78,31.67,26.67,NA,10.56,5,NA
1901,4.44,0,NA,10,19.44,NA,27.78,28.89,18.89,20.56,11.11,0,NA
1902,2.22,1.11,8.89,12.78,24.44,26.67,28.33,20.56,22.78,18.33,10.56,1.11,1.11
1903,2.22,0.56,11.11,NA,19.44,24.44,26.67,27.22,24.44,8.33,NA,5,NA
1904,-0.56,2.22,11.67,12.78,23.33,26.67,27.22,22.22,25,17.78,8.33,1.11,-0.56
1905,-2.22,-2.22,8.89,16.11,22.22,28.89,29.44,24.44,26.11,14.44,10,3.89,-2.22
1906,2.22,2.22,8.89,15.56,20.56,27.22,27.22,31.11,25.56,13.89,10.56,-0.56,-0.56
1907,6.67,5.56,15.56,9.44,17.78,25,28.33,29.44,21.11,15.56,6.67,9.44,5.56
1908,6.67,5.56,11.67,13.33,22.22,28.33,28.89,23.33,23.33,15,7.78,10,5.56
1909,2.22,13.33,12.22,16.11,21.11,26.67,21.67,28.33,23.33,17.22,13.89,0.56,0.56
1910,4.44,3.89,8.33,17.22,21.67,22.78,21.11,27.78,24.44,14.44,6.11,6.67,3.89
1911,6.11,10,11.67,20.56,23.89,26.67,28.33,27.22,26.67,18.33,6.11,6.67,6.11
1912,-5,4.44,7.22,15.56,26.11,21.11,29.44,28.33,22.78,19.44,11.11,7.78,-5
1913,8.89,2.78,11.67,15.56,23.89,12.78,31.67,30.56,17.78,13.33,7.78,6.11,2.78
1914,6.11,0,5,15,23.89,24.44,29.44,26.11,21.11,16.11,5,6.67,0
