year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.78,NA
1896,20,25.56,31.11,35,37.78,38.33,38.89,38.33,37.78,28.89,27.78,21.11,38.89
1897,21.11,25.56,31.67,32.22,33.89,39.44,38.89,36.67,37.78,32.78,27.78,25,39.44
1898,26.67,25.56,31.67,30.56,38.89,38.33,38.33,35.56,35,32.22,27.22,23.89,38.89
1899,24.44,26.11,28.89,30,37.22,38.89,37.78,37.78,36.67,32.78,26.67,23.33,38.89
1900,22.22,22.78,25,31.11,33.33,34.44,37.78,40,36.67,NA,28.89,21.11,NA
1901,25,25,NA,28.89,35.56,NA,38.33,34.44,36.11,31.11,29.44,27.22,NA
1902,24.44,21.67,28.89,32.78,38.33,38.33,40.56,38.33,35,31.67,28.33,22.78,40.56
1903,23.33,26.11,27.78,NA,36.67,33.89,38.33,37.78,36.11,32.22,NA,18.33,NA
1904,22.22,25,30.56,30,36.11,38.89,40,37.22,36.67,33.89,24.44,25.56,40
1905,21.67,19.44,28.89,31.67,36.67,37.22,37.78,39.44,36.67,33.89,27.78,22.22,39.44
1906,26.11,23.33,27.78,32.78,36.67,38.89,36.67,37.78,36.67,30.56,31.67,31.67,38.89
1907,28.33,23.33,37.22,31.67,35,37.22,41.11,38.33,36.67,31.11,26.11,23.89,41.11
1908,23.89,27.22,32.22,33.89,35.56,36.67,37.22,37.78,33.89,30,29.44,24.44,37.78
1909,28.33,28.89,31.11,32.22,35,36.67,37.78,37.78,36.11,31.67,31.67,25,37.78
1910,25.56,26.11,32.78,33.89,35.56,36.67,36.11,36.11,37.22,33.89,26.11,23.33,37.22
1911,26.67,29.44,31.11,31.67,38.33,39.44,37.78,37.22,36.67,35,26.67,26.67,39.44
1912,23.89,23.33,30.56,31.67,37.22,38.33,37.78,38.33,39.44,30.56,28.33,25.56,39.44
1913,26.11,23.33,31.11,32.22,38.33,39.44,41.67,38.33,36.11,32.22,27.78,22.78,41.67
1914,26.67,24.44,32.78,36.67,40.56,42.22,41.67,36.67,38.33,33.33,30,22.78,42.22
1915,21.11,25,26.11,35.56,36.67,38.33,40.56,38.89,38.89,32.78,31.11,23.89,40.56
1916,26.67,NA,NA,33.33,38.89,37.78,35.56,37.78,36.11,32.78,31.11,26.11,NA
1917,26.11,28.33,30.56,34.44,35,38.89,37.22,37.22,36.11,NA,26.67,22.78,NA
1918,25,29.44,30,31.67,37.22,41.11,38.33,39.44,34.44,32.22,30,25.56,41.11
1919,25,21.67,27.78,NA,32.78,35.56,38.89,36.67,35.56,NA,31.67,23.89,NA
1920,26.11,22.78,30.56,32.78,34.44,38.89,38.33,37.78,35.56,31.11,26.67,21.11,38.89
1921,23.89,26.11,32.22,32.22,36.67,36.67,NA,38.89,37.78,30,26.11,25.56,NA
1922,21.11,25.56,NA,33.33,34.44,37.22,37.78,36.11,37.78,32.22,28.33,26.11,NA
1923,23.33,25.56,NA,34.44,37.22,35,38.33,37.22,36.67,29.44,20.56,23.89,NA
1924,21.11,24.44,31.11,32.78,NA,40,37.78,37.78,35,30,29.44,30,NA
1925,23.33,25.56,32.22,37.22,37.22,40,40,42.78,43.89,35,27.78,23.89,43.89
