year,wsdi
1895,NA
1896,21
1897,0
1898,39
1899,0
1900,NA
1901,NA
1902,24
1903,NA
1904,0
1905,14
1906,8
1907,8
1908,15
1909,6
1910,19
1911,27
1912,9
1913,21
1914,14
1915,53
1916,NA
1917,NA
1918,18
1919,NA
1920,8
1921,NA
1922,NA
1923,NA
1924,NA
1925,43
1926,19
1927,NA
1928,NA
1929,0
1930,13
1931,20
1932,17
1933,21
1934,10
1935,NA
1936,15
1937,0
1938,7
1939,27
1940,NA
1941,8
1942,8
1943,6
1944,6
1945,NA
1946,NA
1947,0
1948,0
1949,0
1950,0
1951,0
1952,NA
1953,NA
1954,NA
1955,0
1956,0
1957,12
1958,0
1959,0
1960,NA
1961,7
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,7
1971,6
1972,0
1973,10
1974,16
1975,0
1976,6
1977,7
1978,7
1979,0
1980,9
1981,0
1982,0
1983,7
1984,7
1985,6
1986,23
1987,6
1988,0
1989,0
1990,8
1991,6
1992,0
1993,10
1994,0
1995,12
1996,6
1997,8
1998,29
1999,34
2000,NA
2001,NA
2002,NA
2003,NA
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,6
2012,0
2013,8
2014,0
2015,13
2016,0
2017,0
2018,0
2019,15
2020,NA
2021,NA
2022,0
2023,0
2024,0
2025,NA
