year,cdd
1904,NA
1905,15
1906,23
1907,23
1908,23
1909,35
1910,21
1911,27
1912,20
1913,26
1914,28
1915,28
1916,20
1917,19
1918,17
1919,27
1920,25
1921,21
1922,39
1923,24
1924,26
1925,31
1926,NA
1927,23
1928,NA
1929,19
1930,20
1931,56
1932,17
1933,32
1934,23
1935,18
1936,26
1937,18
1938,23
1939,24
1940,22
1941,28
1942,27
1943,45
1944,20
1945,20
1946,14
1947,14
1948,22
1949,20
1950,16
1951,13
1952,18
1953,24
1954,18
1955,31
1956,27
1957,13
1958,17
1959,16
1960,29
1961,48
1962,17
1963,33
1964,34
1965,21
1966,19
1967,31
1968,18
1969,20
1970,22
1971,20
1972,52
1973,NA
1974,39
1975,19
1976,18
1977,17
1978,24
1979,NA
1980,NA
1981,21
1982,NA
1983,20
1984,26
1985,22
1986,21
1987,24
1988,17
1989,30
1990,26
1991,20
1992,17
1993,17
1994,14
1995,16
1996,30
1997,17
1998,25
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,18
2018,NA
2019,NA
2020,21
2021,26
2022,29
2023,24
2024,29
2025,NA
