year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.18,10.87,NA
1905,13.2,10.25,11.74,12.91,12.57,12.83,11.91,10.79,10.57,10.8,12.02,9.53,11.59
1906,10.9,11.81,13.08,13.81,11.72,11.21,10.53,10.5,9.74,10.05,13.11,11.47,11.49
1907,11.96,10.95,12.86,11.7,12.18,12.79,11.08,10.76,9.44,12.12,10.56,10.67,11.43
1908,10.84,NA,13.34,11.1,12.75,11.63,9.67,10.89,9.65,NA,NA,NA,NA
1909,11.1,13.33,11.79,11.47,12.57,11.24,10.52,9.99,9.63,13.57,13.03,11.4,11.61
1910,12.37,NA,13.23,13.49,12.81,10.65,10.79,9.83,10.45,10.76,12.67,12.11,NA
1911,11.47,11.46,15.15,NA,11.99,13.2,11.02,10.26,9.93,8.99,11.26,10.12,NA
1912,9.6,11.03,10.71,10.62,11,10,10.29,9.86,8.02,9.98,12.38,9.25,10.22
1913,9.57,10.56,10.28,12.52,13.61,12.59,11.46,10.58,10.01,12.61,12.35,9.78,11.32
1914,11.74,10.63,12.11,12.33,13.01,12.46,11.99,10,11.77,9.39,12.82,8.69,11.41
1915,9.85,10.91,12,12.72,11.04,11.41,11.5,9.98,10.5,9.74,12.14,12.32,11.17
1916,12.86,14.78,14.66,15.85,15.62,13.45,9.95,12.62,14.16,12.17,15.14,13.13,13.68
1917,11.81,14.39,14.75,15.15,15.3,14.91,12.16,11.86,10.85,15.46,15.33,11.73,13.63
1918,12.84,13.89,13.48,13.18,14.83,14.3,13.38,13.28,12.99,10.85,12.63,9.29,12.9
1919,13.07,11.2,12.02,15.31,13.32,11.06,11.06,10.81,13.41,12.76,12.69,13.33,12.51
1920,11.88,10.56,12.59,11.3,11.54,12.8,12.26,11.48,12.78,16.1,13.21,12.96,12.47
1921,13.4,13.47,15.74,15.21,12.65,13.7,10.88,12.47,14.77,12.76,11.95,13.29,13.35
1922,11.64,12.1,13.29,14.81,10.84,11.8,11.77,11.27,12.33,11.33,12.83,10.38,12.02
1923,13.86,11.35,11.91,13.36,11.65,10.91,11.6,11.78,11.04,11.88,12.66,11.14,11.93
1924,12.72,12.26,12.28,11.95,12.8,12.01,11.03,12.68,9.73,10.94,12.87,11.19,11.87
1925,10.88,12,14.24,14,14.63,11.88,12.19,12.6,13.07,12.48,11.08,10.81,12.49
1926,9.74,12.02,11.95,14.04,13.91,11.78,10.24,10.69,10.68,12.49,11.26,13.59,11.86
1927,13.94,12.99,12.87,13.93,13.96,11.49,11.06,11.13,12.6,13.56,13.7,12.43,12.79
1928,14.05,11.96,11.01,12.29,11.41,11.51,10.31,8.87,9.03,9.99,12.37,12.73,11.29
1929,12.36,10.28,12.87,11.84,10.75,10.83,9.91,9.93,7.63,10.37,10.43,13.97,10.94
1930,11.25,14.39,10.79,12.36,11.85,9.57,9.99,10.95,9.58,11.25,9.41,10.34,10.94
1931,11.36,13.23,11.74,12.32,11.17,13.94,10.91,9.94,11.47,13.12,14.78,12.37,12.19
1932,11.53,12.01,13.77,14.15,11.39,9.55,11.1,8.34,8.4,9.88,10.69,9.46,10.85
1933,9.82,9.62,11.8,10.39,10.99,NA,NA,8.71,10.39,10.42,13.61,13.95,NA
1934,11.6,12.35,12.46,12.95,9.81,10.52,11.97,11.82,11.96,13.33,15,12.89,12.22
1935,12.61,14.12,14.67,12.81,14.39,14.76,10.97,11.17,9.8,14.19,12.57,12.71,12.89
1936,13.38,12.38,14.15,13.55,13.8,13.68,13.67,12.62,12.22,12.22,13.49,9.88,12.92
1937,10.43,12.75,14.34,14.24,14.48,13.2,11.93,10.95,11.19,12.06,12.79,13.58,12.66
1938,11.73,13.62,14.94,15.6,14.71,13.01,11.58,13.7,10.9,12.6,11.85,12.91,13.09
1939,13.57,12.75,13.33,13.78,12.72,11.73,12.68,11.94,12.28,15.35,14.7,15,13.33
1940,12.98,12.15,13.8,13.87,15.23,12.8,11.84,9.97,12.93,14.12,12.51,11.02,12.77
1941,12.54,12.49,12.85,13.7,16.97,12.01,11.25,11.43,12.56,12.02,14.44,11.74,12.83
1942,12.8,11.49,12.85,15.58,13.27,11.31,12.41,12.77,11.85,14.81,15.44,12.99,13.14
1943,12,15.15,13.23,13.96,12.42,12.15,11.12,12.51,11.15,15.4,15.65,13.11,13.14
1944,11.86,11.99,12.01,11.51,12.76,12.91,10.46,10,10.32,13.86,12.23,13.51,11.95
1945,12.23,11.77,14.42,11.69,13.37,12.88,10.05,10.7,9.8,13.34,14.24,11.82,12.19
1946,11.62,14.49,12.41,14.15,10.92,11.76,10.62,9.95,10.37,12.36,11.1,14.44,12
1947,10.94,13.88,11.92,11.84,12.54,11.62,10.67,9.93,10.48,9.56,9.57,11.56,11.19
1948,11.96,11.84,10.48,11.75,12.49,12.09,10.26,10.26,9.47,12.54,12.6,11.34,11.42
1949,12.09,11.04,13.51,11.81,12.64,10.02,10.21,9.78,10.15,10.46,13.36,12.07,11.43
1950,12.85,13.43,12.39,14.9,12.65,12.66,10.01,11.58,10.01,11.1,14.51,11.12,12.25
1951,13.42,14.78,11.91,12.81,14.08,12.67,11.74,11.69,9.72,10.47,12.73,12.07,12.33
1952,12.63,11.64,13.38,13.26,13.33,12.83,11.84,10.79,10.12,13.25,13.1,11.33,12.29
1953,13.17,11.78,12.81,13.23,13.28,10.9,10.44,9.9,9.61,11.74,13.14,11.12,11.76
1954,12.78,13.54,12.82,13.78,12.91,14.19,13.39,15.21,12.11,13.48,12.94,13.16,13.36
1955,12.15,13.51,15.33,13.24,14.07,13.44,11.42,11.39,8.99,12.8,13.52,11.27,12.59
1956,13.51,12.47,14.62,13.37,12.93,12.45,11.86,12.35,11.84,9.84,14.34,13.83,12.78
1957,11.55,12.15,11.27,13.5,11.79,10.63,11.11,12.05,9.96,10.55,11.09,12.11,11.48
1958,11.07,12.85,11.5,12.77,11.47,10.93,10.82,11.39,11.36,11.82,13.63,12.3,11.81
