year,r20mm
1904,NA
1905,15
1906,25
1907,19
1908,20
1909,15
1910,17
1911,14
1912,29
1913,14
1914,23
1915,17
1916,12
1917,19
1918,19
1919,16
1920,21
1921,15
1922,23
1923,13
1924,22
1925,16
1926,NA
1927,12
1928,NA
1929,23
1930,22
1931,9
1932,15
1933,16
1934,14
1935,14
1936,20
1937,27
1938,17
1939,13
1940,14
1941,14
1942,19
1943,16
1944,23
1945,19
1946,16
1947,29
1948,21
1949,14
1950,21
1951,17
1952,13
1953,27
1954,13
1955,16
1956,24
1957,20
1958,15
1959,26
1960,13
1961,22
1962,18
1963,17
1964,23
1965,18
1966,19
1967,25
1968,10
1969,18
1970,21
1971,16
1972,19
1973,NA
1974,17
1975,23
1976,26
1977,22
1978,14
1979,NA
1980,NA
1981,11
1982,NA
1983,21
1984,19
1985,24
1986,16
1987,20
1988,23
1989,18
1990,15
1991,28
1992,22
1993,18
1994,21
1995,19
1996,12
1997,22
1998,24
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,21
2018,NA
2019,NA
2020,24
2021,29
2022,18
2023,26
2024,22
2025,NA
