year,r95p
1904,NA
1905,167.7
1906,272.6
1907,246.4
1908,311
1909,153.2
1910,236.4
1911,321.5
1912,486.8
1913,186.4
1914,531.5
1915,397.7
1916,131.3
1917,151.1
1918,241.9
1919,223.9
1920,617.1
1921,260.8
1922,240.3
1923,0
1924,362
1925,131.6
1926,NA
1927,51.3
1928,NA
1929,873.1
1930,109.2
1931,61
1932,153
1933,310.4
1934,170.3
1935,339.7
1936,207.6
1937,265.1
1938,261.6
1939,240.1
1940,178.5
1941,105.4
1942,286.3
1943,117.3
1944,423.1
1945,111.2
1946,262.1
1947,416
1948,482.6
1949,194.1
1950,477.6
1951,166.9
1952,124.5
1953,432.6
1954,211.4
1955,210.1
1956,180.4
1957,247.7
1958,228.7
1959,233.2
1960,224.5
1961,166.6
1962,96.2
1963,96
1964,378.4
1965,49.5
1966,334.1
1967,346.4
1968,122.4
1969,572.8
1970,379.5
1971,205.2
1972,249.7
1973,NA
1974,86.4
1975,351
1976,454.6
1977,181.3
1978,103.7
1979,NA
1980,NA
1981,206.3
1982,NA
1983,63.5
1984,374.3
1985,301.2
1986,215.7
1987,143.5
1988,310.8
1989,207.6
1990,258.9
1991,307.1
1992,502.4
1993,52.6
1994,587.5
1995,366.2
1996,135.6
1997,272.7
1998,615.2
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,519.4
2018,NA
2019,NA
2020,468.2
2021,463
2022,187.9
2023,508.1
2024,789.9
2025,NA
