year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.2,11.7,NA
1905,17.3,50.8,32.3,17,17.8,29.2,35.3,21.6,34.3,18,36.6,69.9,69.9
1906,42.2,45.2,27.9,34.3,101.1,35.8,37.1,171.5,24.1,15.7,11.7,20.8,171.5
1907,8.9,11.9,25.4,43.2,24.4,90.2,42.4,46.7,63,15.2,11.9,46.5,90.2
1908,43.7,54.4,43.7,68.6,24.9,49.3,28.2,66.8,71.9,39.4,12.2,11.9,71.9
1909,5.1,26.9,73.7,9.1,29.5,26.9,43.9,79.5,30,5.3,11.7,27.7,79.5
1910,14.7,22.6,25.9,11.4,51.8,28.4,27.2,32.3,40.9,62.2,62.5,17,62.5
1911,18.8,19.3,50.8,25.4,19.1,40.1,29.2,64,82,45.2,21.6,39.4,82
1912,49.8,46.7,38.9,43.2,48,33,71.4,30.7,82.6,42.9,24.1,73.7,82.6
1913,3.8,58.9,49,10.9,5.6,38.6,36.1,78.5,6.1,45.7,27.2,24.1,78.5
1914,53.3,57.2,25.4,45,23.9,26.2,45.7,54.4,23.4,17,139.7,26.7,139.7
1915,55.9,39.6,32.5,24.9,116.3,33,10.4,108.2,9.1,58.9,58.4,33,116.3
1916,25.9,22.4,23.4,13.7,9.4,59.7,71.6,40.6,18.8,37.3,10.7,16.8,71.6
1917,33,32.3,25.4,20.6,18.3,35.6,53.3,97.8,29.2,8.4,14,10.7,97.8
1918,17,11.2,35.8,43.9,7.4,45.5,37.3,31.2,68.1,26.2,50.8,42.4,68.1
1919,26.2,57.2,55.1,19.1,54.4,34.3,28.7,57.2,5.6,34.3,9.9,6.1,57.2
1920,24.6,68.6,61,41.4,23.9,50.8,23.4,225.6,50.8,12.7,61,99.3,225.6
1921,15.2,15.2,18.8,19.6,37.3,32.8,25.4,66.5,83.8,54.6,17,5.1,83.8
1922,20.3,54.4,26.9,18.5,38.1,65.5,30.2,27.9,15.7,67.8,0,40.6,67.8
1923,31.8,19.3,18.5,11.7,36.8,32.3,23.6,33.8,11.4,4.3,25.9,18.5,36.8
1924,27.2,21.6,86.4,25.9,17.8,24.1,48.3,21.6,55.9,36.8,10.2,66,86.4
1925,25.4,26.7,5.8,33,27.9,27.9,12.7,6.9,30.5,61.7,33,69.9,69.9
1926,39.6,54.9,69.9,33.3,41.7,NA,96.8,33.8,38.4,17.3,34.3,15.2,NA
