year,sdii
1904,NA
1905,13
1906,15.8
1907,13.1
1908,14.4
1909,12.8
1910,12.8
1911,12.3
1912,15.5
1913,11.2
1914,15.8
1915,15.6
1916,10.7
1917,12.5
1918,12.8
1919,12
1920,18.2
1921,12.7
1922,13.7
1923,9.7
1924,16
1925,12.2
1926,NA
1927,10.9
1928,NA
1929,18.2
1930,13
1931,9.6
1932,9.9
1933,13.2
1934,10.6
1935,13.2
1936,13.5
1937,14.8
1938,13.1
1939,11.2
1940,12.1
1941,11.6
1942,12.4
1943,14.3
1944,13.7
1945,12.8
1946,10.6
1947,13.8
1948,13.3
1949,10.7
1950,14.3
1951,11
1952,10.4
1953,14.1
1954,11
1955,13.9
1956,13.5
1957,11.1
1958,11.3
1959,13.1
1960,12
1961,13
1962,10.7
1963,13.1
1964,14.9
1965,11.5
1966,14.3
1967,13.9
1968,10.2
1969,14.6
1970,14
1971,11.5
1972,12.8
1973,NA
1974,11.9
1975,13.2
1976,15.9
1977,12.7
1978,12.6
1979,NA
1980,NA
1981,12.3
1982,NA
1983,12.8
1984,15.2
1985,14.5
1986,12.4
1987,12.9
1988,13.8
1989,12.3
1990,14.3
1991,14.8
1992,14.1
1993,11.8
1994,14.6
1995,14.7
1996,11.6
1997,13.7
1998,19.3
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,18.3
2018,NA
2019,NA
2020,16.9
2021,15.5
2022,12.3
2023,17.3
2024,19
2025,NA
