year,su
1904,NA
1905,194
1906,180
1907,186
1908,NA
1909,190
1910,NA
1911,193
1912,181
1913,183
1914,178
1915,195
1916,225
1917,204
1918,217
1919,225
1920,194
1921,225
1922,235
1923,204
1924,195
1925,208
1926,207
1927,245
1928,190
1929,202
1930,184
1931,211
1932,203
1933,NA
1934,206
1935,224
1936,211
1937,203
1938,226
1939,220
1940,199
1941,208
1942,214
1943,211
1944,198
1945,222
1946,216
1947,193
1948,207
1949,212
1950,209
1951,199
1952,190
1953,193
1954,204
1955,215
1956,208
1957,191
1958,192
1959,198
1960,197
1961,198
1962,202
1963,205
1964,201
1965,206
1966,201
1967,218
1968,207
1969,191
1970,211
1971,207
1972,210
1973,NA
1974,231
1975,NA
1976,205
1977,210
1978,226
1979,210
1980,NA
1981,200
1982,NA
1983,NA
1984,203
1985,223
1986,214
1987,188
1988,199
1989,215
1990,NA
1991,223
1992,178
1993,180
1994,207
1995,196
1996,199
1997,199
1998,215
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,225
2018,NA
2019,NA
2020,NA
2021,NA
2022,233
2023,225
2024,230
2025,NA
