year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.83,15.02,NA
1905,13.31,12.94,21.6,25.53,31.8,33.13,34.07,32.18,31.09,24.77,20.13,13.1,24.43
1906,15.95,15.03,19.93,26.58,28.25,32.95,32.66,32.95,30.98,23.12,20.3,15.94,24.6
1907,19.78,16.51,25.75,21.35,29.08,32.35,33.99,32.92,30.38,24.07,18.78,15.72,25.12
1908,14.71,NA,25.26,27.18,30.18,32.14,31.81,32.4,28.54,23.05,21.25,17.82,NA
1909,17.77,19.46,21.27,24.82,28.92,33.07,32.62,32.25,28.43,24.54,22.04,13.16,24.89
1910,15.4,NA,22.89,25.28,29.4,30.72,33.1,31.92,29.94,25.35,18.28,12.33,NA
1911,17.09,19.12,23.1,26.25,30.47,34.87,32.14,32.09,31.55,26.32,18.17,17.11,25.76
1912,11.82,13.01,18.79,24.84,29.58,30.9,32.4,32.08,30.17,24.93,18.1,16.13,23.59
1913,18.91,16.92,20.8,24.05,30.08,31.61,33.78,31.98,28.45,24.49,19.97,16.05,24.81
1914,15.31,14.58,17.56,25.95,29.68,34.57,34.02,32.06,28.46,24.17,19.38,13.85,24.18
1915,14.16,16.29,16.42,24.48,30.79,32.39,34,32.8,30.86,26.06,21.82,14.95,24.62
1916,20.41,19.5,21.42,27.02,32.85,33.51,31.83,34.48,31.55,26.42,22.54,18.01,26.64
1917,18.71,18.5,24.13,28.4,29.74,34.69,33.97,33.29,29.39,25.83,19.93,12.69,25.81
1918,12.43,21.55,25.16,24.89,31.05,34.56,33.42,34.55,30.03,27.73,20.07,17.54,26.11
1919,17.09,17.42,23.1,26.96,30.74,31.39,33.17,32.76,32.11,32.08,23.53,18.12,26.59
1920,17.83,14.76,20.11,24.05,27.97,32.63,33.75,32.78,32.78,27.84,20.69,17.35,25.24
1921,18.48,20.19,28.21,27.54,28.74,34.11,32.56,33.9,35.75,25.73,22.9,19.95,27.37
1922,15.85,21.9,23.64,29.14,29.32,33.08,33.71,31.68,31.72,26.66,22.58,19.12,26.54
1923,19.91,17.7,22.05,26.14,28.31,31.79,33.2,34.23,31.52,25.9,19.72,20.63,25.98
1924,16.54,16.7,19.55,24.67,28.98,33.81,33.01,34.93,28.59,23.92,21.63,18.2,25.07
1925,17.67,19.64,23.74,27.66,30.65,33.22,34.69,34.16,35.91,27.98,18.98,15.72,26.7
1926,14.93,18.46,18.05,25.8,30.07,32.25,31.9,33.18,31.87,26.81,19.41,20.91,25.34
1927,18.39,23.61,22.92,27.34,31.04,32.67,32.62,32.44,32.32,28.19,24.04,17.6,26.93
1928,17.04,17.55,21.35,23.79,27.18,31.65,32.38,31.62,28.81,26.57,20.92,18.27,24.78
1929,19.36,16.96,24.29,26.84,28.31,30.27,31.43,31.54,27.59,24.33,21.46,17.65,25.02
1930,17.15,21.23,18.38,25.24,29.69,29.35,32.73,31.29,30.88,23.58,18.39,13.88,24.32
1931,14.64,18.07,18.36,23.97,27.48,34.19,33.95,31.34,31.83,27.69,24.91,23.42,25.8
1932,21.6,22.49,20.71,26.75,28.3,30.68,33.93,30.57,28.07,24.79,18.82,18.67,25.47
1933,18.2,17.5,20.67,22.99,30.52,NA,NA,30.96,31.54,25.71,21.19,22.14,NA
1934,18.15,14.84,20.49,26.27,26.45,31.61,34.37,33.43,31.82,27.63,23.68,17.01,25.54
1935,17.84,18.99,25.77,26.55,31.47,34.69,32.31,33.13,29.21,27.72,22.11,13.69,26.16
1936,16.57,15.77,23.5,25.29,30.05,33.12,34.89,33.67,31.85,27.53,20.45,16.22,25.78
1937,22.7,17.79,20.94,25.23,30.21,33.55,32.85,31.88,29.41,24.32,19.2,16.44,25.42
1938,16.07,21.5,25.85,27.11,32.08,31.75,31.65,34.77,29.96,25.43,22.22,16.86,26.29
1939,19.3,21.77,23.82,25.9,28.8,32.99,34.02,32.51,32.2,28.53,20.45,18.35,26.58
1940,10.92,16.45,21.38,25.04,30.25,33.53,33.3,32.48,30.46,27.28,21.69,18.94,25.16
1941,17.4,14.73,18.41,27.08,32.49,33.37,33.67,34.28,32.39,29.75,22.74,18.16,26.27
1942,16.21,14.03,21.05,27.02,29.86,32.11,34.55,33.53,30.86,27.63,24.04,18.05,25.81
1943,17.59,19.13,21.11,25.43,29.95,33.57,33.22,34.03,29.41,25.97,21.59,17.32,25.73
1944,16.09,20.72,21.99,24.14,29.5,34.26,31.37,31.36,30.81,25.91,19.89,15.88,25.16
1945,16.33,19.55,27.05,26.68,29.03,33.89,31.97,32,30.93,25.95,22.79,14.08,25.88
1946,17.6,19.99,23.49,26.99,28.51,31.3,32.25,31.22,29.17,26.11,23.29,19.89,25.85
1947,19.74,15.57,17.39,27.2,29.64,31.61,31.12,31.77,29.93,25.81,18.46,16.94,24.65
1948,14.14,18.53,22.05,26.42,29.91,32.78,32.43,31.59,28.71,23.84,24.12,18.47,25.25
1949,20.81,20.79,21.55,24.5,29.27,30.81,32.21,31.45,29.52,27.43,19.83,18.64,25.6
1950,23.46,21.11,20.45,24.65,30.37,33.87,31.4,32.21,28.58,26.41,19.45,13.44,25.47
1951,17.69,19.29,21.01,24.47,29.35,33.14,33.33,33.59,29.91,26.62,19.25,19.51,25.63
1952,20.53,18.49,22.15,24.8,30.57,35.27,33.65,32.42,29.25,24.64,21.12,15.43,25.71
1953,18.67,18.6,23.35,24.9,32.37,31.59,32.2,31.53,28.85,25.51,20.22,16.65,25.41
1954,18.58,20.5,21.43,28.24,27.32,34.27,35.56,36.94,31.93,26.27,19.41,16.54,26.44
1955,15.71,19.69,24.79,27.11,31.46,31.41,32.92,33.1,29.49,25.31,20.52,15.77,25.64
1956,15.15,21.49,22.34,25.24,30.41,31.8,33.06,33.71,29.19,25.18,20.82,21.93,25.87
1957,18.37,21.96,20,26.04,29.04,31.24,32.29,32.81,29.96,22.79,21.17,16.9,25.22
1958,12.95,13.79,19,25.87,28.73,31.77,32.88,33.15,31.19,24.28,23.67,15.94,24.48
1959,17.19,18.77,20.48,26.11,30.23,31.81,32.26,32.74,29.45,25.51,21.15,16.61,25.22
1960,15.86,17.18,16.13,26.92,29.65,32.31,33.15,32.25,30.17,26.96,22.17,15.39,24.85
1961,14.36,20.05,24.73,23.47,27.78,30.95,32.84,31.12,30.1,26.58,23.04,17.56,25.24
1962,15.47,22.32,19.66,24.73,32.65,31.48,34.41,33.95,30.21,28.04,19.26,15.47,25.66
1963,15.34,15.91,24.19,26.82,29.83,31.99,33.04,33.99,29.47,27.47,21.55,13.12,25.28
1964,15.38,15.47,22.25,26.65,30.29,34.83,31.63,32.39,30.03,24.25,23.05,18.68,25.43
1965,18.53,18.07,21.19,27.01,32.94,30.85,33.08,33.6,30.09,25.05,21.52,17.79,25.86
1966,13.58,17.46,20.45,26.36,27.54,30.18,33.17,32.2,30.59,26.38,21.45,17.08,24.74
1967,18.33,17.31,25.06,28.91,30.74,30.18,32.31,31.41,28.65,25.74,21.41,20.36,25.92
1968,14.75,14.29,22.9,27.77,29.38,32.41,33.33,34.1,30.96,26.63,19.93,16.55,25.28
1969,16.21,15.02,18.8,26.57,28.61,33.13,33.93,30.84,28.76,26.54,19.83,16.32,24.6
1970,12.29,17.45,21.95,26.77,30.09,31.62,33.88,32.58,32.22,26.6,20.13,19.41,25.46
