year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,4.15,NA
1905,0.11,2.69,9.86,12.62,19.23,20.39,22.16,21.38,20.52,13.97,8.11,3.57,12.87
1906,5.06,3.21,6.85,12.76,16.53,21.73,22.13,22.45,21.24,13.06,7.19,4.47,13.11
1907,7.82,5.56,12.89,9.65,16.9,19.56,22.92,22.16,20.94,11.95,8.22,5.05,13.69
1908,3.87,NA,11.79,16.09,17.43,20.51,22.14,21.51,18.89,NA,NA,6.9,NA
1909,6.67,6.13,9.48,13.36,16.57,21.83,22.1,22.25,18.8,11.14,9.01,1.76,13.29
1910,3.03,NA,9.65,11.79,16.59,20.06,22.3,22.08,19.49,14.6,5.61,0.22,NA
1911,5.62,7.44,7.95,NA,18.47,21.67,21.12,21.83,21.62,17.33,6.91,6.99,NA
1912,2.22,1.98,8.08,14.21,18.59,20.91,22.11,22.22,22.15,14.95,5.72,6.87,13.37
1913,9.33,6.37,10.52,11.54,16.47,19.53,22.32,21.4,18.43,11.88,7.62,6.28,13.51
1914,3.57,3.95,5.45,13.62,16.67,22.11,22.03,22.06,16.69,14.78,6.56,5.16,12.77
1915,4.31,5.38,4.42,11.76,19.75,20.98,22.51,22.82,20.36,16.32,9.68,2.63,13.45
1916,7.55,4.71,6.75,11.17,17.23,20.06,21.88,21.86,17.39,14.25,7.4,4.87,12.96
1917,6.9,4.11,9.37,13.25,14.44,19.78,21.81,21.43,18.55,10.37,4.61,0.95,12.18
1918,-0.41,7.66,11.68,11.71,16.23,20.26,20.04,21.28,17.04,16.87,7.45,8.25,13.21
1919,4.02,6.22,11.07,11.66,17.42,20.33,22.1,21.95,18.7,19.31,10.83,4.79,14.08
1920,5.95,4.2,7.53,12.76,16.44,19.83,21.49,21.29,20,11.74,7.48,4.39,12.78
1921,5.07,6.72,12.47,12.33,16.08,20.41,21.67,21.44,20.98,12.96,10.95,6.66,14.01
1922,4.2,9.8,10.35,14.33,18.48,21.28,21.94,20.42,19.39,15.34,9.75,8.74,14.52
1923,6.04,6.35,10.14,12.78,16.66,20.88,21.6,22.45,20.48,14.01,7.06,9.49,14.04
1924,3.82,4.45,7.27,12.72,16.18,21.8,21.98,22.25,18.86,12.97,8.76,7,13.19
1925,6.79,7.64,9.5,13.66,16.02,21.34,22.51,21.56,22.84,15.5,7.89,4.91,14.21
