year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA
1905,10,4,0,5,0,2,0,1,0,5,0,1,28
1906,0,1,3,2,3,0,1,1,0,6,4,5,26
1907,0,0,0,6,4,2,0,0,0,4,1,2,19
1908,0,NA,0,0,2,2,0,4,4,NA,NA,0,NA
1909,1,2,0,0,0,0,3,0,4,4,2,4,20
1910,1,NA,1,1,0,2,2,0,4,3,2,9,NA
1911,4,1,2,NA,0,0,6,1,0,0,5,2,NA
1912,5,4,0,0,3,3,1,2,0,0,3,0,21
1913,0,0,1,2,3,4,1,2,5,3,4,2,27
1914,0,4,8,0,1,0,4,0,9,2,6,3,37
1915,0,0,6,4,0,0,3,1,1,2,0,2,19
1916,0,3,5,4,2,0,1,2,8,0,4,0,29
1917,1,8,2,0,8,4,1,4,5,9,7,8,57
1918,8,1,0,3,3,1,12,5,6,0,1,0,40
1919,5,0,1,5,3,2,2,1,2,0,0,2,23
1920,2,5,7,4,0,5,5,3,2,8,1,0,42
1921,0,0,0,5,3,2,2,2,0,4,1,0,19
1922,2,1,0,1,0,0,0,11,0,0,1,0,16
1923,0,4,1,1,3,1,1,0,0,2,2,0,15
1924,3,1,4,2,2,0,2,1,4,2,0,1,22
1925,0,1,2,1,5,0,0,2,1,2,2,3,19
1926,1,1,2,2,3,1,3,0,0,3,2,1,19
1927,5,0,3,3,1,1,2,6,3,2,0,2,28
1928,7,2,1,4,2,3,0,0,0,0,3,1,23
1929,0,0,0,0,1,3,2,2,5,0,1,7,21
1930,1,0,5,0,3,5,0,10,0,1,4,0,29
1931,2,0,2,3,2,3,0,6,0,1,1,0,20
1932,0,0,5,0,0,0,0,0,3,2,4,1,15
1933,0,1,0,0,0,6,4,1,1,1,3,0,17
1934,2,6,3,3,4,0,0,2,2,2,3,5,32
1935,4,3,1,1,4,4,0,0,0,3,3,8,31
1936,3,4,0,4,0,3,5,3,2,0,4,0,28
1937,0,1,6,5,0,1,3,6,0,5,5,6,38
1938,3,1,0,5,0,5,12,3,5,5,5,0,44
1939,0,1,0,0,5,0,3,5,1,1,7,4,27
1940,12,4,2,4,5,2,1,0,8,0,3,0,41
1941,0,2,5,0,2,0,0,0,1,0,3,1,14
1942,2,6,1,2,2,0,1,6,2,2,2,3,29
1943,1,5,6,4,0,0,0,6,2,2,4,4,34
1944,0,0,0,4,2,1,6,4,0,2,1,8,28
1945,0,2,0,0,5,0,1,4,0,3,4,3,22
1946,1,0,0,1,2,6,4,2,4,3,0,0,23
1947,0,7.73,6,0,2,4,11.9,0,3,1,0,0.03,35.65
1948,2,0,2,0,0.95,1,0,3.99,1,2,0,0.95,13.88
1949,0,0,2.73,1,0,0.88,0,0.92,2,0,6.86,1,15.39
1950,0,1,1,10,0,0,2,9.92,1,1,7,3.75,36.68
1951,1.87,4,2.68,0,3,0,5,4,1.95,1,7.97,2,33.47
1952,2,0,0,3,2.71,0,2,5,2,4,2,2,24.71
1953,0,1,2.86,4.69,0,1,4,2,3,0,2,2,22.55
1954,0,0,4,0,10,3,4,3.88,2,6,7.99,4,44.87
1955,1,3,6,0,1.99,10.9,0.7,2,0,3,6,4,38.58
1956,2.96,0,5.96,2.66,1,2,3.66,1.95,8,0,4,0,32.19
1957,3,0,1,0.94,2,0,5,9,0,2,0,3,25.94
1958,3,9.88,2,0,2,2,1,1,1,0,0,2,23.88
1959,7,1,1,4,0.66,0,1,3,0.04,0,3,2,22.7
1960,4,3.95,12.86,1.65,3.97,2,0.97,3,0,0.94,1,10.7,45.04
1961,1.87,0,0,3,3,3,2.69,4.99,2.99,3,1,4,29.53
1962,1,0,2,7,0,2,0,3,3,4,1.92,7,30.92
1963,4.96,4.08,2.84,0.96,2,0.81,6,1,4.61,3,6,3.84,40.1
1964,3.87,3.86,3.94,0,0,1,3.99,5,3.94,6,0,2,33.58
