year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-3.9,NA
1905,-9.4,-7.8,3.9,2.8,13.9,15.6,19.4,18.9,18.3,4.4,1.7,-2.2,-9.4
1906,-1.1,-1.7,-2.2,3.9,7.8,18.3,20.6,20,17.2,3.3,-1.7,-6.1,-6.1
1907,-1.1,-2.2,5,0.6,11.7,16.7,19.4,20.6,17.2,3.9,0,-3.9,-3.9
1908,-3.3,NA,1.7,6.7,6.1,17.2,20.6,17.2,12.2,NA,NA,-1.1,NA
1909,-7.8,-6.7,1.7,5.6,10,17.2,18.3,19.4,7.2,4.4,-0.6,-9.4,-9.4
1910,-3.9,NA,-1.7,2.2,11.1,13.9,19.4,20,11.7,-0.6,0.6,-6.7,NA
1911,-4.4,-1.7,0.6,NA,13.3,17.2,16.1,18.9,18.9,10.6,-3.3,-3.3,NA
1912,-6.7,-5.6,0.6,6.7,11.1,15,19.4,18.3,19.4,6.7,-1.7,-2.2,-6.7
1913,0,-0.6,1.1,6.1,9.4,11.7,20,18.9,7.8,1.7,-2.2,-5,-5
1914,-2.8,-5,-4.4,6.1,11.7,18.3,17.8,20.6,7.2,2.8,-5,-3.3,-5
1915,-1.1,-1.1,-1.7,1.1,13.3,18.3,17.2,19.4,15.6,5.6,0,-3.3,-3.3
1916,-3.9,-5,-2.2,0.6,9.4,16.1,20,18.9,10.6,5.6,-2.8,-2.8,-5
1917,-4.4,-11.7,-3.3,5.6,7.8,13.9,19.4,16.7,11.1,0,-3.9,-9.4,-11.7
1918,-8.9,-4.4,5.6,2.2,8.3,17.8,15,17.2,8.3,11.7,0.6,-1.7,-8.9
1919,-7.2,-2.2,3.3,1.7,12.2,13.9,16.1,17.8,13.9,13.9,0.6,-5,-7.2
1920,-8.3,-6.7,-5,0.6,12.2,14.4,16.1,18.3,13.3,1.7,-1.7,-1.7,-8.3
1921,-2.2,0.6,2.8,2.8,7.2,13.3,19.4,16.7,18.3,5,0.6,-1.1,-2.2
1922,-4.4,-3.3,1.7,8.3,14.4,19.4,19.4,16.1,13.3,7.8,-1.7,0.6,-4.4
1923,-1.1,-3.3,-1.7,2.8,6.1,16.7,17.2,21.1,17.2,5.6,0,0.6,-3.3
1924,-9.4,-2.8,-1.7,2.8,10,18.3,19.4,19.4,12.2,5.6,0,-2.8,-9.4
1925,0,-3.3,-2.2,3.3,8.3,16.1,20.6,18.3,17.2,5,-1.7,-7.2,-7.2
1926,-3.3,-2.8,-3.9,4.4,9.4,16.1,17.8,21.1,17.2,2.8,-0.6,-3.3,-3.9
1927,-8.3,2.2,-1.7,5,10.6,15,18.3,14.4,12.2,4.4,0.6,-5,-8.3
1928,-9.4,-5.6,1.1,4.4,8.3,13.9,20,21.1,13.3,7.2,-2.2,-3.3,-9.4
1929,-2.2,-1.7,1.7,7.2,8.9,14.4,17.2,17.8,11.7,6.7,-5,-5,-5
1930,-3.9,-1.1,-1.7,5,12.8,11.1,19.4,15.6,17.8,3.9,-3.3,-2.8,-3.9
1931,-4.4,-1.7,-1.1,4.4,10,15,21.1,15,12.8,3.9,2.8,2.2,-4.4
1932,0,2.2,-5.6,5,12.2,15.6,20.6,20,14.4,8.9,-1.7,-1.7,-5.6
1933,-1.1,-7.2,0.6,7.2,15,11.7,15,19.4,13.3,8.3,-1.7,-0.6,-7.2
1934,-6.1,-6.7,-2.8,2.8,11.1,17.2,20.6,17.8,16.1,3.9,-3.3,-7.8,-7.8
1935,-6.1,-5,-3.9,5,10.6,15.6,20,20,15,5,-4.4,-7.2,-7.2
1936,-8.3,-7.2,2.8,1.1,12.2,15.6,17.8,17.8,14.4,6.1,-6.7,-1.7,-8.3
1937,4.4,-2.2,-1.7,2.8,11.7,17.8,18.3,18.3,12.8,-1.1,-6.7,-9.4,-9.4
1938,-6.1,-2.2,1.1,0.6,12.2,15,16.7,18.9,12.2,6.1,-4.4,-1.7,-6.1
1939,-1.1,-3.9,2.2,5.6,6.7,20,18.9,16.7,15,3.3,-1.7,-3.9,-3.9
