year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7,13.3,NA
1905,13.3,12.2,16.1,18.9,22.2,24.4,24.4,23.9,23.9,20.6,14.4,10,24.4
1906,15.6,8.9,15.6,18.9,21.7,24.4,23.9,25.6,23.3,21.1,21.1,13.9,25.6
1907,15,15.6,20,17.2,20.6,23.9,25.6,24.4,24.4,21.7,17.8,15,25.6
1908,11.7,NA,18.3,21.7,21.1,25.6,23.9,25.6,23.3,NA,NA,16.7,NA
1909,13.9,18.3,17.2,18.9,22.2,25,25,23.9,23.3,17.8,16.7,15,25
1910,12.8,NA,16.7,19.4,21.1,22.8,24.4,24.4,22.8,22.2,12.8,7.8,NA
1911,14.4,13.9,15,NA,24.4,24.4,24.4,24.4,23.3,23.3,16.7,15,NA
1912,11.1,13.9,15.6,20.6,22.8,25,25,23.9,25,20.6,16.7,17.8,25
1913,18.3,15,20.6,18.3,22.8,23.3,25,23.9,22.8,21.1,15,16.1,25
1914,13.3,14.4,17.2,18.9,21.7,26.1,25,23.3,23.9,21.1,18.3,17.2,26.1
1915,15.6,15,11.7,18.3,23.3,24.4,25.6,24.4,23.9,23.9,18.3,13.3,25.6
1916,16.1,16.7,17.2,17.2,21.1,22.2,23.3,24.4,22.8,21.1,18.3,16.1,24.4
1917,16.1,16.7,16.7,20.6,22.2,22.2,23.9,23.9,23.3,19.4,11.7,10,23.9
1918,17.2,17.8,17.8,17.8,21.7,22.2,24.4,23.9,21.1,20,19.4,16.7,24.4
1919,15,12.2,16.7,18.3,21.1,22.8,25,25,22.2,24.4,21.7,18.3,25
1920,15.6,12.8,19.4,22.8,20,23.9,25.6,23.3,23.3,18.9,18.3,11.7,25.6
1921,15.6,16.7,18.3,20,22.2,25,22.8,23.3,23.9,21.1,17.8,15,25
1922,15.6,17.2,19.4,21.1,22.2,24.4,24.4,23.3,23.3,23.3,17.2,17.2,24.4
1923,15.6,18.3,17.8,19.4,20,23.9,24.4,25,23.3,20,15,17.8,25
1924,12.8,11.7,19.4,18.9,23.9,25,24.4,24.4,22.8,19.4,15,19.4,25
1925,16.1,16.1,20,19.4,20,24.4,25.6,25.6,26.7,23.3,18.3,15.6,26.7
1926,16.1,16.7,15.6,20.6,21.7,23.3,24.4,23.3,23.9,21.1,18.3,18.3,24.4
1927,14.4,15.6,18.3,20.6,21.1,23.9,25.6,23.9,23.9,23.3,17.8,17.2,25.6
1928,13.3,13.3,23.9,18.3,21.1,24.4,23.9,23.9,23.9,22.2,18.9,15,24.4
1929,16.1,18.3,20,19.4,21.1,22.8,23.9,23.9,23.3,20,20,16.1,23.9
1930,16.7,13.9,16.1,17.8,22.8,24.4,26.7,23.9,23.3,20,18.3,16.1,26.7
1931,13.3,13.3,17.2,16.1,21.1,24.4,27.2,23.9,23.9,20.6,17.8,18.3,27.2
1932,17.8,18.9,18.3,18.3,20.6,24.4,25,23.9,23.9,20.6,17.8,17.8,25
1933,17.2,16.1,18.3,17.2,22.8,23.3,23.3,23.9,23.9,20.6,18.3,16.1,23.9
1934,16.7,9.4,16.7,18.9,21.1,23.3,24.4,23.9,22.2,23.3,18.9,13.9,24.4
1935,16.7,16.1,19.4,20,20.6,22.8,23.3,23.9,22.8,18.9,18.9,13.9,23.9
1936,15,11.7,18.3,17.2,19.4,23.9,23.9,22.8,21.7,21.7,16.7,16.1,23.9
1937,18.9,14.4,15,17.8,21.1,23.3,22.8,22.2,22.2,22.8,16.1,15,23.3
1938,13.3,16.1,16.7,18.9,21.7,21.7,22.8,23.3,22.2,20,20,13.9,23.3
1939,16.7,17.2,18.3,19.4,20.6,22.8,24.4,25,25.6,18.3,13.9,13.9,25.6
1940,10.6,13.9,16.7,20,21.1,23.9,24.4,24.4,22.8,17.8,18.3,16.1,24.4
1941,14.4,10,12.8,18.3,22.8,23.9,25.6,24.4,23.9,23.9,21.1,18.9,25.6
1942,13.9,13.9,17.8,17.2,20,22.8,25,22.8,22.8,17.2,17.2,18.3,25
1943,17.2,13.9,17.8,17.8,20.6,23.3,25,24.4,23.3,17.8,16.7,16.1,25
1944,14.4,16.7,17.8,21.1,20.6,23.9,23.9,23.3,23.9,18.9,16.7,11.1,23.9
1945,11.7,17.8,20,19.4,22.8,23.9,23.3,23.3,23.3,21.1,18.3,10.6,23.9
