year,tr
1904,NA
1905,98
1906,113
1907,88
1908,NA
1909,97
1910,NA
1911,NA
1912,113
1913,85
1914,95
1915,112
1916,87
1917,85
1918,62
1919,94
1920,81
1921,97
1922,99
1923,94
1924,96
1925,113
1926,107
1927,103
1928,99
1929,95
1930,93
1931,96
1932,99
1933,109
1934,102
1935,80
1936,83
1937,81
1938,64
1939,90
1940,85
1941,110
1942,85
1943,95
1944,88
1945,101
1946,76
1947,95
1948,83
1949,100
1950,76
1951,84
1952,91
1953,103
1954,89
1955,88
1956,73
1957,84
1958,94
1959,92
1960,89
1961,71
1962,90
1963,84
1964,94
1965,83
1966,71
1967,63
1968,81
1969,85
1970,93
1971,95
1972,69
1973,NA
1974,NA
1975,NA
1976,55
1977,NA
1978,94
1979,83
1980,NA
1981,91
1982,NA
1983,NA
1984,88
1985,100
1986,120
1987,97
1988,89
1989,95
1990,NA
1991,106
1992,80
1993,93
1994,86
1995,101
1996,91
1997,83
1998,116
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
2020,NA
2021,98
2022,98
2023,84
2024,102
2025,NA
