year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA
1905,9,8,3,4,2,1,0,4,2,8,4,6,51
1906,4,5,4,2,8,4,2,0,2,8,6,7,52
1907,0,4,0,11,5,3,3,3,0,8,5,2,44
1908,1,NA,0,1,3,3,7,5,7,10,2,1,NA
1909,3,1,1,6,4,1,3,2,6,3,1,10,41
1910,0,NA,2,9,6,6,3,4,3,3,7,10,NA
1911,4,3,0,3,3,1,6,2,0,2,8,5,37
1912,9,9,7,5,2,5,4,3,3,5,7,2,61
1913,1,3,4,7,1,4,1,3,7,7,6,3,47
1914,4,7,10,2,3,3,3,3,7,4,5,8,59
1915,2,1,12,5,4,1,2,1,3,4,2,5,42
1916,2,3,3,3,2,1,8,1,0,2,3,0,28
1917,2,4,1,1,7,3,4,3,9,6,5,11,56
1918,9,1,0,8,2,2,3,1,5,1,2,5,39
1919,3,1,0,1,2,6,5,5,1,0,0,1,25
1920,6,5,6,8,9,2,2,4,2,2,3,0,49
1921,1,2,1,0,8,1,7,3,0,4,1,0,28
1922,4,2,0,2,7,1,0,6,0,2,1,3,28
1923,1,3,2,4,5,4,3,2,3,4,3,0,34
1924,1,4,8,3,5,0,6,0,7,8,2,6,50
1925,1,1,0,1,2,3,1,2,0,4,4,7,26
1926,3,0,9,3,2,7,9,1,0,1,7,0,42
1927,1,0,2,5,3,4,7,6,0,0,0,3,31
1928,3,2,1,7,8,4,3,7,4,2,2,0,43
1929,0,1,0,1,5,8,9,5,8,6,6,8,57
1930,2,1,6,2,1,13,5,8,0,7,7,7,59
1931,3,0,5,5,9,0,2,6,0,0,0,0,30
1932,0,0,6,1,5,6,0,11,6,4,3,1,43
1933,0,3,3,12,2,NA,NA,8,2,1,3,0,NA
1934,1,6,5,4,11,3,3,5,0,2,1,3,44
1935,2,1,0,1,2,2,5,4,8,1,1,8,35
1936,5,5,1,4,3,2,4,2,2,0,2,7,37
1937,1,2,5,5,5,1,2,2,4,8,6,5,46
1938,3,0,0,2,1,8,6,1,3,2,4,2,32
1939,0,1,1,3,6,1,0,5,1,2,2,1,23
1940,9,3,3,4,3,2,7,6,4,1,2,0,44
1941,1,4,3,2,1,3,2,1,2,0,2,0,21
1942,2,6,2,1,1,1,2,2,4,1,0,2,24
1943,1,3,4,5,1,3,1,2,5,4,3,4,36
1944,2,1,4,8,2,2,7,4,3,3,2,7,45
1945,0,2,0,3,4,1,7,4,4,4,2,7,38
1946,2,0,0,2,1,3,6,9,7,3,1,2,36
1947,0,6,9,1.87,0,8,9.84,5,4,2,6,2,53.71
1948,5,5.86,1,0,3.57,1.87,6,8,4.57,7.05,0,2,44.92
1949,1,1,0.01,5.99,1,5.92,8,5.75,3.04,0,4,1,36.71
1950,0,0,4,5.68,2,1,9.84,1,7,0,7,9.32,46.84
1951,0,3.69,4.99,3,2.35,0,3,0,4,2.04,7,1,31.06
1952,1,1.86,2,4,4.05,0,1,3.99,3.18,5,1,3,30.08
1953,0.77,0,0,4,0,4.77,6.4,5,4,3,4,2,33.94
1954,1,0,5,0,6,1.9,1,0,1,4,4,3,26.9
1955,1,2,3,1,0,4.92,1.87,3,4,4,3.9,3,31.69
1956,0,0,2,5,3,1.05,1,1,5,3,3,0,24.05
1957,3,1,4,1,2,4,6.96,4,4,10.96,3,2.95,46.87
1958,6,10,4.99,1,2,3.05,2,1,1,4,0,4,39.04
1959,1,3,2.01,2,2,3.69,3.95,0.6,5,5,3,1,32.25
1960,4,1,15,2,4,2.84,2.9,5,0.96,2,1,6.66,47.36
1961,5,1.87,0,4,7.95,7,4,5.9,4,1,0,2.94,43.65
1962,2.88,0,4.86,5,0,1.05,0,0,4,1.86,3,4.66,27.31
1963,2,6,0,3,3.9,5,1.96,1,4,0,1,8,35.86
1964,2,3.96,2,2,3,0,8,3,3.99,8,0.04,1,36.99
1965,1,3.47,5,2.96,0,4.77,1.95,2,2.57,6,0,1.73,31.44
1966,8,3,3,2,8,8.05,6,5,0,2.94,3,2,50.99
1967,0,5,1,1,4,6.91,4,6,6.99,2,4.7,0,41.6
1968,5,3.88,2.97,0,1.96,2,2,4,1,2,6.64,3,34.45
1969,1,6.88,5,0.01,4.99,0,1,9.88,6.96,1,3.99,3,43.71
1970,9.44,1,2,0,1.99,4.74,1,5,0,1,5,2,33.17
1971,1,3,4,4,3.99,1,5.56,3.6,0,0,5.81,3,34.95
