year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,3.3,NA
1905,2.8,0.6,10.6,15.6,22.8,26.7,31.1,22.2,25,15,11.1,5.6,0.6
1906,5,3.9,11.7,14.4,20,23.3,28.9,29.4,23.3,15,9.4,2.8,2.8
1907,9.4,2.8,17.2,9.4,21.7,25.6,25.6,28.3,25,16.7,11.7,7.8,2.8
1908,7.2,NA,17.2,20,20,28.3,28.3,22.8,22.8,17.8,8.9,12.2,NA
1909,1.7,8.3,15.6,16.1,18.3,27.2,26.1,26.7,21.7,16.1,11.7,-1.1,-1.1
1910,8.9,NA,10,16.1,23.3,22.8,25,27.2,23.9,12.2,7.8,3.3,NA
1911,2.8,8.9,15.6,19.4,23.3,27.2,28.3,24.4,28.9,16.7,5,7.8,2.8
1912,-0.6,4.4,6.7,15.6,24.4,22.2,27.2,26.1,21.1,18.9,1.7,8.3,-0.6
1913,7.8,5.6,12.2,14.4,19.4,12.2,30,28.9,21.7,12.8,8.9,7.2,5.6
1914,6.1,-0.6,6.1,13.3,20,25.6,27.8,26.7,20.6,15.6,1.7,3.3,-0.6
1915,7.8,9.4,9.4,7.8,21.1,27.8,29.4,25.6,25,16.7,12.2,5.6,5.6
1916,6.7,7.2,11.1,13.9,25.6,27.8,25,26.1,27.8,18.9,11.1,9.4,6.7
1917,4.4,1.7,8.3,18.3,20.6,23.3,29.4,25,19.4,13.3,8.3,-2.2,-2.2
1918,-2.2,7.2,16.1,14.4,22.2,27.2,28.9,28.9,21.7,21.1,8.3,7.8,-2.2
1919,3.9,8.9,18.3,18.3,23.9,23.3,28.9,25.6,27.2,26.1,16.1,7.8,3.9
1920,4.4,5,7.2,17.2,21.1,23.3,27.8,25,21.1,20,8.9,10,4.4
1921,5,8.9,15.6,20,20.6,26.7,27.2,28.3,31.7,20.6,14.4,13.3,5
1922,-0.6,8.9,15,15.6,21.1,27.8,31.1,27.8,27.2,18.3,9.4,6.7,-0.6
1923,7.2,5.6,10.6,16.7,22.8,27.2,26.1,26.1,25,18.3,13.9,12.2,5.6
1924,0.6,8.3,8.3,16.7,21.1,27.8,27.8,31.1,20,15.6,11.7,4.4,0.6
1925,7.2,8.9,15.6,15.6,23.9,26.7,26.7,26.7,28.9,15,9.4,2.2,2.2
1926,7.2,9.4,10,19.4,22.2,26.1,25,28.3,27.8,12.8,11.7,11.7,7.2
1927,5.6,15,8.9,17.2,23.9,22.2,27.8,25.6,25.6,21.1,14.4,7.8,5.6
1928,0.6,9.4,13.3,15,12.2,26.7,28.9,26.7,21.7,18.3,11.1,10,0.6
1929,9.4,9.4,16.1,19.4,21.1,22.2,26.7,26.7,20,17.8,5.6,5,5
1930,6.7,9.4,11.1,18.3,25.6,23.9,25.6,26.7,26.1,16.1,12.2,5,5
1931,5.6,11.1,9.4,13.9,18.9,30,28.3,26.7,24.4,18.9,16.7,15,5.6
1932,11.1,13.9,6.7,19.4,21.1,24.4,30.6,25.6,22.2,19.4,9.4,5,5
1933,11.7,4.4,11.1,17.8,25.6,NA,NA,25,25,17.2,13.3,12.2,NA
1934,3.3,1.1,8.3,16.1,18.3,23.3,27.2,25.6,26.7,22.2,14.4,8.3,1.1
1935,6.7,9.4,15.6,16.1,21.7,27.2,26.1,27.2,23.3,20,9.4,2.8,2.8
1936,3.9,6.1,15,16.1,22.8,25.6,27.8,27.8,25.6,18.9,10,6.7,3.9
1937,7.2,7.8,11.1,17.8,20.6,28.3,26.1,26.7,20,14.4,4.4,5,4.4
1938,5,12.2,17.8,17.2,22.8,26.7,28.9,28.3,22.2,20.6,7.2,7.8,5
1939,11.1,6.7,12.2,17.2,16.7,26.1,31.1,27.2,25,16.7,12.8,10,6.7
1940,1.1,7.2,13.9,13.3,21.1,27.8,25,26.7,17.8,20.6,10,12.2,1.1
1941,7.8,8.9,10.6,21.7,23.3,27.2,28.3,28.3,25.6,23.3,15,10,7.8
1942,7.2,8.9,10,17.8,25,28.3,26.7,25,22.2,18.9,15,6.7,6.7
1943,7.8,6.7,9.4,16.1,25,27.2,29.4,27.8,25,16.1,13.3,1.7,1.7
1944,5,8.3,12.8,13.3,20.6,27.2,23.9,25.6,22.2,20,11.7,6.7,5
1945,10.6,8.3,20.6,17.2,19.4,25,26.1,27.2,23.3,20,11.1,6.1,6.1
1946,7.8,13.9,13.3,20,23.9,26.7,25.6,26.1,21.1,20.6,13.3,7.8,7.8
1947,10,5.6,7.8,21.1,24.4,22.2,26.7,26.1,17.2,21.1,9.4,7.8,5.6
1948,5.6,5.6,13.9,18.9,23.3,27.8,26.7,26.1,21.7,18.3,13.9,3.9,3.9
1949,8.3,8.3,12.2,13.9,22.2,27.2,27.8,26.7,23.9,22.2,11.1,8.9,8.3
1950,15,12.8,10,15,21.7,26.7,22.2,27.2,18.9,21.1,8.3,3.3,3.3
