year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,23.9,NA
1905,21.1,23.9,27.2,32.8,37.2,36.7,38.9,37.2,36.1,30.6,26.7,22.2,38.9
1906,25,22.8,26.7,34.4,35.6,36.7,35,35.6,34.4,29.4,27.8,24.4,36.7
1907,24.4,24.4,33.3,30,33.9,36.7,37.8,36.7,35.6,30.6,26.7,22.8,37.8
1908,20,NA,30.6,32.8,36.7,35.6,35.6,36.7,33.9,27.2,26.7,25.6,NA
1909,25.6,26.7,29.4,31.1,35.6,37.2,37.2,35,33.9,28.9,28.3,23.3,37.2
1910,24.4,NA,28.9,32.2,35.6,35,37.2,36.1,35,30.6,24.4,22.2,NA
1911,24.4,26.7,29.4,32.8,35,40,35.6,35,33.9,33.9,26.7,23.9,40
1912,23.3,26.1,27.8,31.7,35.6,36.1,35.6,34.4,36.7,30,25.6,25,36.7
1913,25.6,25,28.3,29.4,36.7,37.2,37.2,34.4,32.8,31.7,25.6,23.9,37.2
1914,24.4,22.8,30,33.3,34.4,40,39.4,35.6,33.9,28.9,26.7,25,40
1915,21.7,22.8,25,31.1,36.7,37.8,38.9,36.7,35.6,31.7,27.8,23.3,38.9
1916,28.9,28.9,31.7,33.9,38.3,38.3,35.6,38.3,35,33.3,30,26.1,38.3
1917,26.7,28.9,31.7,34.4,37.2,39.4,37.8,38.3,36.7,32.2,26.1,23.3,39.4
1918,25,28.9,32.2,32.8,35.6,40,37.8,40,36.1,33.9,28.3,27.8,40
1919,25.6,23.9,27.2,32.8,35.6,36.1,38.3,36.1,36.1,36.7,30.6,29.4,38.3
1920,27.2,21.7,30,31.7,32.8,38.3,37.2,35.6,36.7,33.3,28.3,26.1,38.3
1921,23.3,29.4,34.4,33.3,35.6,38.3,36.1,39.4,40,30.6,28.9,25,40
1922,27.2,29.4,28.9,35,35.6,36.7,36.7,35.6,37.2,32.8,28.9,27.2,37.2
1923,26.1,27.8,28.9,33.9,33.9,35,38.3,37.2,36.7,33.3,23.9,26.7,38.3
1924,25.6,26.7,30.6,30,34.4,38.3,37.2,37.8,35,27.8,27.2,26.7,38.3
1925,25,24.4,30.6,34.4,35.6,40.6,38.3,40.6,41.1,36.7,26.7,23.9,41.1
1926,24.4,25,28.3,32.2,37.2,37.8,36.7,35,35.6,32.2,26.7,27.8,37.8
1927,26.7,29.4,30.6,32.2,38.3,40.6,39.4,36.1,37.8,34.4,28.9,27.8,40.6
1928,27.2,23.3,30.6,29.4,32.2,36.1,35,34.4,33.9,31.7,27.2,25.6,36.1
1929,27.2,28.9,33.3,31.7,32.2,35,36.1,35,32.8,29.4,30,27.2,36.1
1930,26.7,29.4,24.4,30.6,32.8,35.6,38.3,35,33.3,30,26.7,23.3,38.3
1931,21.7,25,26.7,31.7,33.9,38.3,39.4,36.7,37.2,30.6,28.9,28.9,39.4
1932,28.3,29.4,29.4,32.2,33.9,36.7,38.9,33.9,32.8,28.3,24.4,25.6,38.9
1933,25.6,25,29.4,27.8,34.4,NA,NA,34.4,33.9,31.7,26.7,27.8,NA
1934,26.7,25.6,28.3,31.7,32.2,36.1,38.9,37.2,35.6,33.9,30.6,25.6,38.9
1935,27.8,25.6,33.9,33.9,36.7,39.4,36.7,38.3,33.3,32.2,31.7,23.3,39.4
1936,25,25.6,30,32.8,35.6,39.4,38.9,36.7,36.1,33.9,30,25.6,39.4
1937,28.3,26.7,26.7,32.2,37.2,36.7,36.1,34.4,35,32.8,26.7,23.3,37.2
1938,25,26.7,30.6,34.4,38.9,36.1,35,40,36.7,31.1,28.9,26.1,40
1939,25.6,27.2,30,30.6,35,36.7,37.8,37.2,38.3,33.9,28.9,24.4,38.3
1940,20,23.3,26.7,32.2,35.6,38.9,38.9,37.2,36.7,31.1,27.8,26.1,38.9
1941,23.9,22.8,24.4,34.4,39.4,40,38.3,37.8,36.7,36.1,29.4,25.6,40
1942,23.3,23.3,30.6,32.8,32.8,35,39.4,36.7,36.7,31.7,29.4,26.7,39.4
1943,27.2,26.7,30,32.2,33.9,38.3,36.1,37.2,33.3,33.3,28.9,27.8,38.3
1944,26.7,27.8,28.3,30.6,33.3,40,36.1,34.4,36.7,31.7,26.1,23.9,40
1945,21.1,28.3,32.8,31.7,37.8,38.3,37.2,35.6,35,32.8,28.3,20,38.3
1946,26.1,25,29.4,31.7,31.1,35,35.6,36.1,33.3,30.6,28.9,26.7,36.1
1947,27.2,25,24.4,31.7,33.3,37.8,33.9,36.1,35.6,30,26.1,25,37.8
1948,22.2,27.8,30.6,30,34.4,36.1,35.6,36.7,35.6,28.3,28.9,26.1,36.7
1949,28.3,27.2,31.1,30,33.3,35,37.2,34.4,34.4,30.6,25,26.7,37.2
1950,27.2,27.2,30,30.6,35.6,39.4,35,35,32.2,30,29.4,23.9,39.4
1951,25,27.2,29.4,30.6,35,36.7,38.9,36.1,35,34.4,26.7,26.7,38.9
1952,26.1,24.4,29.4,29.4,35,41.1,38.9,35.6,33.3,31.1,26.7,25,41.1
1953,25,26.1,29.4,31.1,36.7,37.8,35.6,36.1,32.8,30,26.1,23.3,37.8
1954,26.7,25.6,32.2,32.8,35,37.8,38.3,40.6,35.6,34.4,25.6,25.6,40.6
1955,24.4,26.7,31.1,32.8,36.1,35.6,35.6,35.6,33.3,31.1,27.8,27.2,36.1
1956,25.6,28.3,28.9,31.1,35.6,35,36.1,37.2,33.9,31.1,27.8,27.2,37.2
1957,27.8,28.9,26.1,30.6,33.9,34.4,35.6,37.2,36.1,27.2,28.3,23.9,37.2
1958,22.2,27.2,25.6,33.3,32.8,35.6,35.6,35.6,34.4,32.2,30,25,35.6
1959,26.7,26.7,28.3,31.1,35,39.4,36.7,35.6,33.9,31.7,28.3,23.3,39.4
1960,25,25,27.8,31.7,35.6,36.1,36.7,34.4,33.9,31.7,27.2,23.3,36.7
1961,21.7,27.2,30.6,29.4,32.8,35.6,36.1,35.6,35,31.1,31.7,26.7,36.1
1962,25.6,28.9,28.3,32.2,36.7,35,36.7,36.7,35,32.2,26.1,25,36.7
1963,25,23.9,32.2,32.8,35,36.7,35.6,37.8,35,31.1,27.2,20.6,37.8
1964,21.7,22.8,27.8,33.3,36.7,38.9,34.4,35,34.4,31.1,29.4,26.7,38.9
1965,25,27.2,29.4,32.8,36.1,35,36.1,36.7,34.4,31.7,26.7,24.4,36.7
1966,24.4,26.1,28.3,31.1,32.8,33.3,37.2,35,36.1,31.1,27.8,25.6,37.2
1967,26.1,25.6,32.2,34.4,36.7,34.4,33.9,35.6,31.7,31.7,26.7,28.3,36.7
1968,24.4,23.9,31.1,33.9,33.9,35.6,37.2,38.9,35,32.2,27.2,26.1,38.9
1969,25,25,28.3,30.6,33.9,36.7,37.8,35,32.8,31.1,24.4,25.6,37.8
1970,26.7,23.3,27.8,32.8,34.4,37.8,37.8,35.6,36.1,31.7,26.7,26.7,37.8
1971,25,28.9,27.8,31.7,33.9,37.8,36.7,35,32.8,33.9,27.2,27.2,37.8
1972,26.1,27.8,28.3,31.7,31.1,35.6,36.7,38.3,37.2,33.3,30.6,28.3,38.3
1973,23.3,22.2,31.1,29.4,35.6,NA,NA,35.6,35,33.3,NA,25.6,NA
1974,28.3,26.1,32.8,32.2,35,34.4,34.4,34.4,33.9,30,30,25.6,35
1975,28.3,28.3,30,33.3,35.6,35.6,34.4,36.1,35,31.7,28.9,NA,NA
1976,24.4,27.2,30.6,32.8,31.7,33.9,35.6,35,32.2,28.9,24.4,22.2,35.6
1977,21.1,27.8,30.6,32.8,35.6,38.9,38.3,36.7,35.6,32.2,27.8,24.4,38.9
1978,21.7,22.8,28.3,32.2,33.3,38.3,36.7,35.6,35.6,31.1,31.7,28.3,38.3
1979,22.8,26.1,29.4,30,33.3,35.6,36.7,35.6,34.4,31.1,29.4,25.6,36.7
1980,23.3,29.4,28.9,32.8,33.3,36.1,40,NA,37.8,30,27.8,25,NA
1981,21.1,26.7,29.4,32.8,35.6,38.9,37.8,35,33.9,32.2,26.7,27.8,38.9
1982,25.6,25,31.1,NA,33.9,NA,NA,35,33.3,NA,NA,NA,NA
1983,21.7,23.9,26.7,30.6,32.8,35.6,39.4,39.4,35,32.2,NA,25.6,NA
1984,21.1,26.1,29.4,31.7,33.3,37.2,35.6,36.1,34.4,31.7,27.2,26.7,37.2
1985,26.1,27.8,30,32.8,33.3,38.3,35.6,33.9,33.9,31.7,28.3,25,38.3
1986,23.3,26.7,30.6,36.1,36.7,36.7,41.1,38.3,35.6,35,30,25,41.1
1987,21.7,22.8,27.2,32.2,32.8,35.6,38.3,38.3,32.2,27.8,28.3,25.6,38.3
1988,25.6,26.1,26.7,32.2,32.8,38.3,36.1,35,33.3,30,27.8,25,38.3
1989,26.7,28.9,30,32.2,35.6,37.2,34.4,35,32.8,31.1,31.1,23.3,37.2
1990,25.6,28.3,29.4,33.9,36.1,38.3,40.6,36.7,NA,33.9,27.2,26.1,NA
1991,23.9,27.8,30,33.3,33.9,33.9,35,35,34.4,29.4,27.2,27.2,35
1992,21.1,24.4,27.8,30.6,33.9,33.3,36.7,34.4,32.2,28.3,28.3,26.1,36.7
1993,24.4,22.8,29.4,30,32.2,36.7,38.3,36.7,35,31.7,28.3,24.4,38.3
1994,22.8,26.7,30.6,31.7,32.8,33.9,34.4,33.9,32.8,30,27.8,26.7,34.4
1995,24.4,25,28.3,32.2,36.1,36.1,35.6,36.7,31.7,30.6,29.4,25,36.7
1996,25.6,28.9,26.7,31.1,36.1,37.2,37.2,34.4,33.3,31.1,28.3,25,37.2
1997,25.6,28.3,30,30,31.1,33.9,36.7,37.2,35.6,32.2,27.8,25.6,37.2
1998,25,25,29.4,28.9,35.6,38.9,38.3,36.7,36.1,30,28.9,27.8,38.9
1999,26.7,26.1,27.8,35,NA,36.7,37.8,39.4,35.6,29.4,28.3,25.6,NA
2000,25,25.6,27.8,29.4,35.6,37.8,41.1,NA,33.3,31.7,29.4,22.8,NA
2001,27.8,28.3,27.8,31.7,35.6,43.3,45,NA,32.8,30,28.9,27.2,NA
2002,26.7,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,21.7,25.6,NA,30,NA,NA,NA,35.6,NA,NA,30,22.2,NA
2004,26.1,NA,30,32.8,NA,NA,NA,NA,35.6,NA,31.1,25.6,NA
2005,NA,27.8,28.9,30,NA,NA,NA,NA,37.8,NA,NA,21.7,NA
2006,NA,NA,NA,NA,NA,NA,NA,39.4,NA,NA,NA,26.1,NA
2007,26.1,26.7,NA,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA
2008,25.6,28.3,30,31.7,NA,37.8,NA,38.9,NA,31.7,NA,27.8,NA
2009,26.7,25.6,30.6,NA,NA,37.2,NA,37.8,33.9,33.3,26.7,26.7,NA
2010,23.9,22.8,NA,32.8,35,40,NA,40,37.8,NA,28.3,23.3,NA
2011,25,28.9,32.2,33.9,NA,NA,NA,NA,37.2,NA,28.9,27.8,NA
2012,27.2,28.9,31.7,33.3,36.1,NA,NA,36.7,NA,33.9,NA,26.7,NA
2013,28.3,NA,25.6,NA,NA,NA,NA,NA,NA,32.2,26.7,28.3,NA
2014,21.7,27.8,27.8,31.7,NA,NA,NA,38.3,35,NA,26.7,26.1,NA
2015,22.8,NA,31.1,NA,NA,37.8,NA,NA,NA,NA,NA,NA,NA
2016,NA,27.2,30.6,30,33.9,38.3,38.3,37.2,35,30.6,30.6,27.2,NA
2017,26.1,27.2,31.1,34.4,35,34.4,36.1,36.1,35.6,33.3,29.4,26.7,36.1
2018,23.3,28.9,28.9,30,35,36.7,36.1,35.6,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,NA,38.3,38.3,36.7,31.1,25,NA
2020,27.2,28.3,32.2,31.7,NA,36.1,37.8,35.6,37.2,32.8,28.9,24.4,NA
2021,25.6,28.9,32.2,31.1,35,36.7,36.7,36.7,34.4,31.7,26.7,27.2,NA
2022,28.3,30.6,30,31.7,36.1,40.6,36.7,37.8,35.6,31.7,29.4,28.3,40.6
2023,28.3,30,30.6,32.2,33.3,35.6,37.8,37.8,35,30,28.9,30.6,37.8
2024,28.9,27.8,30.6,32.8,34.4,39.4,38.9,36.7,35,33.3,30.6,27.2,39.4
2025,25,28.9,29.4,34.4,35.6,37.2,38.3,NA,NA,NA,NA,NA,NA
