year,wsdi
1904,NA
1905,7
1906,7
1907,0
1908,NA
1909,0
1910,NA
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,7
1919,26
1920,0
1921,33
1922,0
1923,9
1924,0
1925,30
1926,0
1927,19
1928,0
1929,6
1930,0
1931,7
1932,0
1933,NA
1934,0
1935,7
1936,9
1937,17
1938,13
1939,21
1940,0
1941,18
1942,6
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,8
1958,6
1959,6
1960,0
1961,6
1962,0
1963,0
1964,13
1965,0
1966,0
1967,0
1968,6
1969,0
1970,0
1971,0
1972,7
1973,NA
1974,17
1975,NA
1976,6
1977,0
1978,0
1979,0
1980,NA
1981,0
1982,NA
1983,NA
1984,0
1985,6
1986,6
1987,0
1988,0
1989,0
1990,NA
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,7
1998,8
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,7
2018,NA
2019,NA
2020,NA
2021,NA
2022,0
2023,0
2024,0
2025,NA
