year,cdd
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,18
1948,18
1949,17
1950,26
1951,28
1952,25
1953,18
1954,17
1955,20
1956,24
1957,13
1958,26
1959,18
1960,17
1961,34
1962,18
1963,32
1964,30
1965,15
1966,16
1967,20
1968,27
1969,19
1970,24
1971,23
1972,25
1973,21
1974,21
1975,17
1976,43
1977,NA
1978,24
1979,18
1980,28
1981,22
1982,22
1983,32
1984,22
1985,30
1986,22
1987,25
1988,17
1989,22
1990,16
1991,23
1992,15
1993,21
1994,15
1995,NA
1996,25
1997,16
1998,32
1999,23
2000,48
2001,39
2002,16
2003,19
2004,13
2005,24
2006,18
2007,NA
2008,NA
2009,13
2010,18
2011,16
2012,20
2013,16
2014,NA
2015,15
2016,34
2017,24
2018,18
2019,13
2020,17
2021,23
2022,17
2023,21
2024,37
2025,NA
