year,csdi
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,6
1955,6
1956,0
1957,0
1958,6
1959,0
1960,12
1961,NA
1962,0
1963,0
1964,0
1965,0
1966,0
1967,6
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,6
1975,0
1976,0
1977,NA
1978,0
1979,16
1980,13
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,7
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,0
2004,0
2005,0
2006,0
2007,NA
2008,NA
2009,0
2010,0
2011,0
2012,0
2013,0
2014,NA
2015,0
2016,0
2017,0
2018,0
2019,8
2020,0
2021,0
2022,6
2023,0
2024,0
2025,NA
