year,cwd
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,7
1948,5
1949,4
1950,6
1951,6
1952,6
1953,4
1954,3
1955,5
1956,4
1957,5
1958,5
1959,5
1960,4
1961,6
1962,4
1963,7
1964,6
1965,7
1966,8
1967,6
1968,6
1969,5
1970,6
1971,6
1972,5
1973,11
1974,9
1975,11
1976,5
1977,NA
1978,5
1979,7
1980,5
1981,4
1982,4
1983,5
1984,5
1985,6
1986,4
1987,4
1988,4
1989,5
1990,5
1991,9
1992,7
1993,6
1994,6
1995,NA
1996,4
1997,7
1998,4
1999,7
2000,4
2001,3
2002,5
2003,7
2004,7
2005,8
2006,5
2007,NA
2008,NA
2009,6
2010,6
2011,5
2012,5
2013,7
2014,NA
2015,6
2016,4
2017,5
2018,5
2019,6
2020,6
2021,4
2022,3
2023,5
2024,5
2025,NA
