year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,13.06,12.35,13.19,12.29,14.51,15.27,11.59,NA
1954,13.17,14.37,13.28,13.94,14.11,14.73,14.48,15.17,14.45,15.6,13.53,12.92,14.14
1955,12.55,13.35,14.2,13.69,14.17,13.3,11.94,11.42,9.66,15.23,15.54,13.41,13.2
1956,15.13,13.69,14.6,14.67,13.13,14.34,13.04,13.44,13.21,9.7,14.87,14.52,13.69
1957,11.27,12.64,12.62,14.19,14.08,11.02,11.69,13.14,10.77,11.15,12.49,13.78,12.4
1958,11.65,13.52,11.1,13.52,12.61,11.39,11.12,11.68,14.2,14.71,16.44,14.35,13.01
1959,14.59,9.78,14.03,13.44,12.83,12.83,10.51,11.09,10.04,9.95,13.65,13.47,12.19
1960,12.47,12.96,12.13,14.53,14.11,10.94,9.87,10.56,11.64,13.58,14.81,15.95,12.8
1961,12.99,12.62,14.1,13.99,12.93,12.19,11.82,9.95,11.51,16.85,14.08,NA,NA
1962,12.17,13.94,12.43,13.36,14.95,10.58,11.2,11.63,11.9,14.09,12.8,13.29,12.68
1963,14.19,13.81,13.55,13.93,13.3,10.91,10.75,12.77,12.45,17.04,15.54,12.65,13.41
1964,12.3,12.21,13.15,12.16,13.68,11.69,8.99,9.31,11.51,12.86,14.89,12.08,12.06
1965,14.66,12.01,12.81,12.85,14.52,10.15,9.61,10.98,10.39,13.54,14.68,15.09,12.62
1966,11.56,11.3,14.02,13.96,10.14,11.48,10.51,9.78,11.6,15.06,16.8,13.06,12.44
