year,fd
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,47
1955,50
1956,46
1957,31
1958,65
1959,33
1960,61
1961,NA
1962,40
1963,67
1964,40
1965,49
1966,58
1967,51
1968,79
1969,72
1970,64
1971,46
1972,29
1973,40
1974,28
1975,28
1976,48
1977,NA
1978,60
1979,68
1980,68
1981,66
1982,40
1983,57
1984,43
1985,40
1986,38
1987,37
1988,52
1989,35
1990,14
1991,23
1992,19
1993,24
1994,27
1995,40
1996,51
1997,26
1998,15
1999,42
2000,47
2001,41
2002,46
2003,48
2004,45
2005,49
2006,42
2007,NA
2008,NA
2009,41
2010,66
2011,46
2012,36
2013,44
2014,NA
2015,32
2016,29
2017,16
2018,27
2019,17
2020,20
2021,24
2022,36
2023,23
2024,22
2025,NA
