year,gsl
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,365
1955,365
1956,334
1957,361
1958,333
1959,341
1960,365
1961,NA
1962,340
1963,344
1964,364
1965,365
1966,365
1967,352
1968,NA
1969,344
1970,323
1971,355
1972,366
1973,365
1974,NA
1975,345
1976,355
1977,NA
1978,322
1979,275
1980,359
1981,343
1982,365
1983,359
1984,362
1985,318
1986,350
1987,361
1988,350
1989,349
1990,363
1991,365
1992,366
1993,365
1994,343
1995,349
1996,355
1997,365
1998,364
1999,355
2000,352
2001,356
2002,357
2003,365
2004,366
2005,365
2006,365
2007,NA
2008,NA
2009,364
2010,325
2011,338
2012,362
2013,360
2014,NA
2015,365
2016,355
2017,365
2018,358
2019,365
2020,366
2021,365
2022,326
2023,365
2024,361
2025,NA
