year,prcptot
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,1383.4
1948,1701.8
1949,1041.7
1950,927.8
1951,875.9
1952,1387.9
1953,1194.3
1954,639.3
1955,1197.2
1956,967.1
1957,1141.2
1958,1068.5
1959,1587.8
1960,1372.2
1961,1364.3
1962,1200
1963,1138.1
1964,1806.1
1965,1173.7
1966,1344.3
1967,974.9
1968,1085
1969,1191.2
1970,1201.2
1971,1343
1972,1202.1
1973,1236.6
1974,1066
1975,1399.5
1976,1214.4
1977,NA
1978,946.2
1979,1500.3
1980,1076.6
1981,948.2
1982,1002.4
1983,1207.8
1984,1268
1985,1259.6
1986,787.3
1987,1124.2
1988,922.4
1989,1388.7
1990,1087.6
1991,1620.4
1992,1393.9
1993,1152.4
1994,1539.4
1995,NA
1996,882.1
1997,1351.9
1998,1287.7
1999,1102
2000,1044.9
2001,856.7
2002,1043
2003,1658.9
2004,1194.7
2005,1169.1
2006,1060.3
2007,NA
2008,NA
2009,1393.8
2010,1089.9
2011,981.9
2012,1225.9
2013,1573.2
2014,NA
2015,1500.6
2016,1465.8
2017,1213.6
2018,1323
2019,1106.4
2020,1638.3
2021,1336.8
2022,1278.5
2023,1468.6
2024,1334.9
2025,NA
