year,r20mm
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,22
1948,26
1949,15
1950,11
1951,11
1952,22
1953,19
1954,7
1955,20
1956,17
1957,22
1958,17
1959,23
1960,23
1961,23
1962,19
1963,17
1964,27
1965,19
1966,22
1967,15
1968,18
1969,23
1970,15
1971,28
1972,19
1973,14
1974,16
1975,22
1976,23
1977,NA
1978,17
1979,27
1980,15
1981,14
1982,14
1983,19
1984,18
1985,21
1986,11
1987,16
1988,12
1989,24
1990,11
1991,28
1992,28
1993,20
1994,25
1995,NA
1996,12
1997,25
1998,23
1999,14
2000,13
2001,15
2002,18
2003,30
2004,19
2005,23
2006,19
2007,NA
2008,NA
2009,25
2010,19
2011,14
2012,19
2013,28
2014,NA
2015,20
2016,24
2017,17
2018,22
2019,16
2020,24
2021,22
2022,21
2023,25
2024,20
2025,NA
