year,r95p
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,66.3
1948,544.1
1949,189
1950,76.5
1951,111.3
1952,371.9
1953,252.4
1954,46.7
1955,349.1
1956,160.2
1957,120.9
1958,103.1
1959,543.1
1960,397.1
1961,352.2
1962,198.6
1963,362.7
1964,741.9
1965,298.9
1966,362.2
1967,204.2
1968,233.5
1969,247.9
1970,361.1
1971,225.6
1972,187
1973,280
1974,96
1975,229.9
1976,144.8
1977,NA
1978,103.4
1979,393.3
1980,229.1
1981,0
1982,48.8
1983,310.7
1984,386
1985,511.2
1986,45.7
1987,200.7
1988,181.1
1989,276.6
1990,408.9
1991,392.2
1992,266.9
1993,158.3
1994,377.5
1995,NA
1996,185.6
1997,241.1
1998,483.9
1999,426.1
2000,247.7
2001,139.7
2002,189.2
2003,527.3
2004,417.7
2005,98.6
2006,296.1
2007,NA
2008,NA
2009,358.4
2010,248.9
2011,135.9
2012,332.7
2013,482.2
2014,NA
2015,512.1
2016,613.4
2017,432.6
2018,313.2
2019,129
2020,521.4
2021,299.7
2022,437.9
2023,546.4
2024,590.5
2025,NA
