year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,9.7,NA
1920,20.8,50.8,61,27.9,NA,NA,47.8,16.5,50.8,NA,30.5,29.2,NA
1921,30.5,61,24.4,16.5,55.9,NA,41.9,NA,12.7,21.6,38.1,12.7,NA
1922,30.5,NA,29.5,22.9,61.2,14,NA,19.3,NA,33,17.8,22.9,NA
1923,11.4,24.9,NA,16.8,22.9,18.5,34.3,50.3,19.6,5.1,10.2,42.2,NA
1924,38.1,26.9,21.6,63.5,20.3,19.1,58.4,45.7,66,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,22.6,4.1,42.7,34.3,19.3,26.7,33.8,29,66.3,25.9,29.5,41.7,66.3
1948,23.9,31.8,38.4,61.2,43.2,28.4,13.2,8.6,224,100.6,49.8,30,224
1949,16.5,33.5,11.4,23.1,24.9,41.1,22.6,133.1,37.1,10.2,21.1,21.1,133.1
1950,19.3,18.8,21.1,22.9,21.8,27.4,24.4,31.2,76.5,34.3,10.4,27.7,76.5
1951,9.9,23.6,66.8,21.3,10.7,18.3,30,44.5,34.5,9.4,39.9,12.7,66.8
1952,19.8,44.2,44.7,38.1,27.2,60.5,24.1,78,30.2,25.1,16.5,22.9,78
1953,37.1,29.2,14.5,8.9,34.3,11.4,49,61.7,91.4,5.6,11.2,50.3,91.4
1954,9.9,15.5,21.8,37.8,46.7,12.7,6.4,40.9,14,35.1,5.6,18.5,46.7
1955,33,28.2,19.1,57.2,55.1,31.8,36.1,87.1,58.2,17.8,45.5,6.6,87.1
1956,10.4,53.3,48.5,32.8,20.1,31.2,38.6,35.1,58.4,26.4,14.2,40.9,58.4
1957,13.5,10.9,41.9,29.7,33.5,46,31.8,24.9,37.8,28.7,74.9,22.4,74.9
1958,27.4,33.5,36.6,59.4,41.9,33.3,34.3,26.9,43.7,12.2,2.3,26.7,59.4
1959,20.8,40.1,72.4,30,61,76.7,68.6,43.2,125.2,70.1,12.2,35.3,125.2
1960,39.1,34.3,42.9,66,10.4,72.9,94.7,19.3,50.8,59.4,13.5,21.8,94.7
1961,13,40.6,33.8,66.5,24.6,77.7,31,48.8,25.4,7.9,36.8,23.9,77.7
1962,31,53.3,28.4,36.6,38.1,53.3,29.5,39.6,45,22.6,47,33.3,53.3
1963,29.2,21.6,52.8,20.8,38.6,44.2,59.2,31.8,74.7,0,59.2,16,74.7
1964,38.6,36.8,53.6,50.8,91.7,52.8,41.9,151.1,76.5,97,10.2,47,151.1
1965,10.2,26.2,32,23.1,3,77.7,71.9,45.7,23.4,57.9,24.9,16.5,77.7
1966,33,20.3,52.3,30.5,43.2,44.7,41.9,108.7,61,11.7,10.4,22.1,108.7
1967,28.2,27.9,44.2,25.4,55.9,7.1,51.3,28.2,52.8,7.1,31,25.9,55.9
1968,27.9,20.1,11.9,16,46.5,51.1,58.4,40.9,22.9,77.5,31.8,22.1,77.5
1969,61,39.9,40.6,46.2,68.6,34.3,72.1,40.4,26.2,34.3,21.3,20.3,72.1
1970,17,41.1,65.5,5.8,38.1,38.1,15.2,107.7,17.3,23.6,38.1,46.2,107.7
1971,27.9,30.5,59.7,27.2,23.4,27.9,56.4,109.5,32.5,35.6,35.3,30.5,109.5
1972,46.2,29.7,43.7,5.1,22.6,52.6,25.7,39.4,17.8,23.9,44.5,34,52.6
1973,41.1,61,26.7,54.4,26.4,53.6,28.7,66.5,44.5,16.3,4.3,33.3,66.5
1974,24.1,41.7,11.9,33.5,19.8,25.7,23.6,31.2,96,3.6,23.1,34.3,96
1975,56.1,34,26.4,37.1,45.7,48.3,40.1,31.8,79.8,10.9,20.6,22.1,79.8
1976,43.7,16.5,23.4,3.8,44.2,37.6,30,10.4,56.9,23.1,24.1,35.6,56.9
1977,21.8,21.6,49.8,8.6,16.5,17.5,10.9,51.1,26.4,20.8,15.5,NA,NA
1978,42.9,12.7,32.8,35.6,30,19.3,55.9,32.8,13.2,26.4,47.5,18.5,55.9
1979,36.6,48.8,31.5,77.7,30.2,31,36.1,47.8,167.9,15.2,20.8,18.5,167.9
1980,24.1,25.9,81.3,11.7,40.6,34.3,94.7,31.5,53.1,15.7,16.3,18,94.7
1981,6.9,33.3,28.7,9.9,11.9,37.3,42.4,41.9,11.9,17.8,7.4,23.6,42.4
1982,39.4,26.9,7.1,31.8,10.7,48.8,36.8,5.1,37.1,17.3,7.4,42.7,48.8
1983,22.4,54.1,48,23.1,11.2,39.1,45,48.5,63.5,19.6,31.8,51.6,63.5
1984,25.9,39.4,42.9,27.7,75.4,11.4,116.8,50.3,7.4,16.5,15.2,18.5,116.8
1985,53.6,72.1,14.7,8.9,31.5,46.2,58.4,73.7,0,43.7,62.2,34.5,73.7
1986,10.7,37.6,45.7,14.2,22.1,42.7,17.3,20.3,17.3,32.8,37.1,18.5,45.7
1987,48.3,41.9,26.7,9.9,20.6,24.9,50.8,18.5,56.6,29.2,39.6,10.7,56.6
1988,31.8,19.3,32.5,30.5,15.7,33,39.9,78.7,102.4,22.6,14,33.5,102.4
1989,23.6,28.4,24.9,36.1,30,43.2,42.7,65.5,74.4,92.2,15.2,32.5,92.2
1990,25.7,17.3,18.3,12.2,34.3,23.6,20.3,43.2,14,253.7,28.7,19.6,253.7
1991,46.2,15.5,64.3,16,39.4,46.2,56.6,68.1,23.1,16.8,28.2,21.3,68.1
1992,27.2,47.2,21.1,51.6,23.9,38.1,12.4,47.2,33.8,37.6,70.1,30,70.1
1993,41.9,22.6,35.6,26.2,15.2,33.3,51.6,54.9,36.6,51.8,43.2,20.8,54.9
1994,23.4,28.4,38.9,17,10.2,62.5,43.7,25.9,64.5,50.3,30.5,23.4,64.5
1995,74.9,44.2,40.6,8.6,34.3,93,NA,112.3,34.3,43.2,21.8,30,NA
1996,37.1,15.7,20.3,37.6,42.4,10.9,25.9,53.3,5.1,132.3,15.5,26.7,132.3
1997,29.2,40.6,47.8,40.9,33,83.8,26.7,26.9,109.5,27.9,30.5,30.5,109.5
1998,33.3,61.7,54.4,55.6,85.6,32,27.9,31.2,131.6,11.4,6.9,25.9,131.6
1999,72.4,27.2,18.5,17.8,66,66.5,34.5,109.7,48.5,32.5,10.7,27.9,109.7
2000,26.2,15.5,48.3,15.7,0.8,40.1,78.5,10.2,120.9,0,27.4,10.9,120.9
2001,29,30.5,49.5,7.4,32.3,45.7,34.3,9.4,44.5,7.1,5.6,5.1,49.5
2002,18.3,43.7,41.1,20.3,14.2,32.5,69.3,76.2,39.6,26.2,28.4,34.5,76.2
2003,10.2,25.1,74.2,47.8,42.7,53.8,77.2,34.3,28.4,59.9,4.1,24.4,77.2
2004,66,49.5,5.3,27.9,34.8,54.9,66.5,20.8,78.7,10.2,55.9,23.9,78.7
2005,41.4,25.1,32,25.1,25.4,28.7,31.8,46.5,3.3,37.8,52.1,30.5,52.1
2006,24.6,39.9,43.7,34,28.4,91.4,36.6,50.8,66,23.4,41.7,44.2,91.4
