year,sdii
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,12.2
1948,15.1
1949,10.2
1950,9.2
1951,9.5
1952,14.8
1953,12.3
1954,9
1955,13.5
1956,12.2
1957,11
1958,10.5
1959,14.7
1960,16
1961,13
1962,12.2
1963,14.1
1964,17.4
1965,12.6
1966,14.2
1967,11.9
1968,11.9
1969,15.1
1970,13.5
1971,13.3
1972,12.4
1973,12.4
1974,11.3
1975,12.4
1976,12.9
1977,NA
1978,12.1
1979,15.2
1980,12
1981,10.9
1982,10.1
1983,14
1984,14.7
1985,15.6
1986,10.6
1987,12.2
1988,11.8
1989,13.2
1990,13.6
1991,15
1992,14.2
1993,14.6
1994,14.4
1995,NA
1996,11.2
1997,14.1
1998,16.3
1999,14.1
2000,12.4
2001,11.6
2002,12
2003,14.4
2004,14.2
2005,13.8
2006,13.6
2007,NA
2008,NA
2009,13.1
2010,12.8
2011,11.3
2012,12.8
2013,15.1
2014,NA
2015,13.3
2016,17.7
2017,15.2
2018,12
2019,10.6
2020,14.1
2021,13.4
2022,13.9
2023,15.8
2024,16.1
2025,NA
