year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,33.36,33.65,33.41,30.03,25.94,19.71,14.66,NA
1954,16.25,18.71,20.16,26.95,26.92,33.84,36.22,36.49,33.28,26.56,17.47,12.94,25.51
1955,13.22,16.53,21.95,25.89,30.57,30.26,33.33,33.13,28.83,24.99,19.37,14.02,24.39
1956,13.18,18.62,19.59,24.06,29.62,33.23,34.65,34.32,29.64,23.69,19.08,20.93,25.07
1957,14.48,19.87,18.56,25.68,28.96,31.12,32.68,32.93,30.52,21.27,19.49,15.42,24.26
1958,10.03,11.13,15.54,23.68,28.75,31.35,33.26,33.42,31.31,24.17,23.3,13.24,23.3
1959,14.63,14.78,19.13,25.49,29.86,32.08,32.06,32.88,28.75,24.34,19.29,15.48,24.14
1960,14.46,14.3,12.65,26.17,28.36,30.66,31.6,32.89,30.59,26.82,21.28,13.62,23.63
1961,11.72,17.02,22.26,21.92,26.91,30.51,32.92,30.58,30.37,25.72,22.36,15.73,24.14
1962,13.27,18.77,17.42,22.45,32.38,30.23,33.1,32.53,29.61,26.36,17.92,13.38,23.95
1963,13.1,12.9,21.11,25.31,27.39,30.09,30.59,33.51,28.29,26.32,20.73,10.86,23.36
1964,12.82,13.04,19.57,24.27,29.21,32.42,29.54,30.01,28.79,22.11,22.89,16.09,23.41
1965,15.72,14.69,18.15,24.65,31.64,28.87,30.61,32.27,29.31,24.42,20.88,15.86,23.98
1966,10.76,13.55,17.95,23.98,25.87,28.11,31.52,29.95,28.47,25.4,20.8,13.8,22.56
