year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,20.3,21.3,20.22,17.74,11.44,4.44,3.07,NA
1954,3.08,4.34,6.88,12.94,12.81,19.11,21.74,21.32,18.83,10.96,3.94,0.02,11.35
1955,0.67,3.18,7.75,12.19,16.4,16.96,21.39,21.71,19.17,9.76,3.83,0.61,11.19
1956,-1.95,4.93,5,9.39,16.49,18.88,21.62,20.88,16.43,13.99,4.2,6.41,11.38
1957,3.22,7.23,5.95,11.5,14.88,20.1,20.99,19.78,19.74,10.13,7,1.65,11.85
1958,-1.62,-2.39,4.43,10.16,16.15,19.95,22.14,21.74,17.11,9.47,6.85,-1.11,10.29
1959,0.03,5,5.1,12.05,17.03,19.25,21.55,21.79,18.7,14.4,5.65,2.01,11.95
1960,1.98,1.34,0.52,11.63,14.25,19.72,21.72,22.33,18.95,13.24,6.46,-2.33,10.83
1961,-1.34,4.4,8.16,7.93,13.97,18.32,21.1,20.63,18.86,8.87,8.91,NA,NA
1962,1.1,4.84,5,9.09,17.43,19.65,21.9,20.9,17.71,12.28,5.13,0.09,11.27
1963,-1.09,-0.9,7.56,11.37,14.09,19.18,19.84,20.74,15.84,9.28,5.19,-1.78,9.96
1964,0.52,0.83,6.42,12.11,15.54,20.73,20.55,20.69,17.28,9.25,8.01,4.02,11.35
1965,1.05,2.68,5.34,11.8,17.12,18.72,21,21.29,18.92,10.88,6.2,0.77,11.36
1966,-0.79,2.24,3.93,10.02,15.73,16.63,21.01,20.17,16.86,10.33,4,0.74,10.12
