year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,3,3,3,4.68,1,2.91,3.97,NA
1954,4,2.95,4,3.09,0,1,8.55,2,2.66,5.94,2.95,2,39.13
1955,1.38,3,8,6.3,2.66,0,1,2,1.66,0,1,1,28
1956,0,3.97,2,4.21,5.95,1,1.58,2,0,0.08,0,10,30.79
1957,5,11.95,1,2,4,2.96,2,2,9.97,1,6,0,47.88
1958,0,0,0,0,2,3.97,6,5,2.58,1,3.55,0,24.1
1959,0.96,3.9,1,5.9,7.87,1.75,0,3,5.61,5,1.94,0,36.92
1960,3.9,1,0,3.88,0,2.97,2,5,3.79,3,2,0,27.55
1961,1,4.97,5,1,1,2,0,2,2.87,0,9,NA,NA
1962,4,3.65,0,0,5,1,3,0,5.65,3,0,2,27.3
1963,2.77,0,4,3.1,2,1,0,1,0,1.62,2,0,17.49
1964,2,0.97,4,5,3,9.95,0,2,2.87,1.6,2,5.99,39.38
1965,1,5.71,2,2.88,3,1,0,1.61,6,4,1,1,29.21
1966,0,3,0,2,1,0,2,0,0,1.83,2.9,2,14.73
1967,2,0,2.91,1.86,0,0,0,0,0,0,0,3,9.77
1968,0,0,1,2,1,0,0,5,0,4,2,0,15
1969,0.65,3,0,3,0.95,6,7.99,2.62,1,1,0,0,26.21
1970,0,0,0.91,6.88,0,1,1,4.88,2.62,3,0,2.84,23.14
1971,2,1.96,0.88,0,0,0,0,0,1,7.86,3,13.99,30.69
1972,9.97,1,2,4,0,0,0,1,3,0,2,5.96,28.94
1973,2,0,10,1,1.95,0,0,0,1.83,0,3.97,3,23.75
