year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,11.7,16.1,14.4,11.1,2.8,-2.2,-8.3,NA
1954,-5,-3.3,-2.8,4.4,6.7,11.1,16.7,16.1,13.3,1.1,-4.4,-6.7,-6.7
1955,-5,-7.8,-5,2.8,9.4,12.2,15.6,17.8,15.6,1.7,-6.1,-7.8,-7.8
1956,-6.1,-0.6,-2.8,1.1,6.7,11.1,19.4,17.2,7.8,6.7,-5.6,-2.2,-6.1
1957,-7.8,-1.1,-2.8,2.2,5,16.1,17.8,14.4,10,-0.6,-2.2,-9.4,-9.4
1958,-7.2,-11.1,-2.2,3.3,6.1,13.9,15,17.8,9.4,2.2,0.6,-10.6,-11.1
1959,-9.4,-5,0,3.9,11.1,15.6,18.9,19.4,11.1,4.4,-6.7,-3.9,-9.4
1960,-7.8,-5,-7.2,0,6.1,13.3,16.7,19.4,12.8,3.3,-0.6,-7.8,-7.8
1961,-8.3,-3.3,0.6,2.2,6.7,11.7,16.7,15.6,10,0,-1.7,NA,NA
1962,-8.3,-5,-2.2,0,10,13.9,16.7,17.8,7.8,-1.1,-1.1,-14.4,-14.4
1963,-9.4,-6.7,-2.2,2.2,1.7,13.9,13.9,16.7,8.3,0,-2.8,-8.9,-9.4
1964,-8.9,-4.4,-3.3,3.3,10.6,15.6,16.1,16.1,11.1,1.7,-1.1,-6.1,-8.9
1965,-6.1,-5.6,-2.8,4.4,8.9,13.3,18.3,16.1,13.3,0.6,-1.7,-5,-6.1
1966,-13.9,-7.8,-3.9,1.7,5,10,15.6,15,12.2,3.9,-2.8,-6.1,-13.9
