year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,24.4,25.6,24.4,23.9,20,17.2,15,NA
1954,17.2,13.9,20,18.9,18.3,25,26.1,26.1,23.3,22.2,16.1,13.9,26.1
1955,9.4,15,18.3,20,21.1,21.1,23.9,23.9,22.2,19.4,16.7,13.3,23.9
1956,6.1,12.8,15.6,19.4,21.7,23.9,25,23.9,21.7,19.4,14.4,17.2,25
1957,16.1,15.6,15.6,18.9,22.8,25.6,24.4,25,23.9,18.9,18.3,10,25.6
1958,3.9,8.3,10.6,17.8,20,26.1,24.4,23.9,22.2,20.6,15.6,9.4,26.1
1959,10,14.4,15.6,18.9,21.7,23.3,23.3,23.9,22.8,22.2,16.1,8.9,23.9
1960,13.9,11.1,13.9,17.8,20,23.3,23.9,26.1,22.8,21.1,15,7.8,26.1
1961,9.4,15,18.3,18.3,19.4,23.3,23.3,23.3,22.8,18.9,17.8,NA,NA
1962,13.9,18.3,15,17.8,22.8,21.7,25,23.3,23.9,20.6,12.8,11.7,25
1963,13.3,8.3,17.8,19.4,20.6,22.8,23.3,23.9,21.1,16.1,17.2,10,23.9
1964,13.3,10.6,16.7,18.9,21.1,23.9,22.8,23.9,23.9,21.1,18.9,16.7,23.9
1965,9.4,15.6,14.4,18.9,21.1,22.2,22.8,24.4,22.8,20.6,13.3,11.1,24.4
1966,10.6,13.3,13.3,18.9,19.4,21.1,23.9,23.3,21.1,17.2,15.6,15,23.9
1967,10,10.6,15,18.9,19.4,22.2,22.8,22.8,20,16.1,13.3,13.9,22.8
