year,tr
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,67
1955,68
1956,69
1957,76
1958,72
1959,88
1960,83
1961,NA
1962,77
1963,47
1964,68
1965,75
1966,47
1967,41
1968,54
1969,78
1970,73
1971,82
1972,51
1973,73
1974,46
1975,59
1976,50
1977,NA
1978,57
1979,15
1980,14
1981,56
1982,41
1983,47
1984,42
1985,57
1986,84
1987,88
1988,69
1989,76
1990,77
1991,96
1992,75
1993,79
1994,71
1995,95
1996,75
1997,65
1998,100
1999,75
2000,73
2001,78
2002,90
2003,88
2004,95
2005,70
2006,53
2007,NA
2008,NA
2009,48
2010,79
2011,55
2012,45
2013,53
2014,NA
2015,48
2016,110
2017,86
2018,120
2019,39
2020,76
2021,56
2022,57
2023,70
2024,78
2025,NA
