year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,1,0.69,1.08,1,0,4,3,NA
1954,1,0,3.1,1,3.95,0.97,0,0,0,3,6,4.86,23.88
1955,1,3,3,0,0.95,3,0,2,2,0,3.88,6,24.83
1956,3,1,0.96,2.99,2,0.91,0,1,7,3,3,0,24.86
1957,4,0,1.9,3,2.97,4,4,2.96,3,7.99,4.95,1,39.77
1958,8.55,7.7,9.09,3,1,4,0,2,1,4,0,6.97,47.31
1959,1,4,2,4,2,1,3,0,4,6.99,4,2,33.99
1960,2,1,19.1,2.87,4,2.91,5.99,3.01,1,1,0,4,46.88
1961,5,2,2,5,4,7.97,1.99,4,3.83,1,1,2.69,40.48
1962,5.88,0,2.88,7,0,1,2,1,5,2,4.57,4.9,36.23
1963,2,4,2,4,7,8,6.64,0,5.99,0,2,9.57,51.19
1964,4,2.86,3,5.96,3,1,9.64,8.64,1,7,0,1.08,47.17
1965,2,4,5.97,5.61,0,9,6,0,3,3,0,0,38.58
1966,5.96,4.62,4,2,7.94,11.16,7,9,3,0.64,4,5,64.31
1967,2,6.96,1,2,5,7,8.92,7.56,8.99,1,4.78,0,55.21
1968,10.57,5,4,3.97,10.84,4.91,8.95,NA,2,1,7,4,NA
1969,3.75,5,5.05,1,2,2,1,10.58,10,2,2,2,46.39
1970,7.88,3,3.88,0,3,3,1,7,1,1.97,3,2.95,37.69
1971,4,4.88,7.56,4,5,0,5.75,3.01,0,0,7.1,4,45.31
1972,1,5.64,1,3.9,6.95,5,3.99,3,1,1.91,5,3,41.38
