year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,26.1,29.4,27.8,21.7,19.4,11.1,3.3,NA
1954,3.3,8.9,8.3,16.7,16.7,26.7,30,30,26.7,14.4,10,2.8,2.8
1955,5,2.2,8.9,18.3,23.9,24.4,30,26.1,19.4,18.3,6.7,4.4,2.2
1956,5,4.4,11.7,10.6,19.4,26.1,31.1,27.2,15.6,16.7,8.9,10,4.4
1957,1.7,11.7,9.4,16.7,13.3,22.8,23.9,23.9,15,10.6,8.9,4.4,1.7
1958,3.3,-1.1,4.4,8.9,17.2,22.2,29.4,25,21.1,12.8,13.9,1.1,-1.1
1959,5,2.2,11.1,10,23.3,26.1,23.9,28.3,20,13.9,6.1,6.7,2.2
1960,5,5,0.6,15,21.1,23.9,25.6,26.7,22.8,17.8,13.9,2.8,0.6
1961,0,0.6,10,15,20.6,18.3,28.9,23.9,20.6,13.9,7.2,4.4,0
1962,0,10,7.8,15.6,27.8,23.9,27.2,28.3,20.6,16.7,10,-0.6,-0.6
1963,3.9,2.8,6.1,13.3,16.7,23.9,25,30.6,18.3,20.6,12.2,1.7,1.7
1964,2.2,5.6,8.9,15.6,15,25,24.4,22.8,16.7,12.8,12.2,6.7,2.2
1965,2.2,2.8,6.7,9.4,26.7,20.6,23.9,27.8,19.4,12.2,15,7.8,2.2
1966,-5,4.4,6.7,16.7,17.8,21.7,26.1,22.2,22.8,20.6,8.9,3.3,-5
1967,5,0,12.2,19.4,12.2,21.7,24.4,20.6,21.1,18.3,10,7.8,0
