year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,39.4,37.8,38.3,35,30.6,27.8,24.4,NA
1954,24.4,25.6,31.7,32.2,33.9,40.6,40.6,41.1,38.9,37.2,23.9,25,41.1
1955,24.4,25,30.6,31.1,35.6,33.9,36.7,37.2,33.9,31.1,29.4,27.2,37.2
1956,23.3,27.8,27.8,30.6,36.7,38.9,37.2,38.9,36.7,30.6,26.7,26.1,38.9
1957,23.9,26.7,26.1,32.8,34.4,36.1,36.7,37.8,38.3,26.1,27.8,22.2,38.3
1958,17.8,23.3,21.7,32.2,32.8,37.8,37.2,36.7,35.6,32.2,29.4,23.3,37.8
1959,26.1,26.1,27.2,31.7,34.4,38.9,38.9,36.1,34.4,32.2,28.3,23.3,38.9
1960,25,22.2,26.7,33.3,36.7,35,35,36.7,35,31.1,28.3,24.4,36.7
1961,21.7,25,29.4,30.6,31.7,35.6,36.1,35.6,34.4,30,32.8,23.3,36.1
1962,24.4,28.3,28.3,30,37.2,33.3,37.2,35,35.6,31.7,25.6,23.3,37.2
1963,24.4,21.7,27.8,32.2,34.4,37.8,33.9,36.7,33.9,30.6,25.6,17.8,37.8
1964,21.1,17.8,27.2,32.8,35,37.8,33.9,35,32.8,27.8,28.9,23.9,37.8
1965,24.4,25.6,27.8,32.2,34.4,33.3,34.4,35,33.3,29.4,26.1,23.9,35
1966,25,21.7,27.8,29.4,31.1,34.4,35.6,34.4,33.9,31.1,26.7,25.6,35.6
1967,25,25.6,31.1,35.6,33.9,33.3,33.9,33.3,31.1,31.1,25.6,27.8,35.6
