year,wsdi
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,NA
1925,NA
1926,NA
1927,NA
1928,NA
1929,NA
1930,NA
1931,NA
1932,NA
1933,NA
1934,NA
1935,NA
1936,NA
1937,NA
1938,NA
1939,NA
1940,NA
1941,NA
1942,NA
1943,NA
1944,NA
1945,NA
1946,NA
1947,NA
1948,NA
1949,NA
1950,NA
1951,NA
1952,NA
1953,NA
1954,17
1955,0
1956,8
1957,0
1958,6
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,NA
1969,0
1970,7
1971,0
1972,0
1973,0
1974,NA
1975,0
1976,7
1977,NA
1978,7
1979,0
1980,10
1981,0
1982,0
1983,9
1984,15
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,6
1992,0
1993,0
1994,0
1995,0
1996,6
1997,14
1998,27
1999,13
2000,0
2001,20
2002,28
2003,7
2004,0
2005,20
2006,0
2007,NA
2008,NA
2009,6
2010,0
2011,0
2012,8
2013,8
2014,NA
2015,7
2016,0
2017,7
2018,15
2019,14
2020,0
2021,0
2022,0
2023,0
2024,0
2025,NA
