year,cwd
1899,NA
1900,NA
1901,4
1902,5
1903,NA
1904,6
1905,5
1906,7
1907,8
1908,6
1909,4
1910,8
1911,13
1912,4
1913,NA
1914,9
1915,7
1916,7
1917,5
1918,NA
1919,9
1920,9
1921,4
1922,8
1923,5
1924,6
1925,5
1926,4
1927,6
1928,6
1929,7
1930,7
1931,3
1932,4
1933,5
1934,3
1935,10
1936,4
1937,5
1938,5
1939,6
1940,4
1941,9
1942,6
1943,6
1944,7
1945,10
1946,6
1947,4
1948,11
1949,5
1950,NA
1951,6
1952,5
1953,4
1954,3
1955,7
1956,6
1957,7
1958,6
1959,7
1960,4
1961,6
1962,NA
1963,NA
1964,13
1965,NA
1966,7
1967,NA
1968,4
1969,5
1970,5
1971,4
1972,6
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,4
1979,NA
1980,NA
1981,7
1982,8
1983,5
1984,5
1985,10
1986,6
1987,5
1988,NA
1989,NA
1990,NA
1991,NA
1992,7
1993,5
1994,NA
1995,NA
1996,4
1997,6
1998,4
1999,7
2000,NA
2001,NA
2002,4
2003,6
2004,NA
2005,NA
2006,NA
2007,NA
2008,7
2009,5
2010,3
2011,NA
2012,5
2013,NA
2014,6
2015,6
2016,3
2017,4
2018,6
2019,9
2020,NA
2021,4
2022,5
2023,4
2024,6
2025,NA
