year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,11.93,NA,14.06,11.85,13.67,14.17,12.05,11.88,12.86,11.39,13.11,13.17,NA
1900,11.71,10.89,12.15,11.77,12.56,10.13,12.72,13.79,12.37,10.36,13.22,NA,NA
1901,10.65,11.31,12.18,11.13,13.62,11.43,10.68,10.59,10.61,13.48,12.41,12.23,11.7
1902,12.66,10.63,12.52,12.34,12.85,11.82,11.66,10.65,10.2,10.61,11.7,11.1,11.57
1903,10.05,11.43,10.5,13.31,9.97,11.04,10.78,10.57,9.82,12.22,11.01,13.08,11.13
1904,11.26,11.91,11.97,13.19,13.49,12.93,12.03,10.05,12.26,13.05,12.44,10.53,12.08
1905,11.12,9.61,11.71,12.55,10.34,11.81,10.6,9.98,10.5,12.77,12.87,9.73,11.14
1906,10.29,12.05,12.48,14.72,11.77,9.97,9.2,7.89,8.98,9.7,14.17,11.68,11.06
1907,11.95,10.49,12.97,10.73,11.13,11.02,9.51,9.13,7.77,11.78,10.54,10.63,10.65
1908,10.61,10.28,12.44,10.92,12,10.47,9.01,10.68,11.16,12.7,12.72,12.58,11.3
1909,12.78,14.05,13.51,12.25,13.07,11.59,10.85,10.61,10.43,15.87,14.15,11.52,12.55
1910,12.98,12.41,14.52,15.96,14.35,10.66,10.51,9.43,11.07,11.29,13.11,11.35,12.3
1911,12.38,13.17,14.25,12.96,15.57,13.65,11.28,11.45,11.24,10.25,12.33,10.98,12.45
1912,8.5,11.64,11.78,11.17,11.47,11.04,11.32,12.73,9.84,12.59,14.37,12.32,11.56
1913,NA,NA,13.95,16.59,17.19,NA,NA,NA,NA,15.9,NA,13.57,NA
1914,15.73,NA,14.85,15.25,16.81,14.12,14.17,11.32,13.22,12.93,16.58,10.22,NA
1915,13.32,13.72,15.02,16.56,13.87,13.14,13.39,12.1,12.38,13.54,14.83,13.89,13.81
1916,13.26,14.77,15.06,15.88,15.53,13.31,10.4,12.27,14.17,12.35,15.27,12.99,13.75
1917,12.54,13.91,14.06,16.16,15.81,13.36,12.56,12.9,11.77,16.16,17.87,12.62,14.12
1918,11.89,13.45,13.27,12.61,14.6,13.28,13.96,12.76,13.02,11.99,13.27,9.61,12.81
1919,14.05,9.93,11.9,15.46,12.63,10.88,11.41,10.91,12.98,11.87,13.94,14.31,12.53
1920,11.73,11.07,14.55,12.39,13.34,14.08,12.44,11.62,12.69,16.33,14.1,13.15,13.13
1921,15.05,15.07,15.21,15.69,13.96,13.95,10.52,11.63,15.19,13.71,13.55,15.01,14.03
1922,12.76,12.75,15.01,14.97,12.49,12.4,11.87,11.04,12.61,12.97,15.42,12.18,13.03
1923,14.92,13.44,13.97,15.12,11.91,11.91,12.18,11.42,12.41,13.33,14.12,12.39,13.09
1924,13.68,13.94,14.04,13.34,14.65,13.51,12.16,13.6,10.87,13.41,15.38,12.21,13.4
1925,12.68,14,15.3,16.05,16.04,13.25,12.85,13.86,14.96,13.54,12.93,11.35,13.91
1926,11.17,13.62,13.06,15.22,16.05,12.23,11.13,12.2,12.38,15.24,14.35,13.94,13.38
1927,15.23,14.52,13.19,15.43,16.19,12.19,12.07,11.45,13.67,14.81,14.46,12.55,13.81
1928,15.8,12.32,13.11,14.07,13.8,12.56,11.16,10.94,10.56,12.14,13.94,13.23,12.8
1929,NA,11.81,14.26,14.15,12.6,12.28,12.28,11.57,9.61,12.98,11.28,13.58,NA
1930,12.4,16.46,12.2,14.44,13.65,12.11,12.66,13.32,11.5,13.1,10.39,9.66,12.63
1931,12.95,15.01,13.03,14.47,14.15,15.6,13.63,13.06,15.41,15.43,15.94,11.94,14.2
1932,12.13,11.95,13.94,15.26,13.12,11.5,14.07,10.93,11.3,11.69,10.49,11.81,12.35
1933,12.21,11.77,14.85,13.37,14.27,15.47,12.35,12.08,13.08,13.79,14.44,14.36,13.51
1934,13.02,13.96,14.04,14.6,12.86,12.84,13.45,11.54,12.15,13.58,15.4,12.81,13.35
1935,12.71,14.25,14.87,13.68,14.32,14.08,10.8,11.15,10.75,14.04,11.77,11.41,12.81
1936,11.99,11.08,13.73,13.62,15.24,14.66,13.48,12.33,12.49,12.32,11.94,9.57,12.71
1937,9.19,11.8,14.09,13.99,14.88,12.86,11.77,11.67,11.32,11.81,13.25,13.15,12.48
1938,11.41,11.9,14.67,14.74,13.4,12.66,11.75,13.45,12.79,14.39,12.47,12.92,13.06
1939,14.21,13.2,14.13,14.62,13.61,12.24,11.64,11.58,11.01,13.41,14.51,14.12,13.2
1940,12.03,12.93,13.92,13.91,15.11,12.17,11.12,9.88,12.76,15.36,13.17,11.51,12.82
1941,12.57,13.54,13.45,14.24,17.24,11.38,10.49,11.24,12.99,13.45,15.57,12.37,13.2
1942,13.75,12.04,13.54,16.61,13.68,11.7,11.85,12.65,12.42,16.04,16.12,13.26,13.64
1943,12.61,15.32,13.29,14.69,13.51,13.87,11.62,12.66,13.37,17.37,17.6,14.48,14.18
1944,13.86,13.02,13.69,12.86,15.12,15.71,12.61,12.5,11.75,14.57,12.58,13.56,13.49
1945,12.52,12.35,14.65,12.23,13.9,13.56,11.03,11.62,11.1,13.65,14.77,12.13,12.8
1946,12.23,16.03,13.54,14.52,12.33,13.22,12.16,11.73,11.41,13.8,11.43,14.9,13.09
1947,12.43,15.56,12.03,13.63,13.29,13.19,12.56,11.61,11.84,10.91,10.21,11.74,12.39
1948,12.75,12.36,11.56,12.93,13.54,13.99,11.96,12.12,11.35,13.84,13.6,11.44,12.61
1949,12.51,11.97,14.2,13.58,14.07,10.74,11.45,11.43,10.97,11.86,15.26,13.01,12.59
1950,13.45,16.25,14.01,16.48,13.88,13.81,12.13,13.29,12,12.25,16.5,13.12,13.91
1951,15.71,16.1,12.54,13.91,16.62,13.88,13.7,13.72,11.77,12.28,13.67,13.54,13.94
1952,14.18,14.58,14.65,15.68,15.67,15.06,14.65,13.81,13.18,16.84,16.92,15.05,15.02
1953,15.99,14.67,15.68,17.04,16.63,14.31,13.81,13.75,14.02,16.86,17.77,14.85,15.46
1954,17.97,18.12,16.72,16.51,16.41,16.87,14.1,15.38,13.42,14.99,14.77,14.6,15.8
1955,14.43,14.69,16.23,13.65,14.82,13.43,12.31,12.53,9.64,14.54,15.48,12.53,13.69
1956,14.22,14.04,14.82,14.36,13.85,14.59,13.48,13.56,13.1,10.05,15.67,15.49,13.92
1957,13.28,13.82,13.16,14.78,11.77,10.94,11.73,13.23,12.16,12.86,13.91,14.12,12.97
1958,12.14,15.12,12.84,13.46,12.83,12.48,11.69,12.62,12.51,13.47,15.44,13.94,13.19
1959,15.17,11.34,13.18,14.14,13.53,12.8,11.39,11.99,10.38,10.4,13.44,13.13,12.59
1960,12.69,14.18,12.64,15.67,15.18,12.33,11.37,11.7,11.2,14.28,15.69,16.73,13.63
1961,13.82,12.92,15.56,14.52,12.83,12.29,11.93,10.75,11.35,15.29,NA,NA,NA
1962,13.37,15.69,12.97,14.68,15.23,11.52,12.47,12.46,12.44,15.22,NA,NA,NA
1963,NA,NA,NA,14.5,13.83,11.24,12.38,12.72,12.78,16.49,16.84,14.54,NA
1964,15.06,14.31,15.03,14.6,14.48,13.05,10.64,10.81,12.95,15.22,16.73,14.22,13.92
1965,16.61,12.38,14.66,NA,16.57,12.42,11.53,11.91,11.34,14.13,15.75,16.31,NA
1966,12.47,14.53,14.86,17.01,11.75,13.89,11.83,11.21,12.23,15.31,16.74,16.5,14.02
1967,13.85,NA,16.87,16.27,14.54,11.7,12.45,12.09,13.27,16.42,NA,14.07,NA
1968,13.01,15.01,18.12,15.4,14.97,13.39,13.26,14.23,15.43,14.76,15.4,15.73,14.89
1969,15.25,14.09,14.86,15.56,15.69,14.79,13.03,10.84,11.8,12.86,16.75,16.35,14.32
