year,fd
1899,NA
1900,NA
1901,40
1902,37
1903,33
1904,31
1905,30
1906,25
1907,20
1908,16
1909,23
1910,43
1911,29
1912,47
1913,NA
1914,64
1915,46
1916,31
1917,44
1918,26
1919,28
1920,33
1921,15
1922,24
1923,21
1924,33
1925,24
1926,33
1927,28
1928,32
1929,26
1930,27
1931,22
1932,19
1933,20
1934,39
1935,38
1936,26
1937,24
1938,20
1939,19
1940,34
1941,38
1942,37
1943,46
1944,32
1945,27
1946,19
1947,28
1948,22
1949,17
1950,34
1951,36
1952,37
1953,41
1954,55
1955,40
1956,31
1957,23
1958,54
1959,30
1960,51
1961,NA
1962,NA
1963,NA
1964,42
1965,NA
1966,49
1967,NA
1968,72
1969,68
1970,57
1971,43
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,56
1980,NA
1981,NA
1982,23
1983,32
1984,32
1985,47
1986,22
1987,36
1988,NA
1989,NA
1990,NA
1991,29
1992,NA
1993,33
1994,NA
1995,49
1996,62
1997,59
1998,33
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,58
2009,61
2010,78
2011,40
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,23
2018,NA
2019,25
2020,NA
2021,25
2022,32
2023,26
2024,32
2025,NA
